,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.85,0.06,0.06,249.41,0.23,0.23,277.48,0.06,0.06
World Government Bond Index (WGBI),800.25,0.11,0.11,"1,051.54",0.33,0.33,950.48,0.12,0.12
World Government Bond Index - Developed Markets (WGBI  DM),796.00,0.11,0.11,"1,051.85",0.33,0.33,953.17,0.12,0.12
World Government Bond Index - Extended (WGBI Extended),806.00,0.11,0.11,"1,056.47",0.28,0.28,949.17,0.11,0.11
World Inflation-Linked Securities Index (WorldILSI),197.29,0.14,0.14,174.29,0.40,0.40,199.78,0.14,0.14
US Broad Investment-Grade Bond Index (USBIG),"1,920.81",0.04,0.04,"1,920.81",0.04,0.04,"1,920.81",0.04,0.04
US Treasury Index,"1,649.90",0.13,0.13,"1,649.90",0.13,0.13,"1,649.90",0.13,0.13
US High-Yield Market Index,"1,204.18",0.11,0.11,"1,204.18",0.11,0.11,"1,204.18",0.11,0.11
US High-Yield Cash Pay Index,"1,179.16",0.10,0.10,"1,179.16",0.10,0.10,"1,179.16",0.10,0.10
US High-Yield Market Capped Index,416.90,0.11,0.11,416.90,0.11,0.11,416.90,0.11,0.11
US High-Yield Cash Pay Capped Index,412.76,0.10,0.10,412.76,0.10,0.10,412.76,0.10,0.10
LATAM Government Bond Index (LATAMGBI),233.93,0.04,0.04,110.82,-0.23,-0.23,155.09,0.02,0.02
Euro Broad Investment-Grade Bond Index (EuroBIG),249.87,0.11,0.11,256.92,0.42,0.42,291.74,0.12,0.12
EMU Government Bond Index (EGBI),254.53,0.17,0.17,261.72,0.48,0.48,296.73,0.18,0.18
Eurodollar Bond Index,462.48,0.07,0.07,462.48,0.07,0.07,462.48,0.07,0.07
Eurosterling Bond Index,568.12,0.02,0.02,505.75,0.62,0.62,499.30,0.02,0.02
Euroyen Bond Index,186.17,0.01,0.01,170.52,0.36,0.36,370.56,0.01,0.01
CEEMEA Government Bond Index (CEEMEAGBI),184.27,0.21,0.21,101.93,0.64,0.64,135.90,0.19,0.19
Middle East and North Africa Broad Bond Index (MENABBI),170.03,-0.06,-0.06,170.03,-0.06,-0.06,170.03,-0.06,-0.06
Asian Government Bond Index (AGBI),191.11,0.05,0.05,166.23,-0.17,-0.17,167.27,0.03,0.03
Asian Government Extended Bond Index (AGBI-Extended),181.43,0.07,0.07,191.29,-0.05,-0.05,144.52,0.05,0.05
AsiaPac Government Bond Index (APGBI),194.45,0.04,0.04,165.30,-0.08,-0.08,165.42,0.03,0.03
Asian Broad Bond Index (ABBI),228.20,0.12,0.12,228.20,0.12,0.12,228.20,0.12,0.12
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.76,0.03,0.03,136.36,0.03,0.03,127.78,0.01,0.01
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.68,0.03,0.03,136.28,0.03,0.03,127.70,0.01,0.01
Dim Sum (Offshore CNY) Bond Index,146.12,-0.12,-0.12,148.62,-0.14,-0.14,118.31,-0.14,-0.14
Australian Broad Investment-Grade Bond Index (AusBIG),324.95,-0.04,-0.04,420.06,0.44,0.44,208.19,-0.04,-0.04
Emerging Markets Government Bond Index (EMGBI),250.27,0.07,0.07,140.52,0.12,0.12,161.31,0.05,0.05
Emerging Markets Inflation-Linked Securities Index (EMILSI),425.82,-0.26,-0.26,158.77,-0.06,-0.06,194.65,-0.30,-0.30
Emerging Markets US Dollar Government Bond Index EMUSDGBI),924.65,-0.09,-0.09,924.65,-0.09,-0.09,924.65,-0.09,-0.09
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),997.41,-0.10,-0.10,997.41,-0.10,-0.10,997.41,-0.10,-0.10
Debt Capacity World Government Bond Index (DCWGBI),185.27,0.10,0.10,181.98,0.33,0.33,196.78,0.10,0.10
Time-Weighted US Fallen Angel Bond Index,812.81,0.14,0.14,812.81,0.14,0.14,812.81,0.14,0.14
