,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.11,-0.08,0.41,249.51,0.15,1.47,277.74,-0.08,0.42
World Government Bond Index (WGBI),801.58,-0.09,0.27,"1,053.12",0.23,1.63,952.02,-0.09,0.29
World Government Bond Index - Developed Markets (WGBI  DM),797.26,-0.10,0.26,"1,053.23",0.22,1.60,954.62,-0.09,0.28
World Government Bond Index - Extended (WGBI Extended),807.43,-0.07,0.30,"1,057.90",0.23,1.62,950.88,-0.07,0.31
World Inflation-Linked Securities Index (WorldILSI),197.48,0.16,1.03,174.60,0.67,2.20,199.98,0.17,1.04
US Broad Investment-Grade Bond Index (USBIG),"1,919.83",-0.10,0.87,"1,919.83",-0.10,0.87,"1,919.83",-0.10,0.87
US Treasury Index,"1,648.63",-0.13,0.86,"1,648.63",-0.13,0.86,"1,648.63",-0.13,0.86
US High-Yield Market Index,"1,200.28",-0.05,0.86,"1,200.28",-0.05,0.86,"1,200.28",-0.05,0.86
US High-Yield Cash Pay Index,"1,175.65",-0.05,0.87,"1,175.65",-0.05,0.87,"1,175.65",-0.05,0.87
US High-Yield Market Capped Index,415.53,-0.05,0.84,415.53,-0.05,0.84,415.53,-0.05,0.84
US High-Yield Cash Pay Capped Index,411.52,-0.05,0.85,411.52,-0.05,0.85,411.52,-0.05,0.85
LATAM Government Bond Index (LATAMGBI),236.47,0.04,1.31,114.00,0.38,3.93,156.96,0.02,1.23
Euro Broad Investment-Grade Bond Index (EuroBIG),250.54,-0.12,-0.34,256.44,0.21,1.92,292.47,-0.12,-0.31
EMU Government Bond Index (EGBI),255.47,-0.16,-0.58,261.49,0.17,1.67,297.78,-0.16,-0.56
Eurodollar Bond Index,462.24,-0.12,1.04,462.24,-0.12,1.04,462.24,-0.12,1.04
Eurosterling Bond Index,569.95,0.12,1.00,509.55,1.33,2.39,500.94,0.13,1.02
Euroyen Bond Index,186.06,0.03,0.25,171.83,0.75,2.54,370.30,0.03,0.27
CEEMEA Government Bond Index (CEEMEAGBI),184.61,-0.02,1.14,101.82,0.23,3.77,136.33,-0.04,1.02
Middle East and North Africa Broad Bond Index (MENABBI),171.06,0.19,1.82,171.06,0.19,1.82,171.06,0.19,1.82
Asian Government Bond Index (AGBI),191.50,0.16,0.74,166.03,0.27,1.47,167.72,0.14,0.65
Asian Government Extended Bond Index (AGBI-Extended),181.42,0.13,0.65,190.27,0.08,0.71,144.66,0.11,0.53
AsiaPac Government Bond Index (APGBI),194.84,0.16,0.77,165.18,0.32,1.68,165.86,0.15,0.69
Asian Broad Bond Index (ABBI),227.91,0.18,0.29,227.91,0.18,0.29,227.91,0.18,0.29
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.60,0.08,0.45,135.37,0.25,1.13,127.77,0.05,0.32
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.52,0.08,0.46,135.30,0.25,1.13,127.69,0.06,0.32
Dim Sum (Offshore CNY) Bond Index,146.08,0.03,0.22,147.71,0.25,1.04,118.40,0.01,0.07
Australian Broad Investment-Grade Bond Index (AusBIG),325.41,0.12,0.78,421.05,0.53,2.79,208.49,0.12,0.80
Emerging Markets Government Bond Index (EMGBI),250.45,0.10,0.87,140.28,0.29,2.01,161.60,0.08,0.75
Emerging Markets Inflation-Linked Securities Index (EMILSI),429.51,0.11,1.01,159.96,0.84,3.39,196.71,0.07,0.79
Emerging Markets US Dollar Government Bond Index EMUSDGBI),929.41,0.16,2.81,929.41,0.16,2.81,929.41,0.16,2.81
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,001.88",0.17,3.00,"1,001.88",0.17,3.00,"1,001.88",0.17,3.00
Debt Capacity World Government Bond Index (DCWGBI),185.70,-0.09,0.24,182.23,0.26,1.95,197.23,-0.09,0.25
Time-Weighted US Fallen Angel Bond Index,809.52,0.06,1.42,809.52,0.06,1.42,809.52,0.06,1.42
