,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.47,-0.10,0.15,246.33,-0.10,0.17,277.00,-0.10,0.15
World Government Bond Index (WGBI),800.49,-0.10,0.14,"1,037.84",-0.10,0.16,950.61,-0.10,0.14
World Government Bond Index - Developed Markets (WGBI  DM),796.25,-0.11,0.14,"1,038.22",-0.11,0.15,953.28,-0.11,0.14
World Government Bond Index - Extended (WGBI Extended),806.00,-0.10,0.13,"1,042.39",-0.10,0.13,949.17,-0.10,0.13
World Inflation-Linked Securities Index (WorldILSI),196.71,-0.06,0.64,172.08,-0.06,0.72,199.18,-0.06,0.64
US Broad Investment-Grade Bond Index (USBIG),"1,906.23",-0.19,0.15,"1,906.23",-0.19,0.15,"1,906.23",-0.19,0.15
US Treasury Index,"1,637.18",-0.25,0.16,"1,637.18",-0.25,0.16,"1,637.18",-0.25,0.16
US High-Yield Market Index,"1,191.76",-0.01,0.15,"1,191.76",-0.01,0.15,"1,191.76",-0.01,0.15
US High-Yield Cash Pay Index,"1,167.21",-0.01,0.15,"1,167.21",-0.01,0.15,"1,167.21",-0.01,0.15
US High-Yield Market Capped Index,412.66,-0.01,0.14,412.66,-0.01,0.14,412.66,-0.01,0.14
US High-Yield Cash Pay Capped Index,408.64,-0.01,0.14,408.64,-0.01,0.14,408.64,-0.01,0.14
LATAM Government Bond Index (LATAMGBI),233.45,0.02,0.02,110.03,0.02,0.31,155.06,0.02,0.01
Euro Broad Investment-Grade Bond Index (EuroBIG),251.96,0.00,0.23,252.34,0.00,0.29,294.05,0.01,0.23
EMU Government Bond Index (EGBI),257.56,0.00,0.23,257.94,0.00,0.29,300.15,0.01,0.23
Eurodollar Bond Index,458.79,-0.22,0.28,458.79,-0.22,0.28,458.79,-0.22,0.28
Eurosterling Bond Index,566.13,0.01,0.32,500.12,0.01,0.49,497.49,0.01,0.32
Euroyen Bond Index,185.57,0.00,-0.02,167.40,0.00,-0.11,369.25,0.00,-0.01
CEEMEA Government Bond Index (CEEMEAGBI),182.51,0.03,-0.01,98.46,0.03,0.35,134.93,0.02,-0.02
Middle East and North Africa Broad Bond Index (MENABBI),168.17,-0.14,0.10,168.17,-0.14,0.10,168.17,-0.14,0.10
Asian Government Bond Index (AGBI),190.21,-0.05,0.07,163.44,-0.05,-0.11,166.74,-0.05,0.06
Asian Government Extended Bond Index (AGBI-Extended),180.39,-0.03,0.08,188.85,-0.03,-0.04,143.99,-0.04,0.07
AsiaPac Government Bond Index (APGBI),193.50,-0.04,0.08,162.30,-0.04,-0.09,164.84,-0.04,0.07
Asian Broad Bond Index (ABBI),227.29,-0.11,0.02,227.29,-0.11,0.02,227.29,-0.11,0.02
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.00,0.01,0.04,133.55,0.01,-0.24,127.39,0.00,0.02
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.91,0.01,0.03,133.47,0.01,-0.24,127.32,0.00,0.02
Dim Sum (Offshore CNY) Bond Index,145.81,0.01,0.03,145.88,0.01,-0.22,118.33,0.00,0.02
Australian Broad Investment-Grade Bond Index (AusBIG),323.38,0.01,0.15,409.50,0.01,-0.03,207.13,0.01,0.15
Emerging Markets Government Bond Index (EMGBI),248.45,0.02,0.07,137.53,0.02,0.01,160.49,0.01,0.05
Emerging Markets Inflation-Linked Securities Index (EMILSI),425.85,0.01,0.15,155.10,0.01,0.25,195.41,-0.01,0.13
Emerging Markets US Dollar Government Bond Index EMUSDGBI),907.30,-0.07,0.37,907.30,-0.07,0.37,907.30,-0.07,0.37
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),975.56,-0.05,0.30,975.56,-0.05,0.30,975.56,-0.05,0.30
Debt Capacity World Government Bond Index (DCWGBI),185.54,-0.05,0.16,179.14,-0.05,0.22,197.05,-0.05,0.16
Time-Weighted US Fallen Angel Bond Index,799.94,0.04,0.22,799.94,0.04,0.22,799.94,0.04,0.22
