,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.94,0.14,0.34,247.57,0.27,0.68,277.54,0.14,0.35
World Government Bond Index (WGBI),801.65,0.12,0.28,"1,043.62",0.29,0.72,952.02,0.12,0.29
World Government Bond Index - Developed Markets (WGBI  DM),797.39,0.11,0.28,"1,043.95",0.28,0.70,954.69,0.11,0.29
World Government Bond Index - Extended (WGBI Extended),807.00,0.11,0.25,"1,048.11",0.31,0.68,950.36,0.11,0.25
World Inflation-Linked Securities Index (WorldILSI),196.87,0.11,0.72,172.76,0.15,1.12,199.35,0.11,0.72
US Broad Investment-Grade Bond Index (USBIG),"1,913.45",0.27,0.53,"1,913.45",0.27,0.53,"1,913.45",0.27,0.53
US Treasury Index,"1,643.97",0.34,0.57,"1,643.97",0.34,0.57,"1,643.97",0.34,0.57
US High-Yield Market Index,"1,196.16",0.17,0.52,"1,196.16",0.17,0.52,"1,196.16",0.17,0.52
US High-Yield Cash Pay Index,"1,171.51",0.17,0.51,"1,171.51",0.17,0.51,"1,171.51",0.17,0.51
US High-Yield Market Capped Index,414.16,0.16,0.51,414.16,0.16,0.51,414.16,0.16,0.51
US High-Yield Cash Pay Capped Index,410.12,0.16,0.50,410.12,0.16,0.50,410.12,0.16,0.50
LATAM Government Bond Index (LATAMGBI),234.76,0.60,0.58,111.61,1.16,1.75,155.91,0.61,0.55
Euro Broad Investment-Grade Bond Index (EuroBIG),251.71,-0.11,0.13,253.77,0.23,0.86,293.78,-0.11,0.14
EMU Government Bond Index (EGBI),257.04,-0.22,0.03,259.14,0.13,0.76,299.57,-0.21,0.04
Eurodollar Bond Index,460.83,0.28,0.73,460.83,0.28,0.73,460.83,0.28,0.73
Eurosterling Bond Index,567.00,0.13,0.47,502.36,-0.10,0.94,498.28,0.13,0.48
Euroyen Bond Index,185.67,0.04,0.04,168.78,0.39,0.72,369.45,0.04,0.04
CEEMEA Government Bond Index (CEEMEAGBI),182.79,0.15,0.15,99.03,0.12,0.93,135.09,0.14,0.10
Middle East and North Africa Broad Bond Index (MENABBI),168.85,0.21,0.50,168.85,0.21,0.50,168.85,0.21,0.50
Asian Government Bond Index (AGBI),190.19,0.07,0.06,164.17,0.45,0.34,166.69,0.06,0.03
Asian Government Extended Bond Index (AGBI-Extended),180.47,0.08,0.12,189.37,0.32,0.23,144.01,0.08,0.08
AsiaPac Government Bond Index (APGBI),193.59,0.11,0.12,163.17,0.45,0.44,164.88,0.11,0.10
Asian Broad Bond Index (ABBI),227.94,0.16,0.31,227.94,0.16,0.31,227.94,0.16,0.31
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.02,-0.01,0.05,134.04,0.34,0.13,127.37,-0.02,0.01
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.94,-0.01,0.05,133.96,0.34,0.13,127.30,-0.02,0.01
Dim Sum (Offshore CNY) Bond Index,145.87,0.01,0.07,146.72,0.29,0.36,118.34,0.00,0.02
Australian Broad Investment-Grade Bond Index (AusBIG),324.40,0.29,0.46,413.85,0.46,1.03,207.80,0.30,0.47
Emerging Markets Government Bond Index (EMGBI),248.86,0.13,0.23,138.23,0.38,0.52,160.71,0.13,0.19
Emerging Markets Inflation-Linked Securities Index (EMILSI),426.65,0.16,0.34,156.59,0.53,1.21,195.68,0.15,0.27
Emerging Markets US Dollar Government Bond Index EMUSDGBI),910.95,0.20,0.77,910.95,0.20,0.77,910.95,0.20,0.77
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),979.23,0.17,0.67,979.23,0.17,0.67,979.23,0.17,0.67
Debt Capacity World Government Bond Index (DCWGBI),185.77,0.11,0.28,180.24,0.33,0.83,197.29,0.12,0.29
Time-Weighted US Fallen Angel Bond Index,802.67,0.25,0.56,802.67,0.25,0.56,802.67,0.25,0.56
