,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.40,-0.02,0.53,250.19,0.11,1.74,278.09,-0.02,0.55
World Government Bond Index (WGBI),802.56,-0.01,0.40,"1,056.20",0.15,1.93,953.24,-0.01,0.42
World Government Bond Index - Developed Markets (WGBI  DM),798.29,-0.02,0.39,"1,056.37",0.14,1.90,955.91,-0.01,0.41
World Government Bond Index - Extended (WGBI Extended),808.14,-0.02,0.39,"1,060.81",0.14,1.90,951.73,-0.02,0.40
World Inflation-Linked Securities Index (WorldILSI),197.37,0.01,0.97,174.38,0.24,2.06,199.87,0.01,0.98
US Broad Investment-Grade Bond Index (USBIG),"1,923.06",-0.02,1.04,"1,923.06",-0.02,1.04,"1,923.06",-0.02,1.04
US Treasury Index,"1,651.86",-0.00,1.05,"1,651.86",-0.00,1.05,"1,651.86",-0.00,1.05
US High-Yield Market Index,"1,201.50",0.10,0.97,"1,201.50",0.10,0.97,"1,201.50",0.10,0.97
US High-Yield Cash Pay Index,"1,176.76",0.10,0.97,"1,176.76",0.10,0.97,"1,176.76",0.10,0.97
US High-Yield Market Capped Index,415.94,0.10,0.94,415.94,0.10,0.94,415.94,0.10,0.94
US High-Yield Cash Pay Capped Index,411.90,0.10,0.94,411.90,0.10,0.94,411.90,0.10,0.94
LATAM Government Bond Index (LATAMGBI),235.38,0.09,0.84,113.02,0.30,3.04,156.15,0.08,0.71
Euro Broad Investment-Grade Bond Index (EuroBIG),250.77,0.01,-0.25,258.02,0.28,2.55,292.78,0.01,-0.20
EMU Government Bond Index (EGBI),255.72,0.01,-0.49,263.11,0.29,2.30,298.11,0.02,-0.45
Eurodollar Bond Index,463.14,-0.00,1.23,463.14,-0.00,1.23,463.14,-0.00,1.23
Eurosterling Bond Index,570.33,-0.02,1.06,506.44,0.37,1.76,501.26,-0.01,1.08
Euroyen Bond Index,186.18,-0.03,0.31,171.86,-0.03,2.56,370.57,-0.03,0.35
CEEMEA Government Bond Index (CEEMEAGBI),184.52,0.08,1.09,102.20,0.45,4.16,136.18,0.06,0.91
Middle East and North Africa Broad Bond Index (MENABBI),170.98,-0.02,1.77,170.98,-0.02,1.77,170.98,-0.02,1.77
Asian Government Bond Index (AGBI),191.13,-0.11,0.55,166.23,0.06,1.60,167.34,-0.12,0.42
Asian Government Extended Bond Index (AGBI-Extended),181.30,-0.03,0.58,190.70,0.20,0.93,144.49,-0.05,0.41
AsiaPac Government Bond Index (APGBI),194.45,-0.11,0.57,165.44,0.19,1.84,165.48,-0.12,0.46
Asian Broad Bond Index (ABBI),228.01,-0.06,0.34,228.01,-0.06,0.34,228.01,-0.06,0.34
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.56,-0.07,0.42,135.83,0.02,1.46,127.66,-0.09,0.23
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.48,-0.07,0.42,135.75,0.02,1.46,127.59,-0.10,0.23
Dim Sum (Offshore CNY) Bond Index,146.23,0.05,0.32,148.59,0.31,1.64,118.46,0.03,0.12
Australian Broad Investment-Grade Bond Index (AusBIG),324.90,-0.07,0.62,422.66,1.02,3.18,208.17,-0.06,0.65
Emerging Markets Government Bond Index (EMGBI),250.21,-0.03,0.78,140.45,0.13,2.14,161.36,-0.05,0.60
Emerging Markets Inflation-Linked Securities Index (EMILSI),428.94,0.17,0.88,160.42,0.70,3.68,196.26,0.14,0.56
Emerging Markets US Dollar Government Bond Index EMUSDGBI),926.69,-0.15,2.51,926.69,-0.15,2.51,926.69,-0.15,2.51
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),999.90,-0.13,2.80,999.90,-0.13,2.80,999.90,-0.13,2.80
Debt Capacity World Government Bond Index (DCWGBI),185.87,-0.01,0.34,182.88,0.25,2.31,197.42,-0.01,0.35
Time-Weighted US Fallen Angel Bond Index,810.42,0.11,1.53,810.42,0.11,1.53,810.42,0.11,1.53
