,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.77,-0.03,0.27,247.85,0.04,0.79,277.35,-0.03,0.28
World Government Bond Index (WGBI),800.69,-0.05,0.16,"1,044.60",0.04,0.81,950.91,-0.04,0.17
World Government Bond Index - Developed Markets (WGBI  DM),796.40,-0.05,0.16,"1,044.77",0.04,0.78,953.54,-0.04,0.17
World Government Bond Index - Extended (WGBI Extended),806.36,-0.03,0.17,"1,049.18",0.05,0.78,949.61,-0.03,0.17
World Inflation-Linked Securities Index (WorldILSI),196.60,0.16,0.58,172.31,0.24,0.85,199.08,0.16,0.58
US Broad Investment-Grade Bond Index (USBIG),"1,913.05",-0.03,0.51,"1,913.05",-0.03,0.51,"1,913.05",-0.03,0.51
US Treasury Index,"1,642.07",-0.09,0.46,"1,642.07",-0.09,0.46,"1,642.07",-0.09,0.46
US High-Yield Market Index,"1,197.42",-0.06,0.62,"1,197.42",-0.06,0.62,"1,197.42",-0.06,0.62
US High-Yield Cash Pay Index,"1,172.70",-0.07,0.62,"1,172.70",-0.07,0.62,"1,172.70",-0.07,0.62
US High-Yield Market Capped Index,414.61,-0.06,0.61,414.61,-0.06,0.61,414.61,-0.06,0.61
US High-Yield Cash Pay Capped Index,410.54,-0.06,0.60,410.54,-0.06,0.60,410.54,-0.06,0.60
LATAM Government Bond Index (LATAMGBI),235.76,-0.15,1.00,112.26,-0.08,2.35,156.53,-0.17,0.95
Euro Broad Investment-Grade Bond Index (EuroBIG),251.20,-0.03,-0.08,254.72,0.12,1.24,293.21,-0.03,-0.05
EMU Government Bond Index (EGBI),256.31,-0.05,-0.26,259.90,0.10,1.06,298.75,-0.04,-0.23
Eurodollar Bond Index,460.75,-0.02,0.71,460.75,-0.02,0.71,460.75,-0.02,0.71
Eurosterling Bond Index,567.82,-0.00,0.62,498.86,0.11,0.24,498.99,0.00,0.62
Euroyen Bond Index,185.84,0.00,0.13,169.48,0.18,1.14,369.82,0.01,0.14
CEEMEA Government Bond Index (CEEMEAGBI),183.34,0.05,0.45,99.91,0.17,1.83,135.44,0.03,0.36
Middle East and North Africa Broad Bond Index (MENABBI),169.48,0.09,0.87,169.48,0.09,0.87,169.48,0.09,0.87
Asian Government Bond Index (AGBI),190.82,0.06,0.39,164.43,0.03,0.50,167.19,0.04,0.33
Asian Government Extended Bond Index (AGBI-Extended),181.04,0.03,0.44,188.78,-0.09,-0.08,144.41,0.01,0.36
AsiaPac Government Bond Index (APGBI),194.15,0.04,0.41,163.30,0.00,0.52,165.32,0.02,0.36
Asian Broad Bond Index (ABBI),227.79,-0.00,0.24,227.79,-0.00,0.24,227.79,-0.00,0.24
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.22,0.11,0.19,134.19,0.22,0.24,127.49,0.08,0.10
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.14,0.11,0.19,134.11,0.22,0.24,127.42,0.08,0.10
Dim Sum (Offshore CNY) Bond Index,146.03,0.06,0.18,146.70,0.15,0.35,118.42,0.03,0.09
Australian Broad Investment-Grade Bond Index (AusBIG),324.63,-0.02,0.54,412.14,-0.10,0.61,207.95,-0.02,0.54
Emerging Markets Government Bond Index (EMGBI),249.38,0.03,0.44,138.62,0.11,0.80,160.98,0.01,0.36
Emerging Markets Inflation-Linked Securities Index (EMILSI),427.65,-0.05,0.57,156.66,-0.03,1.25,196.00,-0.09,0.43
Emerging Markets US Dollar Government Bond Index EMUSDGBI),915.35,0.09,1.26,915.35,0.09,1.26,915.35,0.09,1.26
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),984.97,0.05,1.26,984.97,0.05,1.26,984.97,0.05,1.26
Debt Capacity World Government Bond Index (DCWGBI),185.61,-0.05,0.20,180.59,0.04,1.03,197.13,-0.05,0.20
Time-Weighted US Fallen Angel Bond Index,804.79,-0.07,0.83,804.79,-0.07,0.83,804.79,-0.07,0.83
