,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.03,0.11,0.38,248.26,0.17,0.96,277.65,0.11,0.39
World Government Bond Index (WGBI),801.30,0.08,0.24,"1,046.18",0.15,0.96,951.64,0.08,0.25
World Government Bond Index - Developed Markets (WGBI  DM),797.02,0.08,0.23,"1,046.41",0.16,0.94,954.29,0.08,0.24
World Government Bond Index - Extended (WGBI Extended),806.97,0.08,0.25,"1,050.70",0.14,0.93,950.32,0.08,0.25
World Inflation-Linked Securities Index (WorldILSI),196.82,0.11,0.69,172.51,0.12,0.97,199.30,0.11,0.70
US Broad Investment-Grade Bond Index (USBIG),"1,917.85",0.25,0.76,"1,917.85",0.25,0.76,"1,917.85",0.25,0.76
US Treasury Index,"1,646.77",0.29,0.74,"1,646.77",0.29,0.74,"1,646.77",0.29,0.74
US High-Yield Market Index,"1,196.26",-0.10,0.53,"1,196.26",-0.10,0.53,"1,196.26",-0.10,0.53
US High-Yield Cash Pay Index,"1,171.59",-0.10,0.52,"1,171.59",-0.10,0.52,"1,171.59",-0.10,0.52
US High-Yield Market Capped Index,414.21,-0.09,0.52,414.21,-0.09,0.52,414.21,-0.09,0.52
US High-Yield Cash Pay Capped Index,410.16,-0.09,0.51,410.16,-0.09,0.51,410.16,-0.09,0.51
LATAM Government Bond Index (LATAMGBI),235.35,-0.17,0.83,111.79,-0.42,1.92,156.25,-0.18,0.77
Euro Broad Investment-Grade Bond Index (EuroBIG),251.06,-0.06,-0.13,254.96,0.10,1.33,293.05,-0.05,-0.11
EMU Government Bond Index (EGBI),256.10,-0.08,-0.34,260.08,0.07,1.13,298.51,-0.08,-0.32
Eurodollar Bond Index,461.64,0.19,0.90,461.64,0.19,0.90,461.64,0.19,0.90
Eurosterling Bond Index,568.31,0.09,0.71,498.75,-0.02,0.22,499.41,0.09,0.71
Euroyen Bond Index,185.86,0.01,0.14,169.80,0.19,1.33,369.87,0.01,0.15
CEEMEA Government Bond Index (CEEMEAGBI),183.38,0.02,0.47,99.94,0.03,1.85,135.46,0.01,0.37
Middle East and North Africa Broad Bond Index (MENABBI),169.58,0.06,0.93,169.58,0.06,0.93,169.58,0.06,0.93
Asian Government Bond Index (AGBI),190.91,0.05,0.43,164.51,0.05,0.54,167.25,0.04,0.37
Asian Government Extended Bond Index (AGBI-Extended),181.11,0.04,0.48,188.85,0.04,-0.04,144.46,0.03,0.39
AsiaPac Government Bond Index (APGBI),194.17,0.01,0.42,163.32,0.01,0.54,165.33,0.00,0.36
Asian Broad Bond Index (ABBI),227.39,-0.18,0.06,227.39,-0.18,0.06,227.39,-0.18,0.06
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.41,0.13,0.32,134.42,0.17,0.42,127.65,0.12,0.22
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.33,0.13,0.32,134.35,0.18,0.42,127.57,0.12,0.22
Dim Sum (Offshore CNY) Bond Index,146.00,-0.02,0.16,146.79,0.06,0.41,118.39,-0.03,0.06
Australian Broad Investment-Grade Bond Index (AusBIG),323.98,-0.20,0.33,411.48,-0.16,0.45,207.53,-0.20,0.34
Emerging Markets Government Bond Index (EMGBI),249.56,0.07,0.52,138.68,0.05,0.85,161.09,0.06,0.43
Emerging Markets Inflation-Linked Securities Index (EMILSI),427.49,-0.04,0.54,155.79,-0.55,0.69,195.90,-0.05,0.38
Emerging Markets US Dollar Government Bond Index EMUSDGBI),916.98,0.18,1.44,916.98,0.18,1.44,916.98,0.18,1.44
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),988.42,0.35,1.62,988.42,0.35,1.62,988.42,0.35,1.62
Debt Capacity World Government Bond Index (DCWGBI),185.67,0.03,0.23,180.76,0.09,1.12,197.19,0.03,0.23
Time-Weighted US Fallen Angel Bond Index,804.38,-0.05,0.78,804.38,-0.05,0.78,804.38,-0.05,0.78
