,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.45,-0.07,0.55,249.91,-0.01,1.63,278.13,-0.07,0.56
World Government Bond Index (WGBI),802.67,-0.09,0.41,"1,054.64",-0.03,1.78,953.35,-0.09,0.43
World Government Bond Index - Developed Markets (WGBI  DM),798.41,-0.10,0.41,"1,054.86",-0.03,1.75,956.03,-0.10,0.43
World Government Bond Index - Extended (WGBI Extended),808.33,-0.10,0.42,"1,059.33",-0.05,1.76,951.95,-0.10,0.42
World Inflation-Linked Securities Index (WorldILSI),197.35,-0.13,0.96,173.95,-0.11,1.81,199.84,-0.13,0.97
US Broad Investment-Grade Bond Index (USBIG),"1,923.43",-0.06,1.05,"1,923.43",-0.06,1.05,"1,923.43",-0.06,1.05
US Treasury Index,"1,651.87",-0.08,1.06,"1,651.87",-0.08,1.06,"1,651.87",-0.08,1.06
US High-Yield Market Index,"1,200.30",0.10,0.87,"1,200.30",0.10,0.87,"1,200.30",0.10,0.87
US High-Yield Cash Pay Index,"1,175.60",0.10,0.87,"1,175.60",0.10,0.87,"1,175.60",0.10,0.87
US High-Yield Market Capped Index,415.53,0.10,0.84,415.53,0.10,0.84,415.53,0.10,0.84
US High-Yield Cash Pay Capped Index,411.50,0.10,0.84,411.50,0.10,0.84,411.50,0.10,0.84
LATAM Government Bond Index (LATAMGBI),235.16,0.02,0.75,112.68,-0.19,2.73,156.02,0.02,0.62
Euro Broad Investment-Grade Bond Index (EuroBIG),250.75,-0.11,-0.25,257.29,0.11,2.26,292.74,-0.11,-0.21
EMU Government Bond Index (EGBI),255.68,-0.17,-0.50,262.35,0.06,2.01,298.05,-0.17,-0.47
Eurodollar Bond Index,463.16,-0.06,1.24,463.16,-0.06,1.24,463.16,-0.06,1.24
Eurosterling Bond Index,570.44,-0.09,1.08,504.59,-0.14,1.39,501.33,-0.09,1.09
Euroyen Bond Index,186.23,0.01,0.34,171.91,-0.07,2.58,370.66,0.01,0.37
CEEMEA Government Bond Index (CEEMEAGBI),184.37,-0.10,1.01,101.74,0.09,3.69,136.10,-0.11,0.85
Middle East and North Africa Broad Bond Index (MENABBI),171.02,-0.03,1.79,171.02,-0.03,1.79,171.02,-0.03,1.79
Asian Government Bond Index (AGBI),191.34,-0.10,0.66,166.13,-0.16,1.53,167.55,-0.11,0.54
Asian Government Extended Bond Index (AGBI-Extended),181.36,-0.05,0.61,190.32,-0.11,0.73,144.57,-0.06,0.46
AsiaPac Government Bond Index (APGBI),194.66,-0.12,0.68,165.12,-0.18,1.64,165.68,-0.12,0.58
Asian Broad Bond Index (ABBI),228.14,-0.06,0.39,228.14,-0.06,0.39,228.14,-0.06,0.39
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.67,-0.05,0.50,135.80,-0.12,1.44,127.78,-0.05,0.33
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.58,-0.05,0.50,135.72,-0.12,1.44,127.71,-0.06,0.33
Dim Sum (Offshore CNY) Bond Index,146.16,0.07,0.27,148.13,-0.03,1.33,118.43,0.07,0.10
Australian Broad Investment-Grade Bond Index (AusBIG),325.13,-0.14,0.69,418.40,-0.18,2.14,208.30,-0.14,0.71
Emerging Markets Government Bond Index (EMGBI),250.28,-0.06,0.81,140.27,-0.10,2.01,161.44,-0.06,0.65
Emerging Markets Inflation-Linked Securities Index (EMILSI),428.21,0.19,0.71,159.30,0.06,2.96,195.99,0.18,0.42
Emerging Markets US Dollar Government Bond Index EMUSDGBI),928.12,0.05,2.67,928.12,0.05,2.67,928.12,0.05,2.67
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,001.20",0.07,2.93,"1,001.20",0.07,2.93,"1,001.20",0.07,2.93
Debt Capacity World Government Bond Index (DCWGBI),185.88,-0.08,0.34,182.43,0.00,2.06,197.44,-0.08,0.36
Time-Weighted US Fallen Angel Bond Index,809.50,0.12,1.42,809.50,0.12,1.42,809.50,0.12,1.42
