,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.23,0.11,0.46,248.27,0.12,0.96,277.87,0.11,0.47
World Government Bond Index (WGBI),802.67,0.09,0.41,"1,047.04",0.12,1.05,953.26,0.09,0.42
World Government Bond Index - Developed Markets (WGBI  DM),798.36,0.09,0.40,"1,047.20",0.11,1.02,955.86,0.09,0.41
World Government Bond Index - Extended (WGBI Extended),808.00,0.09,0.38,"1,051.37",0.11,0.99,951.55,0.09,0.38
World Inflation-Linked Securities Index (WorldILSI),196.92,0.11,0.74,172.52,0.00,0.97,199.40,0.11,0.75
US Broad Investment-Grade Bond Index (USBIG),"1,915.59",0.16,0.64,"1,915.59",0.16,0.64,"1,915.59",0.16,0.64
US Treasury Index,"1,645.42",0.10,0.66,"1,645.42",0.10,0.66,"1,645.42",0.10,0.66
US High-Yield Market Index,"1,198.90",0.12,0.75,"1,198.90",0.12,0.75,"1,198.90",0.12,0.75
US High-Yield Cash Pay Index,"1,174.16",0.12,0.74,"1,174.16",0.12,0.74,"1,174.16",0.12,0.74
US High-Yield Market Capped Index,415.10,0.12,0.73,415.10,0.12,0.73,415.10,0.12,0.73
US High-Yield Cash Pay Capped Index,411.04,0.11,0.73,411.04,0.11,0.73,411.04,0.11,0.73
LATAM Government Bond Index (LATAMGBI),236.42,0.21,1.29,113.12,0.43,3.13,157.02,0.21,1.27
Euro Broad Investment-Grade Bond Index (EuroBIG),251.92,0.09,0.21,255.24,0.07,1.44,294.05,0.10,0.23
EMU Government Bond Index (EGBI),257.28,0.11,0.12,260.66,0.09,1.35,299.86,0.12,0.14
Eurodollar Bond Index,461.45,0.26,0.86,461.45,0.26,0.86,461.45,0.26,0.86
Eurosterling Bond Index,568.63,0.22,0.76,499.03,-0.20,0.27,499.68,0.21,0.76
Euroyen Bond Index,185.91,0.07,0.17,169.75,0.40,1.29,369.95,0.07,0.18
CEEMEA Government Bond Index (CEEMEAGBI),183.30,0.12,0.43,100.16,0.36,2.08,135.46,0.12,0.37
Middle East and North Africa Broad Bond Index (MENABBI),169.46,0.23,0.87,169.46,0.23,0.87,169.46,0.23,0.87
Asian Government Bond Index (AGBI),190.46,0.10,0.20,164.44,0.01,0.50,166.91,0.10,0.16
Asian Government Extended Bond Index (AGBI-Extended),180.74,0.12,0.27,189.03,0.04,0.05,144.21,0.11,0.22
AsiaPac Government Bond Index (APGBI),193.88,0.09,0.27,163.39,0.01,0.58,165.12,0.09,0.24
Asian Broad Bond Index (ABBI),227.93,0.02,0.30,227.93,0.02,0.30,227.93,0.02,0.30
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),144.96,-0.00,0.01,134.00,-0.05,0.10,127.30,-0.01,-0.05
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.87,-0.00,0.01,133.92,-0.05,0.10,127.22,-0.01,-0.05
Dim Sum (Offshore CNY) Bond Index,145.89,0.03,0.08,146.34,-0.26,0.10,118.34,0.02,0.02
Australian Broad Investment-Grade Bond Index (AusBIG),325.06,0.03,0.67,413.50,-0.06,0.95,208.22,0.03,0.67
Emerging Markets Government Bond Index (EMGBI),249.22,0.05,0.38,138.72,0.06,0.87,160.93,0.04,0.33
Emerging Markets Inflation-Linked Securities Index (EMILSI),428.24,0.16,0.71,157.99,0.10,2.11,196.38,0.15,0.62
Emerging Markets US Dollar Government Bond Index EMUSDGBI),914.87,0.23,1.21,914.87,0.23,1.21,914.87,0.23,1.21
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),984.60,0.25,1.23,984.60,0.25,1.23,984.60,0.25,1.23
Debt Capacity World Government Bond Index (DCWGBI),186.07,0.11,0.44,181.00,0.14,1.26,197.62,0.11,0.45
Time-Weighted US Fallen Angel Bond Index,805.35,0.17,0.90,805.35,0.17,0.90,805.35,0.17,0.90
