,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.39,0.11,0.52,249.92,0.17,1.64,278.06,0.12,0.54
World Government Bond Index (WGBI),802.62,0.13,0.40,"1,054.94",0.17,1.81,953.26,0.13,0.42
World Government Bond Index - Developed Markets (WGBI  DM),798.36,0.14,0.40,"1,055.15",0.18,1.78,955.95,0.14,0.42
World Government Bond Index - Extended (WGBI Extended),808.37,0.12,0.42,"1,059.83",0.18,1.80,951.99,0.12,0.42
World Inflation-Linked Securities Index (WorldILSI),197.43,-0.02,1.00,174.48,-0.07,2.12,199.93,-0.03,1.01
US Broad Investment-Grade Bond Index (USBIG),"1,922.64",0.15,1.01,"1,922.64",0.15,1.01,"1,922.64",0.15,1.01
US Treasury Index,"1,652.09",0.21,1.07,"1,652.09",0.21,1.07,"1,652.09",0.21,1.07
US High-Yield Market Index,"1,198.03",-0.19,0.68,"1,198.03",-0.19,0.68,"1,198.03",-0.19,0.68
US High-Yield Cash Pay Index,"1,173.44",-0.19,0.68,"1,173.44",-0.19,0.68,"1,173.44",-0.19,0.68
US High-Yield Market Capped Index,414.76,-0.19,0.65,414.76,-0.19,0.65,414.76,-0.19,0.65
US High-Yield Cash Pay Capped Index,410.75,-0.19,0.65,410.75,-0.19,0.65,410.75,-0.19,0.65
LATAM Government Bond Index (LATAMGBI),235.70,-0.33,0.98,113.53,-0.41,3.50,156.41,-0.34,0.88
Euro Broad Investment-Grade Bond Index (EuroBIG),250.78,0.09,-0.24,257.30,0.33,2.26,292.75,0.10,-0.21
EMU Government Bond Index (EGBI),255.74,0.11,-0.48,262.40,0.35,2.03,298.11,0.11,-0.45
Eurodollar Bond Index,462.68,0.09,1.13,462.68,0.09,1.13,462.68,0.09,1.13
Eurosterling Bond Index,570.87,0.16,1.16,509.02,-0.10,2.28,501.75,0.16,1.18
Euroyen Bond Index,186.05,-0.00,0.25,171.68,-0.09,2.45,370.29,-0.00,0.27
CEEMEA Government Bond Index (CEEMEAGBI),184.49,-0.06,1.08,101.72,-0.09,3.67,136.23,-0.07,0.95
Middle East and North Africa Broad Bond Index (MENABBI),170.97,-0.06,1.76,170.97,-0.06,1.76,170.97,-0.06,1.76
Asian Government Bond Index (AGBI),191.47,-0.02,0.73,166.43,0.24,1.72,167.69,-0.02,0.63
Asian Government Extended Bond Index (AGBI-Extended),181.40,-0.01,0.64,190.62,0.19,0.89,144.63,-0.02,0.51
AsiaPac Government Bond Index (APGBI),194.69,-0.07,0.69,165.38,0.12,1.80,165.73,-0.08,0.61
Asian Broad Bond Index (ABBI),228.01,0.05,0.34,228.01,0.05,0.34,228.01,0.05,0.34
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.68,0.05,0.51,135.78,0.30,1.43,127.83,0.05,0.36
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.60,0.05,0.51,135.70,0.30,1.43,127.76,0.05,0.37
Dim Sum (Offshore CNY) Bond Index,146.06,-0.02,0.20,147.90,0.13,1.17,118.37,-0.02,0.05
Australian Broad Investment-Grade Bond Index (AusBIG),324.34,-0.33,0.44,418.63,-0.57,2.20,207.78,-0.34,0.46
Emerging Markets Government Bond Index (EMGBI),250.41,-0.01,0.86,140.43,0.10,2.12,161.57,-0.02,0.72
Emerging Markets Inflation-Linked Securities Index (EMILSI),428.49,-0.24,0.77,159.91,-0.03,3.36,196.20,-0.26,0.53
Emerging Markets US Dollar Government Bond Index EMUSDGBI),928.01,-0.15,2.66,928.01,-0.15,2.66,928.01,-0.15,2.66
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,000.57",-0.13,2.87,"1,000.57",-0.13,2.87,"1,000.57",-0.13,2.87
Debt Capacity World Government Bond Index (DCWGBI),185.85,0.08,0.33,182.48,0.14,2.09,197.40,0.08,0.34
Time-Weighted US Fallen Angel Bond Index,807.80,-0.21,1.20,807.80,-0.21,1.20,807.80,-0.21,1.20
