,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.63,0.05,0.62,249.93,0.02,1.64,278.34,0.06,0.64
World Government Bond Index (WGBI),803.43,0.06,0.51,"1,054.98",0.02,1.81,954.25,0.06,0.52
World Government Bond Index - Developed Markets (WGBI  DM),799.19,0.06,0.51,"1,055.23",0.03,1.79,956.97,0.06,0.53
World Government Bond Index - Extended (WGBI Extended),809.12,0.05,0.51,"1,059.83",0.03,1.80,952.89,0.05,0.52
World Inflation-Linked Securities Index (WorldILSI),197.61,0.11,1.10,174.13,-0.09,1.92,200.10,0.10,1.10
US Broad Investment-Grade Bond Index (USBIG),"1,924.63",0.08,1.12,"1,924.63",0.08,1.12,"1,924.63",0.08,1.12
US Treasury Index,"1,653.13",0.08,1.13,"1,653.13",0.08,1.13,"1,653.13",0.08,1.13
US High-Yield Market Index,"1,199.13",0.08,0.77,"1,199.13",0.08,0.77,"1,199.13",0.08,0.77
US High-Yield Cash Pay Index,"1,174.46",0.08,0.77,"1,174.46",0.08,0.77,"1,174.46",0.08,0.77
US High-Yield Market Capped Index,415.12,0.08,0.74,415.12,0.08,0.74,415.12,0.08,0.74
US High-Yield Cash Pay Capped Index,411.09,0.08,0.74,411.09,0.08,0.74,411.09,0.08,0.74
LATAM Government Bond Index (LATAMGBI),235.11,-0.29,0.73,112.89,-0.24,2.92,155.99,-0.30,0.60
Euro Broad Investment-Grade Bond Index (EuroBIG),251.03,0.03,-0.14,257.00,-0.02,2.15,293.07,0.03,-0.10
EMU Government Bond Index (EGBI),256.10,0.04,-0.34,262.20,-0.01,1.95,298.56,0.05,-0.30
Eurodollar Bond Index,463.46,0.11,1.30,463.46,0.11,1.30,463.46,0.11,1.30
Eurosterling Bond Index,570.97,0.14,1.18,505.29,-0.46,1.53,501.80,0.14,1.19
Euroyen Bond Index,186.21,0.03,0.33,172.02,0.18,2.65,370.61,0.03,0.36
CEEMEA Government Bond Index (CEEMEAGBI),184.56,-0.01,1.11,101.65,0.03,3.60,136.25,-0.02,0.96
Middle East and North Africa Broad Bond Index (MENABBI),171.07,0.18,1.82,171.07,0.18,1.82,171.07,0.18,1.82
Asian Government Bond Index (AGBI),191.53,0.02,0.76,166.39,0.11,1.70,167.73,0.01,0.65
Asian Government Extended Bond Index (AGBI-Extended),181.45,0.01,0.66,190.54,0.06,0.85,144.65,0.00,0.52
AsiaPac Government Bond Index (APGBI),194.89,0.04,0.80,165.41,0.08,1.82,165.89,0.03,0.71
Asian Broad Bond Index (ABBI),228.26,0.08,0.45,228.26,0.08,0.45,228.26,0.08,0.45
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),145.73,0.00,0.54,135.97,0.10,1.57,127.85,-0.00,0.38
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),145.65,0.00,0.54,135.89,0.10,1.57,127.78,-0.00,0.39
Dim Sum (Offshore CNY) Bond Index,146.06,-0.05,0.20,148.18,0.01,1.36,118.35,-0.06,0.03
Australian Broad Investment-Grade Bond Index (AusBIG),325.58,0.09,0.83,419.15,-0.18,2.32,208.59,0.09,0.85
Emerging Markets Government Bond Index (EMGBI),250.43,-0.01,0.87,140.41,0.06,2.11,161.55,-0.02,0.71
Emerging Markets Inflation-Linked Securities Index (EMILSI),427.41,-0.22,0.52,159.21,0.17,2.91,195.64,-0.24,0.24
Emerging Markets US Dollar Government Bond Index EMUSDGBI),927.66,0.14,2.62,927.66,0.14,2.62,927.66,0.14,2.62
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,000.48",0.17,2.86,"1,000.48",0.17,2.86,"1,000.48",0.17,2.86
Debt Capacity World Government Bond Index (DCWGBI),186.04,0.05,0.43,182.43,0.01,2.06,197.60,0.05,0.44
Time-Weighted US Fallen Angel Bond Index,808.55,0.08,1.30,808.55,0.08,1.30,808.55,0.08,1.30
