,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),252.52,0.01,-0.02,251.00,-0.03,-0.51,282.89,0.01,-0.01
World Government Bond Index (WGBI),817.43,0.00,0.09,"1,058.25",-0.05,-0.48,971.58,0.00,0.10
World Government Bond Index - Developed Markets (WGBI  DM),813.29,0.00,0.09,"1,058.79",-0.05,-0.47,974.67,0.00,0.10
World Government Bond Index - Extended (WGBI Extended),823.50,0.01,0.09,"1,063.79",-0.02,-0.49,969.97,0.01,0.09
World Inflation-Linked Securities Index (WorldILSI),209.13,-0.02,0.38,182.66,0.01,-0.30,211.90,-0.02,0.38
US Broad Investment-Grade Bond Index (USBIG),"1,956.82",-0.01,-0.24,"1,956.82",-0.01,-0.24,"1,956.82",-0.01,-0.24
US Treasury Index,"1,684.42",-0.02,-0.13,"1,684.42",-0.02,-0.13,"1,684.42",-0.02,-0.13
US High-Yield Market Index,"1,221.61",0.03,-0.35,"1,221.61",0.03,-0.35,"1,221.61",0.03,-0.35
US High-Yield Cash Pay Index,"1,196.18",0.03,-0.35,"1,196.18",0.03,-0.35,"1,196.18",0.03,-0.35
US High-Yield Market Capped Index,422.55,0.03,-0.35,422.55,0.03,-0.35,422.55,0.03,-0.35
US High-Yield Cash Pay Capped Index,418.35,0.03,-0.35,418.35,0.03,-0.35,418.35,0.03,-0.35
LATAM Government Bond Index (LATAMGBI),230.47,0.06,-1.50,108.07,-0.06,-2.86,151.61,0.06,-1.64
Euro Broad Investment-Grade Bond Index (EuroBIG),254.96,0.07,0.27,254.27,0.03,-0.97,298.26,0.07,0.30
EMU Government Bond Index (EGBI),260.88,0.09,0.35,260.18,0.05,-0.89,304.72,0.09,0.38
Eurodollar Bond Index,475.87,0.01,-0.33,475.87,0.01,-0.33,475.87,0.01,-0.33
Eurosterling Bond Index,583.35,-0.10,0.20,512.95,0.04,-0.85,512.77,-0.10,0.21
Euroyen Bond Index,187.42,-0.04,0.00,170.15,-0.31,-0.13,373.36,-0.04,0.02
CEEMEA Government Bond Index (CEEMEAGBI),187.12,0.02,-0.05,101.84,0.04,-1.04,136.94,0.02,-0.19
Middle East and North Africa Broad Bond Index (MENABBI),174.86,0.02,0.09,174.86,0.02,0.09,174.86,0.02,0.09
Asian Government Bond Index (AGBI),195.74,0.07,0.10,167.64,0.22,-0.53,170.45,0.06,0.02
Asian Government Extended Bond Index (AGBI-Extended),184.89,0.06,0.14,192.59,0.21,-0.25,146.30,0.06,0.04
AsiaPac Government Bond Index (APGBI),199.52,0.06,0.12,165.78,0.15,-0.64,168.99,0.06,0.04
Asian Broad Bond Index (ABBI),230.74,-0.03,0.53,230.74,-0.03,0.53,230.74,-0.03,0.53
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.25,0.16,0.20,139.43,0.15,-0.17,129.92,0.15,0.09
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.18,0.16,0.20,139.36,0.16,-0.17,129.85,0.16,0.09
Dim Sum (Offshore CNY) Bond Index,147.64,0.02,0.14,149.83,0.16,-0.17,118.66,0.01,-0.01
Australian Broad Investment-Grade Bond Index (AusBIG),335.42,-0.02,0.23,404.30,-0.30,-1.31,214.89,-0.02,0.24
Emerging Markets Government Bond Index (EMGBI),254.69,0.10,-0.08,141.50,0.08,-0.69,162.96,0.10,-0.21
Emerging Markets Inflation-Linked Securities Index (EMILSI),428.09,0.07,-1.20,159.17,-0.43,-3.34,193.12,0.07,-1.43
Emerging Markets US Dollar Government Bond Index EMUSDGBI),951.67,0.01,0.16,951.67,0.01,0.16,951.67,0.01,0.16
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,020.27",0.04,0.03,"1,020.27",0.04,0.03,"1,020.27",0.04,0.03
Debt Capacity World Government Bond Index (DCWGBI),189.17,0.02,0.09,181.99,-0.02,-0.65,200.99,0.02,0.09
Time-Weighted US Fallen Angel Bond Index,837.60,0.09,-0.18,837.60,0.09,-0.18,837.60,0.09,-0.18
