,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),253.20,0.04,0.25,253.08,0.00,0.31,283.62,0.04,0.25
World Government Bond Index (WGBI),819.23,0.08,0.31,"1,067.91",0.05,0.43,973.63,0.08,0.31
World Government Bond Index - Developed Markets (WGBI  DM),815.09,0.08,0.31,"1,068.46",0.05,0.43,976.73,0.08,0.31
World Government Bond Index - Extended (WGBI Extended),825.10,0.08,0.29,"1,073.21",0.05,0.39,971.83,0.08,0.29
World Inflation-Linked Securities Index (WorldILSI),209.33,0.32,0.47,184.05,0.27,0.46,212.10,0.32,0.47
US Broad Investment-Grade Bond Index (USBIG),"1,966.39",-0.01,0.25,"1,966.39",-0.01,0.25,"1,966.39",-0.01,0.25
US Treasury Index,"1,692.44",0.00,0.35,"1,692.44",0.00,0.35,"1,692.44",0.00,0.35
US High-Yield Market Index,"1,242.03",1.31,1.31,"1,242.03",1.31,1.31,"1,242.03",1.31,1.31
US High-Yield Cash Pay Index,"1,216.50",1.35,1.34,"1,216.50",1.35,1.34,"1,216.50",1.35,1.34
US High-Yield Market Capped Index,430.00,1.40,1.40,430.00,1.40,1.40,430.00,1.40,1.40
US High-Yield Cash Pay Capped Index,425.84,1.43,1.44,425.84,1.43,1.44,425.84,1.43,1.44
LATAM Government Bond Index (LATAMGBI),232.79,-0.14,-0.51,109.49,-1.29,-1.58,153.31,-0.14,-0.53
Euro Broad Investment-Grade Bond Index (EuroBIG),254.91,0.06,0.25,257.44,-0.13,0.26,298.12,0.06,0.25
EMU Government Bond Index (EGBI),260.75,0.07,0.30,263.34,-0.12,0.31,304.50,0.07,0.30
Eurodollar Bond Index,478.82,-0.01,0.29,478.82,-0.01,0.29,478.82,-0.01,0.29
Eurosterling Bond Index,584.71,0.22,0.44,519.29,0.19,0.37,513.95,0.22,0.44
Euroyen Bond Index,187.46,0.02,0.02,171.68,0.31,0.76,373.40,0.02,0.03
CEEMEA Government Bond Index (CEEMEAGBI),187.49,-0.03,0.15,103.64,-0.05,0.71,137.37,-0.04,0.12
Middle East and North Africa Broad Bond Index (MENABBI),174.93,-0.01,0.12,174.93,-0.01,0.12,174.93,-0.01,0.12
Asian Government Bond Index (AGBI),195.68,0.03,0.07,168.71,0.10,0.10,170.51,0.03,0.05
Asian Government Extended Bond Index (AGBI-Extended),184.77,0.03,0.08,193.35,0.10,0.15,146.33,0.02,0.06
AsiaPac Government Bond Index (APGBI),199.44,0.05,0.08,167.11,0.12,0.15,169.03,0.04,0.07
Asian Broad Bond Index (ABBI),230.33,0.16,0.35,230.33,0.16,0.35,230.33,0.16,0.35
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.04,-0.01,0.06,139.56,-0.08,-0.07,129.86,-0.02,0.04
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),148.97,-0.01,0.06,139.49,-0.08,-0.07,129.79,-0.02,0.04
Dim Sum (Offshore CNY) Bond Index,147.45,0.02,0.00,150.01,-0.09,-0.05,118.64,0.01,-0.02
Australian Broad Investment-Grade Bond Index (AusBIG),335.09,0.12,0.14,411.69,0.14,0.49,214.66,0.12,0.14
Emerging Markets Government Bond Index (EMGBI),254.98,-0.03,0.03,142.50,-0.17,0.01,163.31,-0.04,0.01
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.45,-0.09,-0.20,162.40,-1.64,-1.38,195.46,-0.10,-0.24
Emerging Markets US Dollar Government Bond Index EMUSDGBI),953.41,0.09,0.35,953.41,0.09,0.35,953.41,0.09,0.35
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,023.43",0.11,0.34,"1,023.43",0.11,0.34,"1,023.43",0.11,0.34
Debt Capacity World Government Bond Index (DCWGBI),189.53,0.09,0.28,183.85,0.02,0.37,201.37,0.09,0.28
Time-Weighted US Fallen Angel Bond Index,837.23,-0.17,-0.23,837.23,-0.17,-0.23,837.23,-0.17,-0.23
