,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),252.49,-0.08,-0.03,251.35,0.00,-0.37,282.87,-0.08,-0.02
World Government Bond Index (WGBI),817.22,-0.09,0.06,"1,059.83",0.02,-0.33,971.37,-0.09,0.08
World Government Bond Index - Developed Markets (WGBI  DM),813.05,-0.09,0.06,"1,060.43",0.01,-0.32,974.44,-0.09,0.08
World Government Bond Index - Extended (WGBI Extended),823.21,-0.09,0.06,"1,065.22",0.04,-0.35,969.65,-0.09,0.06
World Inflation-Linked Securities Index (WorldILSI),210.42,0.26,1.00,183.78,0.37,0.31,213.19,0.26,0.99
US Broad Investment-Grade Bond Index (USBIG),"1,956.74",-0.14,-0.25,"1,956.74",-0.14,-0.25,"1,956.74",-0.14,-0.25
US Treasury Index,"1,684.18",-0.20,-0.14,"1,684.18",-0.20,-0.14,"1,684.18",-0.20,-0.14
US High-Yield Market Index,"1,224.98",0.20,-0.08,"1,224.98",0.20,-0.08,"1,224.98",0.20,-0.08
US High-Yield Cash Pay Index,"1,199.47",0.20,-0.07,"1,199.47",0.20,-0.07,"1,199.47",0.20,-0.07
US High-Yield Market Capped Index,423.70,0.19,-0.08,423.70,0.19,-0.08,423.70,0.19,-0.08
US High-Yield Cash Pay Capped Index,419.49,0.19,-0.07,419.49,0.19,-0.07,419.49,0.19,-0.07
LATAM Government Bond Index (LATAMGBI),230.54,-0.04,-1.47,107.68,0.67,-3.21,151.56,-0.07,-1.67
Euro Broad Investment-Grade Bond Index (EuroBIG),254.84,-0.01,0.22,255.22,0.16,-0.60,298.17,-0.01,0.27
EMU Government Bond Index (EGBI),260.72,-0.02,0.29,261.11,0.16,-0.54,304.57,-0.01,0.33
Eurodollar Bond Index,475.83,-0.18,-0.34,475.83,-0.18,-0.34,475.83,-0.18,-0.34
Eurosterling Bond Index,584.37,-0.01,0.38,512.84,0.07,-0.87,513.66,-0.01,0.38
Euroyen Bond Index,187.41,-0.03,-0.01,170.45,0.01,0.04,373.35,-0.03,0.01
CEEMEA Government Bond Index (CEEMEAGBI),187.27,0.01,0.03,102.12,0.58,-0.76,136.98,-0.00,-0.16
Middle East and North Africa Broad Bond Index (MENABBI),175.22,-0.07,0.29,175.22,-0.07,0.29,175.22,-0.07,0.29
Asian Government Bond Index (AGBI),195.56,-0.02,0.01,167.77,0.34,-0.46,170.25,-0.03,-0.10
Asian Government Extended Bond Index (AGBI-Extended),184.84,-0.01,0.11,192.78,0.27,-0.15,146.21,-0.01,-0.02
AsiaPac Government Bond Index (APGBI),199.35,-0.07,0.03,166.00,0.37,-0.51,168.81,-0.08,-0.06
Asian Broad Bond Index (ABBI),231.30,-0.02,0.77,231.30,-0.02,0.77,231.30,-0.02,0.77
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.27,0.05,0.22,139.51,0.25,-0.11,129.88,0.04,0.06
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.19,0.05,0.22,139.44,0.25,-0.11,129.82,0.04,0.06
Dim Sum (Offshore CNY) Bond Index,147.74,0.01,0.20,150.33,0.26,0.16,118.68,0.01,0.01
Australian Broad Investment-Grade Bond Index (AusBIG),335.17,-0.30,0.16,405.76,0.64,-0.96,214.74,-0.29,0.17
Emerging Markets Government Bond Index (EMGBI),254.78,0.05,-0.05,141.66,0.44,-0.58,162.95,0.04,-0.21
Emerging Markets Inflation-Linked Securities Index (EMILSI),427.77,-0.16,-1.28,159.30,1.06,-3.26,192.78,-0.20,-1.60
Emerging Markets US Dollar Government Bond Index EMUSDGBI),954.36,0.05,0.45,954.36,0.05,0.45,954.36,0.05,0.45
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,023.47",0.08,0.34,"1,023.47",0.08,0.34,"1,023.47",0.08,0.34
Debt Capacity World Government Bond Index (DCWGBI),189.17,-0.08,0.09,182.39,0.13,-0.44,201.00,-0.08,0.10
Time-Weighted US Fallen Angel Bond Index,840.21,0.28,0.13,840.21,0.28,0.13,840.21,0.28,0.13
