,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),219.78,0.11,-3.28,206.55,0.54,-4.28,247.18,0.10,-3.21
World Government Bond Index (WGBI),716.41,0.17,-2.94,860.66,0.73,-4.28,855.26,0.16,-2.87
World Government Bond Index - Developed Markets (WGBI  DM),711.26,0.18,-3.00,859.22,0.76,-4.32,856.69,0.16,-2.92
World Government Bond Index - Extended (WGBI Extended),728.14,0.15,-2.80,874.34,0.68,-4.17,860.03,0.14,-2.73
World Inflation-Linked Securities Index (WorldILSI),185.22,-0.44,-3.38,151.44,0.22,-4.91,188.07,-0.46,-3.30
US Broad Investment-Grade Bond Index (USBIG),"1,708.36",0.32,-3.13,"1,708.36",0.32,-3.13,"1,708.36",0.32,-3.13
US Treasury Index,"1,491.25",0.46,-2.65,"1,491.25",0.46,-2.65,"1,491.25",0.46,-2.65
US High-Yield Market Index,"1,083.11",-1.06,-5.65,"1,083.11",-1.06,-5.65,"1,083.11",-1.06,-5.65
US High-Yield Cash Pay Index,"1,061.23",-1.06,-5.65,"1,061.23",-1.06,-5.65,"1,061.23",-1.06,-5.65
US High-Yield Market Capped Index,374.98,-1.05,-5.62,374.98,-1.05,-5.62,374.98,-1.05,-5.62
US High-Yield Cash Pay Capped Index,371.48,-1.05,-5.62,371.48,-1.05,-5.62,371.48,-1.05,-5.62
LATAM Government Bond Index (LATAMGBI),216.71,0.03,-1.97,100.69,0.32,-6.42,136.24,0.01,-2.16
Euro Broad Investment-Grade Bond Index (EuroBIG),214.49,-0.29,-4.26,191.71,0.53,-6.19,253.86,-0.31,-4.09
EMU Government Bond Index (EGBI),217.48,-0.22,-4.23,194.38,0.60,-6.17,257.00,-0.24,-4.06
Eurodollar Bond Index,406.26,0.08,-3.18,406.26,0.08,-3.18,406.26,0.08,-3.18
Eurosterling Bond Index,495.41,-0.83,-3.36,388.70,0.88,-5.88,437.02,-0.85,-3.26
Euroyen Bond Index,184.64,0.16,-0.43,138.96,1.68,-3.37,369.74,0.15,-0.35
CEEMEA Government Bond Index (CEEMEAGBI),141.52,-0.26,-3.55,65.05,-0.33,-6.90,97.61,-0.27,-3.64
Middle East and North Africa Broad Bond Index (MENABBI),153.75,0.03,-3.40,153.75,0.03,-3.40,153.75,0.03,-3.40
Asian Government Bond Index (AGBI),191.03,-0.01,-1.02,155.72,0.08,-2.58,163.90,-0.02,-1.01
Asian Government Extended Bond Index (AGBI-Extended),180.62,0.00,-0.92,178.43,0.07,-2.27,140.47,-0.00,-0.94
AsiaPac Government Bond Index (APGBI),191.31,0.12,-1.34,151.33,0.24,-3.04,159.94,0.11,-1.31
Asian Broad Bond Index (ABBI),199.82,0.29,-2.38,199.82,0.29,-2.38,199.82,0.29,-2.38
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.23,0.06,0.04,139.01,0.09,-0.86,131.44,0.05,-0.00
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),154.16,0.06,0.04,138.95,0.09,-0.86,131.38,0.05,-0.00
Dim Sum (Offshore CNY) Bond Index,149.80,-0.07,-0.01,146.76,-0.04,-0.57,117.81,-0.08,-0.06
Australian Broad Investment-Grade Bond Index (AusBIG),283.29,0.75,-4.07,328.42,1.07,-6.92,181.71,0.71,-3.92
Emerging Markets Government Bond Index (EMGBI),244.17,0.03,-0.74,128.13,0.06,-2.39,151.77,0.03,-0.80
Emerging Markets Inflation-Linked Securities Index (EMILSI),479.17,-0.29,-0.43,168.14,0.24,-5.78,200.40,-0.32,-0.91
Emerging Markets US Dollar Government Bond Index EMUSDGBI),744.43,-0.18,-5.70,744.43,-0.18,-5.70,744.43,-0.18,-5.70
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),793.58,-0.26,-5.68,793.58,-0.26,-5.68,793.58,-0.26,-5.68
Debt Capacity World Government Bond Index (DCWGBI),165.13,0.05,-3.12,146.64,0.57,-4.97,175.97,0.04,-3.04
Time-Weighted US Fallen Angel Bond Index,728.67,-0.83,-5.62,728.67,-0.83,-5.62,728.67,-0.83,-5.62
