,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),227.23,-0.51,-0.25,215.78,-0.78,0.30,255.39,-0.51,-0.21
World Government Bond Index (WGBI),738.11,-0.56,-0.71,899.16,-0.90,-0.07,880.49,-0.56,-0.67
World Government Bond Index - Developed Markets (WGBI  DM),733.25,-0.57,-0.77,897.97,-0.91,-0.12,882.46,-0.57,-0.72
World Government Bond Index - Extended (WGBI Extended),749.11,-0.54,-0.63,912.41,-0.85,-0.05,884.17,-0.54,-0.59
World Inflation-Linked Securities Index (WorldILSI),191.71,-1.54,-3.64,159.27,-1.82,-3.06,194.49,-1.54,-3.66
US Broad Investment-Grade Bond Index (USBIG),"1,763.64",-0.48,0.54,"1,763.64",-0.48,0.54,"1,763.64",-0.48,0.54
US Treasury Index,"1,531.78",-0.50,0.12,"1,531.78",-0.50,0.12,"1,531.78",-0.50,0.12
US High-Yield Market Index,"1,148.00",0.10,0.10,"1,148.00",0.10,0.10,"1,148.00",0.10,0.10
US High-Yield Cash Pay Index,"1,124.75",0.10,0.11,"1,124.75",0.10,0.11,"1,124.75",0.10,0.11
US High-Yield Market Capped Index,397.31,0.11,0.06,397.31,0.11,0.06,397.31,0.11,0.06
US High-Yield Cash Pay Capped Index,393.59,0.11,0.07,393.59,0.11,0.07,393.59,0.11,0.07
LATAM Government Bond Index (LATAMGBI),221.06,-0.34,0.92,107.61,-0.19,5.05,139.25,-0.42,0.26
Euro Broad Investment-Grade Bond Index (EuroBIG),224.03,-0.59,-1.48,204.37,-1.21,0.04,264.68,-0.59,-1.37
EMU Government Bond Index (EGBI),227.09,-0.70,-1.84,207.16,-1.32,-0.33,267.89,-0.70,-1.74
Eurodollar Bond Index,419.59,-0.45,0.71,419.59,-0.45,0.71,419.59,-0.45,0.71
Eurosterling Bond Index,512.66,-0.86,-1.41,412.98,-1.20,-1.04,451.77,-0.86,-1.42
Euroyen Bond Index,185.43,-0.01,-0.03,143.81,-0.80,0.68,371.06,-0.01,0.07
CEEMEA Government Bond Index (CEEMEAGBI),146.72,-0.33,-0.59,69.87,-0.83,0.25,101.30,-0.35,-0.93
Middle East and North Africa Broad Bond Index (MENABBI),159.16,-0.04,0.26,159.16,-0.04,0.26,159.16,-0.04,0.26
Asian Government Bond Index (AGBI),192.99,-0.21,0.33,159.84,-0.18,-0.04,165.57,-0.21,0.25
Asian Government Extended Bond Index (AGBI-Extended),182.30,-0.23,-0.14,182.57,-0.22,-0.73,141.81,-0.23,-0.26
AsiaPac Government Bond Index (APGBI),193.91,-0.26,0.18,156.07,-0.27,-0.07,162.07,-0.26,0.11
Asian Broad Bond Index (ABBI),204.69,-0.05,-0.09,204.69,-0.05,-0.09,204.69,-0.05,-0.09
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.18,-0.11,0.56,140.22,-0.01,-0.49,131.44,-0.11,0.46
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),154.10,-0.11,0.56,140.15,-0.01,-0.49,131.38,-0.11,0.46
Dim Sum (Offshore CNY) Bond Index,149.83,0.05,0.66,147.61,-0.13,0.09,117.89,0.04,0.44
Australian Broad Investment-Grade Bond Index (AusBIG),295.31,-0.50,-0.91,352.84,-0.80,0.03,189.13,-0.50,-0.86
Emerging Markets Government Bond Index (EMGBI),245.98,-0.14,0.43,131.26,-0.17,0.28,152.99,-0.15,0.23
Emerging Markets Inflation-Linked Securities Index (EMILSI),481.25,-0.19,1.67,178.46,-0.27,4.23,202.25,-0.25,0.59
Emerging Markets US Dollar Government Bond Index EMUSDGBI),789.39,-0.03,-0.03,789.39,-0.03,-0.03,789.39,-0.03,-0.03
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),841.39,-0.03,-0.03,841.39,-0.03,-0.03,841.39,-0.03,-0.03
Debt Capacity World Government Bond Index (DCWGBI),170.45,-0.54,-0.75,154.30,-0.92,0.05,181.48,-0.54,-0.73
Time-Weighted US Fallen Angel Bond Index,772.08,0.22,0.19,772.08,0.22,0.19,772.08,0.22,0.19
