,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),228.70,0.17,0.40,217.36,0.19,1.03,257.05,0.17,0.43
World Government Bond Index (WGBI),743.85,0.14,0.06,907.59,0.20,0.87,887.34,0.14,0.10
World Government Bond Index - Developed Markets (WGBI  DM),739.07,0.14,0.02,906.63,0.18,0.84,889.46,0.15,0.07
World Government Bond Index - Extended (WGBI Extended),754.67,0.14,0.11,919.79,0.23,0.75,890.74,0.14,0.14
World Inflation-Linked Securities Index (WorldILSI),194.60,0.27,-2.19,161.73,0.41,-1.56,197.44,0.27,-2.20
US Broad Investment-Grade Bond Index (USBIG),"1,771.73",0.11,1.00,"1,771.73",0.11,1.00,"1,771.73",0.11,1.00
US Treasury Index,"1,539.27",0.00,0.61,"1,539.27",0.00,0.61,"1,539.27",0.00,0.61
US High-Yield Market Index,"1,146.29",0.71,-0.05,"1,146.29",0.71,-0.05,"1,146.29",0.71,-0.05
US High-Yield Cash Pay Index,"1,123.09",0.71,-0.03,"1,123.09",0.71,-0.03,"1,123.09",0.71,-0.03
US High-Yield Market Capped Index,396.68,0.71,-0.10,396.68,0.71,-0.10,396.68,0.71,-0.10
US High-Yield Cash Pay Capped Index,392.97,0.71,-0.09,392.97,0.71,-0.09,392.97,0.71,-0.09
LATAM Government Bond Index (LATAMGBI),221.57,0.34,1.15,107.66,1.21,5.10,139.75,0.34,0.63
Euro Broad Investment-Grade Bond Index (EuroBIG),226.30,0.26,-0.48,206.39,0.19,1.03,267.36,0.27,-0.37
EMU Government Bond Index (EGBI),229.98,0.28,-0.59,209.75,0.21,0.92,271.31,0.29,-0.49
Eurodollar Bond Index,421.35,0.22,1.13,421.35,0.22,1.13,421.35,0.22,1.13
Eurosterling Bond Index,517.93,0.47,-0.40,417.60,0.79,0.07,456.44,0.46,-0.40
Euroyen Bond Index,185.47,0.08,-0.01,145.56,0.23,1.90,371.08,0.08,0.07
CEEMEA Government Bond Index (CEEMEAGBI),146.93,0.06,-0.45,70.04,0.55,0.50,101.50,0.04,-0.74
Middle East and North Africa Broad Bond Index (MENABBI),159.18,0.38,0.26,159.18,0.38,0.26,159.18,0.38,0.26
Asian Government Bond Index (AGBI),193.47,0.11,0.58,159.03,0.59,-0.55,165.99,0.11,0.51
Asian Government Extended Bond Index (AGBI-Extended),182.83,0.09,0.15,182.05,0.46,-1.01,142.24,0.09,0.05
AsiaPac Government Bond Index (APGBI),194.47,0.06,0.47,155.42,0.61,-0.48,162.55,0.06,0.41
Asian Broad Bond Index (ABBI),204.72,0.15,-0.08,204.72,0.15,-0.08,204.72,0.15,-0.08
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.48,-0.02,0.75,139.38,0.41,-1.09,131.70,-0.02,0.66
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),154.40,-0.02,0.76,139.31,0.41,-1.09,131.64,-0.02,0.66
Dim Sum (Offshore CNY) Bond Index,149.62,0.08,0.52,146.55,0.84,-0.63,117.75,0.08,0.33
Australian Broad Investment-Grade Bond Index (AusBIG),296.94,-0.31,-0.36,353.64,0.74,0.25,190.17,-0.32,-0.32
Emerging Markets Government Bond Index (EMGBI),246.39,0.12,0.60,130.90,0.59,0.00,153.28,0.11,0.43
Emerging Markets Inflation-Linked Securities Index (EMILSI),481.70,0.22,1.76,178.93,1.18,4.50,202.77,0.20,0.85
Emerging Markets US Dollar Government Bond Index EMUSDGBI),789.25,0.57,-0.05,789.25,0.57,-0.05,789.25,0.57,-0.05
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),841.22,0.65,-0.05,841.22,0.65,-0.05,841.22,0.65,-0.05
Debt Capacity World Government Bond Index (DCWGBI),171.80,0.15,0.04,155.57,0.30,0.87,182.92,0.15,0.06
Time-Weighted US Fallen Angel Bond Index,770.02,0.58,-0.08,770.02,0.58,-0.08,770.02,0.58,-0.08
