,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),227.03,0.26,-0.34,214.18,0.23,-0.44,255.14,0.26,-0.31
World Government Bond Index (WGBI),740.94,0.29,-0.33,895.97,0.30,-0.42,883.78,0.29,-0.30
World Government Bond Index - Developed Markets (WGBI  DM),736.29,0.29,-0.36,895.25,0.30,-0.42,886.01,0.29,-0.32
World Government Bond Index - Extended (WGBI Extended),751.66,0.26,-0.29,908.12,0.28,-0.52,887.11,0.26,-0.26
World Inflation-Linked Securities Index (WorldILSI),196.39,-0.31,-1.29,161.56,-0.48,-1.66,199.31,-0.30,-1.27
US Broad Investment-Grade Bond Index (USBIG),"1,748.24",0.39,-0.34,"1,748.24",0.39,-0.34,"1,748.24",0.39,-0.34
US Treasury Index,"1,526.52",0.51,-0.22,"1,526.52",0.51,-0.22,"1,526.52",0.51,-0.22
US High-Yield Market Index,"1,110.55",-0.67,-3.16,"1,110.55",-0.67,-3.16,"1,110.55",-0.67,-3.16
US High-Yield Cash Pay Index,"1,088.03",-0.66,-3.16,"1,088.03",-0.66,-3.16,"1,088.03",-0.66,-3.16
US High-Yield Market Capped Index,384.42,-0.67,-3.19,384.42,-0.67,-3.19,384.42,-0.67,-3.19
US High-Yield Cash Pay Capped Index,380.81,-0.66,-3.18,380.81,-0.66,-3.18,380.81,-0.66,-3.18
LATAM Government Bond Index (LATAMGBI),217.64,-0.19,-0.64,102.63,-0.18,0.19,137.51,-0.20,-0.99
Euro Broad Investment-Grade Bond Index (EuroBIG),226.49,0.18,-0.39,202.76,-0.04,-0.74,267.51,0.18,-0.32
EMU Government Bond Index (EGBI),230.27,0.21,-0.47,206.14,-0.00,-0.82,271.57,0.22,-0.39
Eurodollar Bond Index,413.22,0.37,-0.82,413.22,0.37,-0.82,413.22,0.37,-0.82
Eurosterling Bond Index,519.71,0.02,-0.06,412.33,-0.45,-1.19,458.03,0.02,-0.06
Euroyen Bond Index,185.23,0.01,-0.14,143.85,0.63,0.70,370.50,0.01,-0.09
CEEMEA Government Bond Index (CEEMEAGBI),145.63,0.17,-1.33,68.21,0.07,-2.12,100.72,0.16,-1.50
Middle East and North Africa Broad Bond Index (MENABBI),155.82,0.41,-1.85,155.82,0.41,-1.85,155.82,0.41,-1.85
Asian Government Bond Index (AGBI),192.06,0.01,-0.15,156.80,0.07,-1.95,164.83,0.00,-0.20
Asian Government Extended Bond Index (AGBI-Extended),181.58,0.02,-0.53,179.85,0.06,-2.21,141.33,0.01,-0.59
AsiaPac Government Bond Index (APGBI),192.91,-0.04,-0.33,152.91,0.03,-2.09,161.29,-0.04,-0.37
Asian Broad Bond Index (ABBI),202.44,0.05,-1.19,202.44,0.05,-1.19,202.44,0.05,-1.19
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),153.97,0.06,0.42,138.11,0.01,-1.99,131.31,0.06,0.36
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),153.89,0.06,0.42,138.04,0.01,-1.99,131.25,0.06,0.36
Dim Sum (Offshore CNY) Bond Index,149.21,0.02,0.24,145.19,-0.27,-1.55,117.50,0.02,0.12
Australian Broad Investment-Grade Bond Index (AusBIG),293.55,-0.23,-1.50,342.81,-0.12,-2.81,188.02,-0.23,-1.44
Emerging Markets Government Bond Index (EMGBI),244.25,0.06,-0.28,128.44,-0.02,-1.88,152.04,0.05,-0.39
Emerging Markets Inflation-Linked Securities Index (EMILSI),478.00,-0.14,0.98,171.94,-0.12,0.42,201.83,-0.18,0.39
Emerging Markets US Dollar Government Bond Index EMUSDGBI),769.19,0.09,-2.59,769.19,0.09,-2.59,769.19,0.09,-2.59
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),820.26,0.03,-2.54,820.26,0.03,-2.54,820.26,0.03,-2.54
Debt Capacity World Government Bond Index (DCWGBI),171.10,0.23,-0.37,153.11,0.17,-0.72,182.17,0.23,-0.35
Time-Weighted US Fallen Angel Bond Index,748.71,-0.67,-2.85,748.71,-0.67,-2.85,748.71,-0.67,-2.85
