,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),228.15,0.50,0.16,216.93,0.71,0.83,256.42,0.50,0.19
World Government Bond Index (WGBI),743.94,0.44,0.07,908.18,0.72,0.93,887.41,0.44,0.11
World Government Bond Index - Developed Markets (WGBI  DM),739.22,0.45,0.04,907.36,0.74,0.92,889.60,0.45,0.08
World Government Bond Index - Extended (WGBI Extended),754.63,0.42,0.11,920.32,0.66,0.81,890.66,0.42,0.14
World Inflation-Linked Securities Index (WorldILSI),193.89,0.36,-2.55,160.72,0.34,-2.17,196.74,0.36,-2.55
US Broad Investment-Grade Bond Index (USBIG),"1,762.82",0.70,0.50,"1,762.82",0.70,0.50,"1,762.82",0.70,0.50
US Treasury Index,"1,538.64",0.67,0.57,"1,538.64",0.67,0.57,"1,538.64",0.67,0.57
US High-Yield Market Index,"1,112.83",0.01,-2.96,"1,112.83",0.01,-2.96,"1,112.83",0.01,-2.96
US High-Yield Cash Pay Index,"1,090.25",0.01,-2.96,"1,090.25",0.01,-2.96,"1,090.25",0.01,-2.96
US High-Yield Market Capped Index,385.14,0.00,-3.01,385.14,0.00,-3.01,385.14,0.00,-3.01
US High-Yield Cash Pay Capped Index,381.52,0.00,-3.00,381.52,0.00,-3.00,381.52,0.00,-3.00
LATAM Government Bond Index (LATAMGBI),220.06,0.03,0.47,105.06,-0.54,2.57,138.86,0.02,-0.02
Euro Broad Investment-Grade Bond Index (EuroBIG),226.33,0.26,-0.47,206.74,0.81,1.20,267.36,0.27,-0.37
EMU Government Bond Index (EGBI),229.90,0.26,-0.63,210.00,0.81,1.04,271.17,0.27,-0.54
Eurodollar Bond Index,416.79,0.77,0.04,416.79,0.77,0.04,416.79,0.77,0.04
Eurosterling Bond Index,518.67,0.66,-0.26,415.24,0.28,-0.50,457.11,0.66,-0.26
Euroyen Bond Index,185.49,0.06,-0.00,146.24,0.95,2.38,371.09,0.06,0.07
CEEMEA Government Bond Index (CEEMEAGBI),146.97,-0.04,-0.42,70.00,0.02,0.44,101.57,-0.05,-0.67
Middle East and North Africa Broad Bond Index (MENABBI),156.81,0.39,-1.22,156.81,0.39,-1.22,156.81,0.39,-1.22
Asian Government Bond Index (AGBI),192.96,0.12,0.32,158.83,0.03,-0.67,165.57,0.11,0.26
Asian Government Extended Bond Index (AGBI-Extended),182.32,0.10,-0.13,181.68,0.02,-1.22,141.86,0.10,-0.22
AsiaPac Government Bond Index (APGBI),193.92,0.12,0.19,154.99,-0.01,-0.76,162.11,0.11,0.14
Asian Broad Bond Index (ABBI),203.36,0.12,-0.74,203.36,0.12,-0.74,203.36,0.12,-0.74
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.16,0.02,0.55,139.92,-0.09,-0.70,131.45,0.01,0.47
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),154.08,0.02,0.55,139.85,-0.09,-0.70,131.39,0.01,0.47
Dim Sum (Offshore CNY) Bond Index,149.32,0.02,0.31,147.47,-0.08,-0.00,117.54,0.01,0.15
Australian Broad Investment-Grade Bond Index (AusBIG),295.91,0.07,-0.71,348.47,-0.35,-1.21,189.52,0.07,-0.66
Emerging Markets Government Bond Index (EMGBI),245.60,0.02,0.27,130.59,-0.09,-0.23,152.82,0.02,0.12
Emerging Markets Inflation-Linked Securities Index (EMILSI),479.99,0.01,1.40,175.56,-0.74,2.53,202.28,-0.04,0.61
Emerging Markets US Dollar Government Bond Index EMUSDGBI),773.21,0.24,-2.08,773.21,0.24,-2.08,773.21,0.24,-2.08
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),822.72,0.27,-2.24,822.72,0.27,-2.24,822.72,0.27,-2.24
Debt Capacity World Government Bond Index (DCWGBI),171.78,0.37,0.03,155.45,0.60,0.79,182.89,0.37,0.05
Time-Weighted US Fallen Angel Bond Index,749.41,0.04,-2.76,749.41,0.04,-2.76,749.41,0.04,-2.76
