,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),251.07,0.27,0.19,245.37,0.16,0.25,281.50,0.27,0.21
World Government Bond Index (WGBI),813.12,0.28,0.14,"1,030.59",0.14,0.22,967.31,0.29,0.16
World Government Bond Index - Developed Markets (WGBI  DM),809.20,0.29,0.13,"1,031.55",0.15,0.20,970.79,0.29,0.16
World Government Bond Index - Extended (WGBI Extended),819.41,0.26,0.13,"1,038.88",0.14,0.22,965.39,0.26,0.14
World Inflation-Linked Securities Index (WorldILSI),214.90,-0.03,-0.09,183.52,-0.11,0.05,217.76,-0.02,-0.07
US Broad Investment-Grade Bond Index (USBIG),"1,946.34",0.36,-0.01,"1,946.34",0.36,-0.01,"1,946.34",0.36,-0.01
US Treasury Index,"1,675.28",0.41,-0.20,"1,675.28",0.41,-0.20,"1,675.28",0.41,-0.20
US High-Yield Market Index,"1,232.71",0.03,1.17,"1,232.71",0.03,1.17,"1,232.71",0.03,1.17
US High-Yield Cash Pay Index,"1,207.17",0.03,1.19,"1,207.17",0.03,1.19,"1,207.17",0.03,1.19
US High-Yield Market Capped Index,426.19,0.03,1.16,426.19,0.03,1.16,426.19,0.03,1.16
US High-Yield Cash Pay Capped Index,422.00,0.03,1.17,422.00,0.03,1.17,422.00,0.03,1.17
LATAM Government Bond Index (LATAMGBI),230.81,0.12,1.55,103.86,-0.06,3.02,149.82,0.07,1.35
Euro Broad Investment-Grade Bond Index (EuroBIG),253.05,0.21,0.45,242.98,-0.04,0.62,296.78,0.23,0.51
EMU Government Bond Index (EGBI),259.20,0.28,0.42,248.88,0.02,0.59,303.49,0.29,0.48
Eurodollar Bond Index,474.02,0.42,0.27,474.02,0.42,0.27,474.02,0.42,0.27
Eurosterling Bond Index,581.98,0.13,0.79,492.12,0.13,0.79,511.91,0.14,0.82
Euroyen Bond Index,187.63,0.04,0.01,164.82,-0.10,-0.01,374.19,0.04,0.04
CEEMEA Government Bond Index (CEEMEAGBI),180.35,-0.09,0.19,93.44,-0.47,0.56,130.77,-0.11,0.07
Middle East and North Africa Broad Bond Index (MENABBI),174.78,0.16,1.28,174.78,0.16,1.28,174.78,0.16,1.28
Asian Government Bond Index (AGBI),195.34,0.02,-0.02,168.56,0.08,0.20,168.96,-0.00,-0.10
Asian Government Extended Bond Index (AGBI-Extended),185.72,0.00,0.02,193.54,0.04,-0.01,145.82,-0.02,-0.07
AsiaPac Government Bond Index (APGBI),198.30,0.06,0.01,165.50,0.03,0.23,166.94,0.04,-0.06
Asian Broad Bond Index (ABBI),226.36,0.12,0.40,226.36,0.12,0.40,226.36,0.12,0.40
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),150.68,-0.02,0.13,143.34,0.07,0.25,129.96,-0.05,0.01
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),150.60,-0.02,0.13,143.26,0.07,0.24,129.89,-0.05,0.01
Dim Sum (Offshore CNY) Bond Index,148.48,-0.04,0.02,153.25,-0.06,0.04,118.20,-0.06,-0.08
Australian Broad Investment-Grade Bond Index (AusBIG),325.41,0.35,0.26,385.60,-0.42,0.60,208.14,0.36,0.28
Emerging Markets Government Bond Index (EMGBI),253.75,0.01,0.18,140.10,-0.00,0.46,160.81,-0.02,0.05
Emerging Markets Inflation-Linked Securities Index (EMILSI),446.57,0.05,1.56,151.49,-0.49,1.79,197.00,-0.01,1.30
Emerging Markets US Dollar Government Bond Index EMUSDGBI),936.27,0.19,2.01,936.27,0.19,2.01,936.27,0.19,2.01
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,001.75",0.14,1.78,"1,001.75",0.14,1.78,"1,001.75",0.14,1.78
Debt Capacity World Government Bond Index (DCWGBI),187.89,0.25,0.22,176.72,0.02,0.40,199.69,0.25,0.23
Time-Weighted US Fallen Angel Bond Index,848.43,0.05,1.04,848.43,0.05,1.04,848.43,0.05,1.04
