,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.65,-0.29,-0.78,243.51,-0.13,-0.51,278.85,-0.29,-0.73
World Government Bond Index (WGBI),803.27,-0.32,-1.08,"1,019.90",-0.16,-0.82,955.81,-0.33,-1.03
World Government Bond Index - Developed Markets (WGBI  DM),799.34,-0.33,-1.09,"1,020.58",-0.16,-0.87,959.21,-0.33,-1.03
World Government Bond Index - Extended (WGBI Extended),810.48,-0.29,-0.97,"1,029.01",-0.14,-0.73,954.97,-0.29,-0.94
World Inflation-Linked Securities Index (WorldILSI),210.67,-0.51,-2.06,181.36,-0.27,-1.13,213.42,-0.53,-2.06
US Broad Investment-Grade Bond Index (USBIG),"1,935.13",-0.27,-0.59,"1,935.13",-0.27,-0.59,"1,935.13",-0.27,-0.59
US Treasury Index,"1,663.16",-0.31,-0.92,"1,663.16",-0.31,-0.92,"1,663.16",-0.31,-0.92
US High-Yield Market Index,"1,242.65",-0.04,1.99,"1,242.65",-0.04,1.99,"1,242.65",-0.04,1.99
US High-Yield Cash Pay Index,"1,217.06",-0.04,2.02,"1,217.06",-0.04,2.02,"1,217.06",-0.04,2.02
US High-Yield Market Capped Index,429.58,-0.03,1.96,429.58,-0.03,1.96,429.58,-0.03,1.96
US High-Yield Cash Pay Capped Index,425.42,-0.03,1.99,425.42,-0.03,1.99,425.42,-0.03,1.99
LATAM Government Bond Index (LATAMGBI),229.83,-0.03,1.12,103.80,-0.05,2.97,148.74,-0.06,0.61
Euro Broad Investment-Grade Bond Index (EuroBIG),249.04,-0.37,-1.14,240.72,0.11,-0.31,292.26,-0.37,-1.02
EMU Government Bond Index (EGBI),254.10,-0.46,-1.56,245.60,0.01,-0.73,297.70,-0.47,-1.44
Eurodollar Bond Index,470.63,-0.32,-0.45,470.63,-0.32,-0.45,470.63,-0.32,-0.45
Eurosterling Bond Index,568.03,-0.55,-1.62,489.64,-0.09,0.28,499.68,-0.56,-1.58
Euroyen Bond Index,187.53,-0.00,-0.04,162.78,-0.15,-1.25,374.13,0.00,0.03
CEEMEA Government Bond Index (CEEMEAGBI),179.60,-0.21,-0.22,93.78,-0.59,0.92,129.99,-0.22,-0.53
Middle East and North Africa Broad Bond Index (MENABBI),174.53,0.02,1.13,174.53,0.02,1.13,174.53,0.02,1.13
Asian Government Bond Index (AGBI),195.90,0.04,0.27,168.88,0.04,0.39,169.28,0.04,0.08
Asian Government Extended Bond Index (AGBI-Extended),185.87,0.01,0.11,194.22,-0.01,0.34,145.78,0.01,-0.09
AsiaPac Government Bond Index (APGBI),198.92,0.09,0.32,166.26,0.14,0.69,167.32,0.08,0.17
Asian Broad Bond Index (ABBI),225.59,-0.08,0.06,225.59,-0.08,0.06,225.59,-0.08,0.06
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),151.38,0.08,0.59,143.83,0.08,0.59,130.37,0.07,0.33
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),151.30,0.08,0.60,143.76,0.08,0.59,130.31,0.07,0.33
Dim Sum (Offshore CNY) Bond Index,148.71,0.00,0.18,153.59,0.06,0.26,118.23,-0.00,-0.05
Australian Broad Investment-Grade Bond Index (AusBIG),326.81,0.38,0.69,395.26,0.80,3.12,209.11,0.40,0.75
Emerging Markets Government Bond Index (EMGBI),254.36,-0.01,0.42,140.61,-0.12,0.82,160.92,-0.02,0.12
Emerging Markets Inflation-Linked Securities Index (EMILSI),446.45,-0.05,1.53,152.63,-0.91,2.56,196.35,-0.09,0.96
Emerging Markets US Dollar Government Bond Index EMUSDGBI),931.88,0.10,1.54,931.88,0.10,1.54,931.88,0.10,1.54
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),996.79,0.11,1.27,996.79,0.11,1.27,996.79,0.11,1.27
Debt Capacity World Government Bond Index (DCWGBI),185.54,-0.31,-1.04,175.37,-0.10,-0.36,197.21,-0.32,-1.01
Time-Weighted US Fallen Angel Bond Index,854.17,-0.08,1.72,854.17,-0.08,1.72,854.17,-0.08,1.72
