,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.66,-0.07,0.02,245.07,-0.04,0.13,281.07,-0.07,0.06
World Government Bond Index (WGBI),811.84,-0.06,-0.02,"1,029.40",-0.03,0.10,965.92,-0.05,0.02
World Government Bond Index - Developed Markets (WGBI  DM),807.96,-0.05,-0.02,"1,030.34",-0.03,0.08,969.43,-0.05,0.02
World Government Bond Index - Extended (WGBI Extended),818.38,-0.04,0.00,"1,037.63",-0.04,0.10,964.26,-0.04,0.02
World Inflation-Linked Securities Index (WorldILSI),212.62,0.07,-1.15,181.52,-0.07,-1.04,215.47,0.08,-1.12
US Broad Investment-Grade Bond Index (USBIG),"1,943.92",-0.12,-0.13,"1,943.92",-0.12,-0.13,"1,943.92",-0.12,-0.13
US Treasury Index,"1,674.89",-0.09,-0.22,"1,674.89",-0.09,-0.22,"1,674.89",-0.09,-0.22
US High-Yield Market Index,"1,231.33",-0.13,1.06,"1,231.33",-0.13,1.06,"1,231.33",-0.13,1.06
US High-Yield Cash Pay Index,"1,205.92",-0.13,1.08,"1,205.92",-0.13,1.08,"1,205.92",-0.13,1.08
US High-Yield Market Capped Index,425.72,-0.13,1.04,425.72,-0.13,1.04,425.72,-0.13,1.04
US High-Yield Cash Pay Capped Index,421.57,-0.13,1.07,421.57,-0.13,1.07,421.57,-0.13,1.07
LATAM Government Bond Index (LATAMGBI),230.00,0.04,1.19,102.99,-0.50,2.16,149.10,-0.01,0.86
Euro Broad Investment-Grade Bond Index (EuroBIG),252.53,-0.05,0.24,242.78,0.08,0.54,296.27,-0.04,0.33
EMU Government Bond Index (EGBI),258.48,-0.07,0.14,248.50,0.06,0.44,302.75,-0.06,0.23
Eurodollar Bond Index,472.46,-0.20,-0.06,472.46,-0.20,-0.06,472.46,-0.20,-0.06
Eurosterling Bond Index,577.73,0.00,0.06,488.20,-0.32,-0.02,508.26,0.01,0.11
Euroyen Bond Index,187.72,0.03,0.06,165.16,0.24,0.19,374.42,0.03,0.11
CEEMEA Government Bond Index (CEEMEAGBI),180.26,-0.06,0.15,92.90,-0.33,-0.03,130.68,-0.06,0.01
Middle East and North Africa Broad Bond Index (MENABBI),174.71,-0.03,1.24,174.71,-0.03,1.24,174.71,-0.03,1.24
Asian Government Bond Index (AGBI),195.80,0.10,0.21,168.40,-0.16,0.10,169.29,0.08,0.09
Asian Government Extended Bond Index (AGBI-Extended),186.05,0.08,0.20,193.32,-0.07,-0.12,146.02,0.05,0.07
AsiaPac Government Bond Index (APGBI),198.80,0.14,0.26,165.40,-0.17,0.18,167.29,0.12,0.15
Asian Broad Bond Index (ABBI),226.45,0.02,0.44,226.45,0.02,0.44,226.45,0.02,0.44
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),150.86,-0.02,0.25,143.19,-0.08,0.14,130.03,-0.04,0.06
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),150.78,-0.02,0.25,143.12,-0.08,0.14,129.96,-0.04,0.06
Dim Sum (Offshore CNY) Bond Index,148.64,0.03,0.14,153.18,0.02,0.00,118.26,0.00,-0.02
Australian Broad Investment-Grade Bond Index (AusBIG),326.20,0.36,0.50,386.15,-0.26,0.74,208.67,0.37,0.53
Emerging Markets Government Bond Index (EMGBI),253.90,0.01,0.24,139.80,-0.14,0.24,160.81,-0.01,0.05
Emerging Markets Inflation-Linked Securities Index (EMILSI),446.07,-0.05,1.45,148.13,-1.19,-0.47,196.40,-0.13,0.99
Emerging Markets US Dollar Government Bond Index EMUSDGBI),929.95,-0.29,1.33,929.95,-0.29,1.33,929.95,-0.29,1.33
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),995.40,-0.23,1.13,995.40,-0.23,1.13,995.40,-0.23,1.13
Debt Capacity World Government Bond Index (DCWGBI),187.53,-0.05,0.03,176.37,-0.12,0.21,199.33,-0.05,0.05
Time-Weighted US Fallen Angel Bond Index,846.00,-0.26,0.75,846.00,-0.26,0.75,846.00,-0.26,0.75
