,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.77,-0.09,0.07,244.90,-0.15,0.06,281.14,-0.09,0.08
World Government Bond Index (WGBI),812.17,-0.15,0.02,"1,028.60",-0.21,0.02,966.07,-0.15,0.03
World Government Bond Index - Developed Markets (WGBI  DM),808.26,-0.16,0.02,"1,029.58",-0.22,0.01,969.53,-0.16,0.03
World Government Bond Index - Extended (WGBI Extended),818.46,-0.15,0.01,"1,036.94",-0.19,0.03,964.20,-0.15,0.02
World Inflation-Linked Securities Index (WorldILSI),215.68,0.02,0.27,184.09,0.04,0.36,218.53,0.03,0.28
US Broad Investment-Grade Bond Index (USBIG),"1,943.53",-0.14,-0.15,"1,943.53",-0.14,-0.15,"1,943.53",-0.14,-0.15
US Treasury Index,"1,672.70",-0.27,-0.35,"1,672.70",-0.27,-0.35,"1,672.70",-0.27,-0.35
US High-Yield Market Index,"1,234.81",0.62,1.35,"1,234.81",0.62,1.35,"1,234.81",0.62,1.35
US High-Yield Cash Pay Index,"1,209.25",0.62,1.36,"1,209.25",0.62,1.36,"1,209.25",0.62,1.36
US High-Yield Market Capped Index,426.87,0.61,1.32,426.87,0.61,1.32,426.87,0.61,1.32
US High-Yield Cash Pay Capped Index,422.68,0.61,1.33,422.68,0.61,1.33,422.68,0.61,1.33
LATAM Government Bond Index (LATAMGBI),229.04,-0.02,0.77,102.80,0.59,1.97,148.81,-0.03,0.66
Euro Broad Investment-Grade Bond Index (EuroBIG),252.79,-0.04,0.34,242.11,-0.25,0.26,296.39,-0.03,0.38
EMU Government Bond Index (EGBI),258.89,-0.08,0.30,247.95,-0.29,0.22,303.04,-0.08,0.33
Eurodollar Bond Index,473.44,-0.08,0.15,473.44,-0.08,0.15,473.44,-0.08,0.15
Eurosterling Bond Index,581.98,0.14,0.79,492.35,0.14,0.83,511.84,0.15,0.81
Euroyen Bond Index,187.55,-0.05,-0.03,164.62,-0.23,-0.13,373.99,-0.04,-0.01
CEEMEA Government Bond Index (CEEMEAGBI),180.35,0.04,0.20,93.62,0.22,0.75,130.85,0.04,0.13
Middle East and North Africa Broad Bond Index (MENABBI),173.91,-0.00,0.78,173.91,-0.00,0.78,173.91,-0.00,0.78
Asian Government Bond Index (AGBI),195.12,-0.10,-0.13,168.25,0.06,0.02,168.84,-0.11,-0.18
Asian Government Extended Bond Index (AGBI-Extended),185.49,-0.09,-0.10,193.42,0.03,-0.07,145.71,-0.09,-0.14
AsiaPac Government Bond Index (APGBI),198.01,-0.16,-0.13,165.18,0.10,0.04,166.75,-0.17,-0.17
Asian Broad Bond Index (ABBI),225.56,-0.04,0.04,225.56,-0.04,0.04,225.56,-0.04,0.04
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),150.60,-0.04,0.07,143.17,0.02,0.12,129.96,-0.05,0.01
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),150.51,-0.04,0.07,143.09,0.02,0.12,129.89,-0.05,0.01
Dim Sum (Offshore CNY) Bond Index,148.40,-0.13,-0.03,153.44,0.03,0.17,118.19,-0.14,-0.08
Australian Broad Investment-Grade Bond Index (AusBIG),324.12,-0.45,-0.14,384.15,0.55,0.22,207.29,-0.45,-0.13
Emerging Markets Government Bond Index (EMGBI),253.41,-0.04,0.04,139.82,0.12,0.26,160.69,-0.05,-0.03
Emerging Markets Inflation-Linked Securities Index (EMILSI),442.89,-0.04,0.72,150.74,0.67,1.29,195.61,-0.05,0.58
Emerging Markets US Dollar Government Bond Index EMUSDGBI),931.56,0.28,1.50,931.56,0.28,1.50,931.56,0.28,1.50
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),997.33,0.24,1.33,997.33,0.24,1.33,997.33,0.24,1.33
Debt Capacity World Government Bond Index (DCWGBI),187.66,-0.12,0.10,176.38,-0.09,0.21,199.43,-0.12,0.10
Time-Weighted US Fallen Angel Bond Index,848.53,0.54,1.05,848.53,0.54,1.05,848.53,0.54,1.05
