,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.39,0.11,-0.08,244.81,0.00,0.03,280.72,0.11,-0.07
World Government Bond Index (WGBI),810.52,0.11,-0.18,"1,027.95",0.02,-0.04,964.15,0.12,-0.17
World Government Bond Index - Developed Markets (WGBI  DM),806.58,0.12,-0.19,"1,028.85",0.03,-0.06,967.55,0.12,-0.17
World Government Bond Index - Extended (WGBI Extended),817.02,0.11,-0.17,"1,036.76",0.03,0.02,962.53,0.11,-0.16
World Inflation-Linked Securities Index (WorldILSI),214.58,-0.09,-0.23,183.21,-0.22,-0.12,217.43,-0.09,-0.22
US Broad Investment-Grade Bond Index (USBIG),"1,940.32",0.08,-0.32,"1,940.32",0.08,-0.32,"1,940.32",0.08,-0.32
US Treasury Index,"1,668.93",0.08,-0.58,"1,668.93",0.08,-0.58,"1,668.93",0.08,-0.58
US High-Yield Market Index,"1,233.04",-0.06,1.20,"1,233.04",-0.06,1.20,"1,233.04",-0.06,1.20
US High-Yield Cash Pay Index,"1,207.48",-0.06,1.21,"1,207.48",-0.06,1.21,"1,207.48",-0.06,1.21
US High-Yield Market Capped Index,426.30,-0.05,1.18,426.30,-0.05,1.18,426.30,-0.05,1.18
US High-Yield Cash Pay Capped Index,422.11,-0.06,1.20,422.11,-0.06,1.20,422.11,-0.06,1.20
LATAM Government Bond Index (LATAMGBI),229.86,0.09,1.13,103.47,-0.30,2.64,149.30,0.07,1.00
Euro Broad Investment-Grade Bond Index (EuroBIG),252.31,0.25,0.15,242.48,-0.17,0.42,295.85,0.25,0.19
EMU Government Bond Index (EGBI),258.13,0.30,0.00,248.08,-0.12,0.27,302.19,0.30,0.05
Eurodollar Bond Index,472.05,0.11,-0.15,472.05,0.11,-0.15,472.05,0.11,-0.15
Eurosterling Bond Index,580.96,-0.09,0.61,490.45,-0.16,0.44,510.96,-0.09,0.64
Euroyen Bond Index,187.63,0.01,0.02,165.02,0.41,0.11,374.17,0.01,0.04
CEEMEA Government Bond Index (CEEMEAGBI),180.56,0.08,0.31,93.89,-0.38,1.04,130.97,0.07,0.22
Middle East and North Africa Broad Bond Index (MENABBI),174.28,0.11,0.99,174.28,0.11,0.99,174.28,0.11,0.99
Asian Government Bond Index (AGBI),195.36,0.04,-0.01,169.07,0.15,0.51,169.03,0.03,-0.07
Asian Government Extended Bond Index (AGBI-Extended),185.73,0.06,0.03,194.13,0.13,0.30,145.87,0.05,-0.03
AsiaPac Government Bond Index (APGBI),198.18,-0.01,-0.05,165.91,0.06,0.48,166.87,-0.02,-0.10
Asian Broad Bond Index (ABBI),225.71,0.10,0.11,225.71,0.10,0.11,225.71,0.10,0.11
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),150.65,0.04,0.11,143.74,0.18,0.53,129.98,0.03,0.02
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),150.56,0.04,0.11,143.66,0.18,0.52,129.91,0.03,0.02
Dim Sum (Offshore CNY) Bond Index,148.54,0.03,0.07,153.23,-0.65,0.03,118.28,0.02,-0.00
Australian Broad Investment-Grade Bond Index (AusBIG),323.88,-0.18,-0.21,385.32,-0.46,0.53,207.15,-0.18,-0.20
Emerging Markets Government Bond Index (EMGBI),253.62,0.06,0.13,140.35,0.02,0.64,160.79,0.05,0.04
Emerging Markets Inflation-Linked Securities Index (EMILSI),445.90,0.24,1.41,152.41,-0.31,2.41,196.88,0.22,1.23
Emerging Markets US Dollar Government Bond Index EMUSDGBI),934.51,-0.02,1.82,934.51,-0.02,1.82,934.51,-0.02,1.82
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,000.54",-0.00,1.66,"1,000.54",-0.00,1.66,"1,000.54",-0.00,1.66
Debt Capacity World Government Bond Index (DCWGBI),187.36,0.13,-0.07,176.42,-0.07,0.24,199.12,0.13,-0.05
Time-Weighted US Fallen Angel Bond Index,848.02,-0.03,0.99,848.02,-0.03,0.99,848.02,-0.03,0.99
