,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),252.06,0.09,0.06,251.77,0.15,0.26,282.41,0.09,0.06
World Government Bond Index (WGBI),814.68,0.09,0.08,"1,060.56",0.17,0.31,968.45,0.10,0.08
World Government Bond Index - Developed Markets (WGBI  DM),810.49,0.10,0.08,"1,060.89",0.18,0.31,971.48,0.10,0.09
World Government Bond Index - Extended (WGBI Extended),820.98,0.09,0.08,"1,066.30",0.15,0.29,967.07,0.09,0.08
World Inflation-Linked Securities Index (WorldILSI),209.06,0.28,0.22,183.54,0.43,0.54,211.84,0.28,0.22
US Broad Investment-Grade Bond Index (USBIG),"1,959.70",0.09,0.06,"1,959.70",0.09,0.06,"1,959.70",0.09,0.06
US Treasury Index,"1,685.53",0.06,0.09,"1,685.53",0.06,0.09,"1,685.53",0.06,0.09
US High-Yield Market Index,"1,234.79",0.11,0.17,"1,234.79",0.11,0.17,"1,234.79",0.11,0.17
US High-Yield Cash Pay Index,"1,209.10",0.11,0.17,"1,209.10",0.11,0.17,"1,209.10",0.11,0.17
US High-Yield Market Capped Index,427.01,0.11,0.16,427.01,0.11,0.16,427.01,0.11,0.16
US High-Yield Cash Pay Capped Index,422.78,0.11,0.16,422.78,0.11,0.16,422.78,0.11,0.16
LATAM Government Bond Index (LATAMGBI),232.06,-0.07,-0.11,110.29,-0.28,-0.06,152.38,-0.08,-0.13
Euro Broad Investment-Grade Bond Index (EuroBIG),253.17,0.10,0.04,255.85,0.22,0.57,296.27,0.10,0.04
EMU Government Bond Index (EGBI),258.59,0.14,0.07,261.33,0.25,0.61,302.16,0.14,0.08
Eurodollar Bond Index,477.54,0.16,0.13,477.54,0.16,0.13,477.54,0.16,0.13
Eurosterling Bond Index,582.52,0.14,0.37,515.09,0.49,0.89,512.10,0.14,0.37
Euroyen Bond Index,187.33,-0.02,-0.04,169.95,0.01,-0.15,373.23,-0.02,-0.04
CEEMEA Government Bond Index (CEEMEAGBI),187.12,-0.11,-0.24,103.95,-0.08,0.27,136.77,-0.12,-0.25
Middle East and North Africa Broad Bond Index (MENABBI),175.77,0.19,0.25,175.77,0.19,0.25,175.77,0.19,0.25
Asian Government Bond Index (AGBI),196.00,-0.02,0.03,168.89,-0.08,-0.03,170.55,-0.03,0.02
Asian Government Extended Bond Index (AGBI-Extended),185.44,0.01,0.08,194.80,-0.02,0.01,146.61,0.01,0.07
AsiaPac Government Bond Index (APGBI),199.60,0.01,-0.03,167.29,0.03,0.10,168.96,0.01,-0.04
Asian Broad Bond Index (ABBI),231.70,0.04,-0.07,231.70,0.04,-0.07,231.70,0.04,-0.07
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.46,-0.06,0.07,140.04,-0.00,0.10,129.97,-0.07,0.06
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.38,-0.06,0.07,139.97,-0.00,0.10,129.90,-0.07,0.06
Dim Sum (Offshore CNY) Bond Index,147.82,0.02,0.02,150.85,0.05,0.07,118.66,0.01,-0.00
Australian Broad Investment-Grade Bond Index (AusBIG),333.91,0.20,-0.29,411.97,0.69,1.06,213.94,0.20,-0.29
Emerging Markets Government Bond Index (EMGBI),255.40,-0.05,0.01,143.33,-0.04,0.10,163.23,-0.06,-0.00
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.07,-0.01,-0.16,164.72,-0.01,-0.21,194.35,-0.03,-0.19
Emerging Markets US Dollar Government Bond Index EMUSDGBI),963.32,0.15,0.17,963.32,0.15,0.17,963.32,0.15,0.17
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,033.07",0.14,0.22,"1,033.07",0.14,0.22,"1,033.07",0.14,0.22
Debt Capacity World Government Bond Index (DCWGBI),188.45,0.08,0.04,182.92,0.19,0.39,200.24,0.09,0.04
Time-Weighted US Fallen Angel Bond Index,851.62,0.28,0.42,851.62,0.28,0.42,851.62,0.28,0.42
