,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),251.18,-0.24,-0.29,250.63,-0.34,-0.19,281.43,-0.24,-0.29
World Government Bond Index (WGBI),811.41,-0.28,-0.32,"1,054.88",-0.42,-0.22,964.59,-0.28,-0.32
World Government Bond Index - Developed Markets (WGBI  DM),807.21,-0.28,-0.32,"1,055.15",-0.42,-0.23,967.58,-0.28,-0.32
World Government Bond Index - Extended (WGBI Extended),817.84,-0.26,-0.31,"1,060.97",-0.40,-0.21,963.37,-0.26,-0.30
World Inflation-Linked Securities Index (WorldILSI),209.22,0.00,0.30,183.38,-0.16,0.45,212.00,0.00,0.30
US Broad Investment-Grade Bond Index (USBIG),"1,952.74",-0.22,-0.29,"1,952.74",-0.22,-0.29,"1,952.74",-0.22,-0.29
US Treasury Index,"1,678.45",-0.26,-0.34,"1,678.45",-0.26,-0.34,"1,678.45",-0.26,-0.34
US High-Yield Market Index,"1,234.73",-0.06,0.16,"1,234.73",-0.06,0.16,"1,234.73",-0.06,0.16
US High-Yield Cash Pay Index,"1,209.01",-0.06,0.16,"1,209.01",-0.06,0.16,"1,209.01",-0.06,0.16
US High-Yield Market Capped Index,427.02,-0.06,0.16,427.02,-0.06,0.16,427.02,-0.06,0.16
US High-Yield Cash Pay Capped Index,422.78,-0.06,0.16,422.78,-0.06,0.16,422.78,-0.06,0.16
LATAM Government Bond Index (LATAMGBI),231.21,-0.03,-0.47,109.49,-0.32,-0.78,151.75,-0.04,-0.54
Euro Broad Investment-Grade Bond Index (EuroBIG),252.13,-0.33,-0.37,254.33,-0.47,-0.02,295.09,-0.33,-0.36
EMU Government Bond Index (EGBI),257.34,-0.41,-0.41,259.58,-0.55,-0.07,300.71,-0.41,-0.40
Eurodollar Bond Index,475.24,-0.29,-0.35,475.24,-0.29,-0.35,475.24,-0.29,-0.35
Eurosterling Bond Index,580.56,-0.32,0.03,511.56,-0.61,0.20,510.38,-0.32,0.03
Euroyen Bond Index,187.29,0.03,-0.07,169.53,-0.30,-0.39,373.15,0.03,-0.06
CEEMEA Government Bond Index (CEEMEAGBI),186.83,-0.12,-0.39,103.64,-0.36,-0.03,136.50,-0.13,-0.45
Middle East and North Africa Broad Bond Index (MENABBI),175.48,-0.12,0.08,175.48,-0.12,0.08,175.48,-0.12,0.08
Asian Government Bond Index (AGBI),195.72,-0.10,-0.11,168.78,-0.22,-0.10,170.26,-0.11,-0.15
Asian Government Extended Bond Index (AGBI-Extended),185.42,-0.06,0.07,194.67,-0.25,-0.05,146.54,-0.07,0.02
AsiaPac Government Bond Index (APGBI),199.26,-0.09,-0.20,167.04,-0.28,-0.05,168.63,-0.10,-0.23
Asian Broad Bond Index (ABBI),231.22,-0.14,-0.27,231.22,-0.14,-0.27,231.22,-0.14,-0.27
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.34,-0.10,-0.01,139.94,-0.20,0.03,129.80,-0.11,-0.07
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.26,-0.10,-0.01,139.86,-0.21,0.03,129.73,-0.11,-0.07
Dim Sum (Offshore CNY) Bond Index,147.92,0.02,0.08,150.67,-0.10,-0.04,118.68,0.01,0.02
Australian Broad Investment-Grade Bond Index (AusBIG),332.83,-0.04,-0.61,409.41,-0.67,0.43,213.24,-0.03,-0.62
Emerging Markets Government Bond Index (EMGBI),255.01,-0.10,-0.14,143.00,-0.27,-0.12,162.91,-0.11,-0.20
Emerging Markets Inflation-Linked Securities Index (EMILSI),430.52,-0.04,-0.52,163.53,-0.32,-0.93,193.51,-0.06,-0.62
Emerging Markets US Dollar Government Bond Index EMUSDGBI),961.73,-0.16,0.01,961.73,-0.16,0.01,961.73,-0.16,0.01
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,031.61",-0.16,0.08,"1,031.61",-0.16,0.08,"1,031.61",-0.16,0.08
Debt Capacity World Government Bond Index (DCWGBI),187.72,-0.27,-0.34,181.94,-0.43,-0.15,199.47,-0.27,-0.34
Time-Weighted US Fallen Angel Bond Index,851.28,-0.14,0.38,851.28,-0.14,0.38,851.28,-0.14,0.38
