,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),251.41,0.09,-0.20,250.54,-0.03,-0.22,281.69,0.09,-0.19
World Government Bond Index (WGBI),812.18,0.09,-0.23,"1,054.25",-0.06,-0.28,965.52,0.10,-0.22
World Government Bond Index - Developed Markets (WGBI  DM),807.98,0.09,-0.23,"1,054.52",-0.06,-0.29,968.51,0.10,-0.22
World Government Bond Index - Extended (WGBI Extended),818.51,0.08,-0.22,"1,060.13",-0.08,-0.29,964.17,0.08,-0.22
World Inflation-Linked Securities Index (WorldILSI),210.21,0.48,0.77,183.88,0.27,0.72,213.01,0.47,0.77
US Broad Investment-Grade Bond Index (USBIG),"1,955.59",0.15,-0.15,"1,955.59",0.15,-0.15,"1,955.59",0.15,-0.15
US Treasury Index,"1,681.52",0.18,-0.15,"1,681.52",0.18,-0.15,"1,681.52",0.18,-0.15
US High-Yield Market Index,"1,235.02",0.02,0.19,"1,235.02",0.02,0.19,"1,235.02",0.02,0.19
US High-Yield Cash Pay Index,"1,209.27",0.02,0.18,"1,209.27",0.02,0.18,"1,209.27",0.02,0.18
US High-Yield Market Capped Index,427.13,0.03,0.19,427.13,0.03,0.19,427.13,0.03,0.19
US High-Yield Cash Pay Capped Index,422.88,0.02,0.18,422.88,0.02,0.18,422.88,0.02,0.18
LATAM Government Bond Index (LATAMGBI),231.26,0.02,-0.45,108.82,-0.61,-1.39,151.78,0.02,-0.52
Euro Broad Investment-Grade Bond Index (EuroBIG),252.28,0.06,-0.31,253.76,-0.23,-0.25,295.26,0.06,-0.30
EMU Government Bond Index (EGBI),257.54,0.08,-0.33,259.05,-0.20,-0.27,300.96,0.08,-0.32
Eurodollar Bond Index,475.89,0.14,-0.22,475.89,0.14,-0.22,475.89,0.14,-0.22
Eurosterling Bond Index,580.97,0.07,0.10,510.12,-0.28,-0.08,510.74,0.07,0.10
Euroyen Bond Index,187.28,-0.00,-0.07,169.35,-0.11,-0.50,373.15,-0.00,-0.06
CEEMEA Government Bond Index (CEEMEAGBI),186.86,0.02,-0.38,103.50,-0.14,-0.17,136.51,0.01,-0.44
Middle East and North Africa Broad Bond Index (MENABBI),175.52,0.02,0.11,175.52,0.02,0.11,175.52,0.02,0.11
Asian Government Bond Index (AGBI),195.58,-0.07,-0.18,168.25,-0.31,-0.42,170.13,-0.07,-0.23
Asian Government Extended Bond Index (AGBI-Extended),185.31,-0.06,0.01,194.08,-0.30,-0.36,146.45,-0.06,-0.04
AsiaPac Government Bond Index (APGBI),199.08,-0.09,-0.29,166.46,-0.35,-0.40,168.46,-0.10,-0.33
Asian Broad Bond Index (ABBI),231.30,0.04,-0.24,231.30,0.04,-0.24,231.30,0.04,-0.24
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.38,0.03,0.02,139.94,0.00,0.03,129.83,0.02,-0.05
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.30,0.03,0.02,139.87,0.00,0.04,129.76,0.02,-0.05
Dim Sum (Offshore CNY) Bond Index,147.92,0.00,0.09,150.65,-0.01,-0.06,118.67,-0.01,0.01
Australian Broad Investment-Grade Bond Index (AusBIG),332.43,-0.12,-0.73,407.48,-0.47,-0.04,212.99,-0.12,-0.73
Emerging Markets Government Bond Index (EMGBI),254.99,-0.01,-0.15,142.75,-0.17,-0.30,162.88,-0.01,-0.21
Emerging Markets Inflation-Linked Securities Index (EMILSI),429.74,-0.18,-0.70,161.21,-1.42,-2.34,193.17,-0.17,-0.79
Emerging Markets US Dollar Government Bond Index EMUSDGBI),961.49,-0.02,-0.02,961.49,-0.02,-0.02,961.49,-0.02,-0.02
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,030.77",-0.08,-0.01,"1,030.77",-0.08,-0.01,"1,030.77",-0.08,-0.01
Debt Capacity World Government Bond Index (DCWGBI),187.87,0.08,-0.27,181.71,-0.13,-0.28,199.63,0.08,-0.26
Time-Weighted US Fallen Angel Bond Index,851.25,-0.00,0.38,851.25,-0.00,0.38,851.25,-0.00,0.38
