,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),252.24,0.17,0.13,251.67,0.22,0.22,282.64,0.17,0.14
World Government Bond Index (WGBI),814.81,0.18,0.10,"1,059.52",0.24,0.21,968.69,0.18,0.11
World Government Bond Index - Developed Markets (WGBI  DM),810.63,0.18,0.10,"1,059.89",0.24,0.22,971.74,0.18,0.11
World Government Bond Index - Extended (WGBI Extended),820.82,0.16,0.06,"1,064.92",0.24,0.16,966.90,0.16,0.06
World Inflation-Linked Securities Index (WorldILSI),210.91,-0.00,1.11,185.08,0.01,1.38,213.73,-0.00,1.11
US Broad Investment-Grade Bond Index (USBIG),"1,965.11",0.25,0.34,"1,965.11",0.25,0.34,"1,965.11",0.25,0.34
US Treasury Index,"1,689.74",0.29,0.34,"1,689.74",0.29,0.34,"1,689.74",0.29,0.34
US High-Yield Market Index,"1,238.30",0.03,0.45,"1,238.30",0.03,0.45,"1,238.30",0.03,0.45
US High-Yield Cash Pay Index,"1,212.45",0.03,0.44,"1,212.45",0.03,0.44,"1,212.45",0.03,0.44
US High-Yield Market Capped Index,428.29,0.03,0.46,428.29,0.03,0.46,428.29,0.03,0.46
US High-Yield Cash Pay Capped Index,424.01,0.03,0.45,424.01,0.03,0.45,424.01,0.03,0.45
LATAM Government Bond Index (LATAMGBI),230.12,0.06,-0.94,108.59,-0.19,-1.60,150.95,0.05,-1.07
Euro Broad Investment-Grade Bond Index (EuroBIG),252.84,0.10,-0.09,254.53,0.20,0.06,295.96,0.10,-0.06
EMU Government Bond Index (EGBI),258.34,0.13,-0.02,260.07,0.23,0.12,301.94,0.13,0.01
Eurodollar Bond Index,479.27,0.31,0.49,479.27,0.31,0.49,479.27,0.31,0.49
Eurosterling Bond Index,581.37,0.09,0.17,514.74,0.11,0.82,511.10,0.09,0.17
Euroyen Bond Index,187.29,-0.02,-0.06,170.40,0.22,0.12,373.19,-0.02,-0.05
CEEMEA Government Bond Index (CEEMEAGBI),186.71,-0.01,-0.45,103.43,-0.24,-0.23,136.34,-0.02,-0.57
Middle East and North Africa Broad Bond Index (MENABBI),176.11,0.22,0.45,176.11,0.22,0.45,176.11,0.22,0.45
Asian Government Bond Index (AGBI),195.33,-0.02,-0.31,168.16,0.17,-0.47,169.85,-0.03,-0.39
Asian Government Extended Bond Index (AGBI-Extended),185.22,0.00,-0.04,194.04,0.14,-0.38,146.32,-0.01,-0.13
AsiaPac Government Bond Index (APGBI),198.97,0.01,-0.34,166.40,0.10,-0.43,168.33,0.00,-0.41
Asian Broad Bond Index (ABBI),231.90,0.04,0.02,231.90,0.04,0.02,231.90,0.04,0.02
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.30,0.04,-0.03,140.28,0.21,0.27,129.69,0.03,-0.15
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.23,0.04,-0.03,140.20,0.21,0.27,129.63,0.03,-0.15
Dim Sum (Offshore CNY) Bond Index,147.97,-0.00,0.12,151.36,0.14,0.42,118.64,-0.01,-0.01
Australian Broad Investment-Grade Bond Index (AusBIG),333.47,0.11,-0.42,407.14,-0.46,-0.12,213.67,0.11,-0.41
Emerging Markets Government Bond Index (EMGBI),254.81,0.04,-0.22,142.91,0.04,-0.18,162.68,0.03,-0.33
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.22,0.26,-0.12,162.99,-0.14,-1.26,194.08,0.24,-0.33
Emerging Markets US Dollar Government Bond Index EMUSDGBI),963.95,0.14,0.24,963.95,0.14,0.24,963.95,0.14,0.24
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,032.83",0.12,0.19,"1,032.83",0.12,0.19,"1,032.83",0.12,0.19
Debt Capacity World Government Bond Index (DCWGBI),188.32,0.13,-0.03,182.44,0.16,0.12,200.12,0.13,-0.02
Time-Weighted US Fallen Angel Bond Index,852.94,0.02,0.57,852.94,0.02,0.57,852.94,0.02,0.57
