,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.85,-0.40,-0.42,249.60,-0.35,-0.60,281.10,-0.40,-0.40
World Government Bond Index (WGBI),810.12,-0.41,-0.48,"1,049.89",-0.37,-0.70,963.19,-0.41,-0.46
World Government Bond Index - Developed Markets (WGBI  DM),805.94,-0.42,-0.48,"1,050.34",-0.38,-0.69,966.21,-0.42,-0.46
World Government Bond Index - Extended (WGBI Extended),816.53,-0.38,-0.46,"1,055.84",-0.34,-0.69,961.88,-0.38,-0.46
World Inflation-Linked Securities Index (WorldILSI),207.95,-0.64,-0.31,181.75,-0.35,-0.45,210.73,-0.64,-0.31
US Broad Investment-Grade Bond Index (USBIG),"1,953.36",-0.44,-0.26,"1,953.36",-0.44,-0.26,"1,953.36",-0.44,-0.26
US Treasury Index,"1,678.25",-0.47,-0.35,"1,678.25",-0.47,-0.35,"1,678.25",-0.47,-0.35
US High-Yield Market Index,"1,237.86",0.03,0.42,"1,237.86",0.03,0.42,"1,237.86",0.03,0.42
US High-Yield Cash Pay Index,"1,212.01",0.02,0.41,"1,212.01",0.02,0.41,"1,212.01",0.02,0.41
US High-Yield Market Capped Index,428.15,0.03,0.43,428.15,0.03,0.43,428.15,0.03,0.43
US High-Yield Cash Pay Capped Index,423.88,0.02,0.42,423.88,0.02,0.42,423.88,0.02,0.42
LATAM Government Bond Index (LATAMGBI),230.13,-0.01,-0.94,107.97,-0.06,-2.16,150.82,-0.02,-1.15
Euro Broad Investment-Grade Bond Index (EuroBIG),251.55,-0.42,-0.60,251.69,-0.29,-1.06,294.51,-0.42,-0.55
EMU Government Bond Index (EGBI),256.90,-0.48,-0.58,257.04,-0.34,-1.05,300.31,-0.47,-0.53
Eurodollar Bond Index,476.07,-0.59,-0.18,476.07,-0.59,-0.18,476.07,-0.59,-0.18
Eurosterling Bond Index,574.22,-0.76,-1.06,504.47,-0.04,-1.19,504.83,-0.76,-1.05
Euroyen Bond Index,187.41,0.00,-0.00,169.77,-0.46,-0.25,373.44,0.00,0.02
CEEMEA Government Bond Index (CEEMEAGBI),186.14,-0.08,-0.76,101.83,0.12,-1.77,135.83,-0.09,-0.94
Middle East and North Africa Broad Bond Index (MENABBI),175.09,-0.40,-0.14,175.09,-0.40,-0.14,175.09,-0.40,-0.14
Asian Government Bond Index (AGBI),195.39,-0.04,-0.28,167.64,0.06,-0.77,169.82,-0.05,-0.41
Asian Government Extended Bond Index (AGBI-Extended),185.53,-0.02,0.13,193.91,0.13,-0.44,146.48,-0.03,-0.02
AsiaPac Government Bond Index (APGBI),199.02,-0.04,-0.32,165.89,0.15,-0.74,168.29,-0.04,-0.43
Asian Broad Bond Index (ABBI),229.93,-0.05,-0.83,229.93,-0.05,-0.83,229.93,-0.05,-0.83
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.51,-0.04,0.11,140.12,0.10,0.16,129.78,-0.05,-0.09
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.43,-0.04,0.11,140.05,0.10,0.16,129.71,-0.05,-0.09
Dim Sum (Offshore CNY) Bond Index,147.98,-0.02,0.12,150.86,0.08,0.08,118.55,-0.03,-0.09
Australian Broad Investment-Grade Bond Index (AusBIG),333.45,-0.04,-0.43,405.84,0.64,-0.44,213.67,-0.05,-0.41
Emerging Markets Government Bond Index (EMGBI),254.84,-0.01,-0.21,142.09,0.12,-0.76,162.59,-0.02,-0.39
Emerging Markets Inflation-Linked Securities Index (EMILSI),433.00,-0.09,0.06,161.30,-0.20,-2.28,194.17,-0.10,-0.28
Emerging Markets US Dollar Government Bond Index EMUSDGBI),952.92,-0.29,-0.91,952.92,-0.29,-0.91,952.92,-0.29,-0.91
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,021.93",-0.22,-0.86,"1,021.93",-0.22,-0.86,"1,021.93",-0.22,-0.86
Debt Capacity World Government Bond Index (DCWGBI),187.25,-0.39,-0.60,180.72,-0.24,-0.82,198.99,-0.39,-0.59
Time-Weighted US Fallen Angel Bond Index,852.42,0.03,0.51,852.42,0.03,0.51,852.42,0.03,0.51
