,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.95,-0.42,-0.42,242.32,-0.70,-0.70,278.07,-0.42,-0.42
World Government Bond Index (WGBI),800.94,-0.41,-0.41,"1,014.38",-0.74,-0.74,953.09,-0.41,-0.41
World Government Bond Index - Developed Markets (WGBI  DM),796.98,-0.42,-0.42,"1,014.97",-0.75,-0.75,956.43,-0.41,-0.41
World Government Bond Index - Extended (WGBI Extended),808.20,-0.39,-0.39,"1,023.63",-0.70,-0.70,952.31,-0.39,-0.39
World Inflation-Linked Securities Index (WorldILSI),210.86,-0.25,-0.25,181.13,-0.68,-0.68,213.61,-0.25,-0.25
US Broad Investment-Grade Bond Index (USBIG),"1,927.71",-0.67,-0.67,"1,927.71",-0.67,-0.67,"1,927.71",-0.67,-0.67
US Treasury Index,"1,655.66",-0.82,-0.82,"1,655.66",-0.82,-0.82,"1,655.66",-0.82,-0.82
US High-Yield Market Index,"1,241.42",-0.09,-0.09,"1,241.42",-0.09,-0.09,"1,241.42",-0.09,-0.09
US High-Yield Cash Pay Index,"1,215.84",-0.09,-0.09,"1,215.84",-0.09,-0.09,"1,215.84",-0.09,-0.09
US High-Yield Market Capped Index,429.21,-0.08,-0.08,429.21,-0.08,-0.08,429.21,-0.08,-0.08
US High-Yield Cash Pay Capped Index,425.05,-0.08,-0.08,425.05,-0.08,-0.08,425.05,-0.08,-0.08
LATAM Government Bond Index (LATAMGBI),229.18,-0.29,-0.29,103.03,-1.10,-1.10,148.21,-0.34,-0.34
Euro Broad Investment-Grade Bond Index (EuroBIG),248.29,-0.23,-0.23,238.75,-0.94,-0.94,291.42,-0.23,-0.23
EMU Government Bond Index (EGBI),253.18,-0.25,-0.25,243.46,-0.96,-0.96,296.67,-0.25,-0.25
Eurodollar Bond Index,469.03,-0.66,-0.66,469.03,-0.66,-0.66,469.03,-0.66,-0.66
Eurosterling Bond Index,570.98,0.02,0.02,490.78,-0.69,-0.69,502.31,0.02,0.02
Euroyen Bond Index,187.49,0.01,0.01,162.23,-0.12,-0.12,374.08,0.01,0.01
CEEMEA Government Bond Index (CEEMEAGBI),179.63,0.01,0.01,93.61,-0.05,-0.05,129.94,-0.03,-0.03
Middle East and North Africa Broad Bond Index (MENABBI),174.27,-0.26,-0.26,174.27,-0.26,-0.26,174.27,-0.26,-0.26
Asian Government Bond Index (AGBI),195.67,-0.08,-0.08,168.50,-0.16,-0.16,169.02,-0.10,-0.10
Asian Government Extended Bond Index (AGBI-Extended),185.67,-0.07,-0.07,194.17,-0.10,-0.10,145.58,-0.09,-0.09
AsiaPac Government Bond Index (APGBI),198.51,-0.07,-0.07,165.56,-0.27,-0.27,166.92,-0.08,-0.08
Asian Broad Bond Index (ABBI),225.40,-0.17,-0.17,225.40,-0.17,-0.17,225.40,-0.17,-0.17
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),151.54,0.03,0.03,143.95,0.03,0.03,130.46,0.00,0.00
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),151.47,0.03,0.03,143.87,0.03,0.03,130.39,0.00,0.00
Dim Sum (Offshore CNY) Bond Index,148.81,0.02,0.02,153.63,-0.22,-0.22,118.27,-0.00,-0.00
Australian Broad Investment-Grade Bond Index (AusBIG),324.46,0.02,0.02,388.42,-1.12,-1.12,207.58,0.02,0.02
Emerging Markets Government Bond Index (EMGBI),254.52,-0.01,-0.01,140.55,-0.11,-0.11,160.95,-0.04,-0.04
Emerging Markets Inflation-Linked Securities Index (EMILSI),445.81,-0.12,-0.12,151.91,-0.96,-0.96,195.79,-0.18,-0.18
Emerging Markets US Dollar Government Bond Index EMUSDGBI),931.64,-0.26,-0.26,931.64,-0.26,-0.26,931.64,-0.26,-0.26
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),996.98,-0.19,-0.19,996.98,-0.19,-0.19,996.98,-0.19,-0.19
Debt Capacity World Government Bond Index (DCWGBI),185.06,-0.32,-0.32,174.37,-0.76,-0.76,196.71,-0.32,-0.32
Time-Weighted US Fallen Angel Bond Index,852.91,-0.19,-0.19,852.91,-0.19,-0.19,852.91,-0.19,-0.19
