,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),246.85,0.13,-0.86,242.90,0.31,-0.47,276.85,0.13,-0.86
World Government Bond Index (WGBI),798.34,0.17,-0.73,"1,019.70",0.42,-0.22,950.02,0.17,-0.73
World Government Bond Index - Developed Markets (WGBI  DM),794.31,0.17,-0.75,"1,020.18",0.42,-0.24,953.28,0.17,-0.74
World Government Bond Index - Extended (WGBI Extended),805.83,0.16,-0.68,"1,028.83",0.40,-0.19,949.49,0.16,-0.68
World Inflation-Linked Securities Index (WorldILSI),209.57,0.12,-0.86,182.03,0.33,-0.19,212.29,0.12,-0.87
US Broad Investment-Grade Bond Index (USBIG),"1,914.99",0.08,-1.32,"1,914.99",0.08,-1.32,"1,914.99",0.08,-1.32
US Treasury Index,"1,647.68",0.11,-1.29,"1,647.68",0.11,-1.29,"1,647.68",0.11,-1.29
US High-Yield Market Index,"1,235.46",-0.04,-0.57,"1,235.46",-0.04,-0.57,"1,235.46",-0.04,-0.57
US High-Yield Cash Pay Index,"1,210.12",-0.03,-0.56,"1,210.12",-0.03,-0.56,"1,210.12",-0.03,-0.56
US High-Yield Market Capped Index,427.29,-0.03,-0.53,427.29,-0.03,-0.53,427.29,-0.03,-0.53
US High-Yield Cash Pay Capped Index,423.17,-0.03,-0.52,423.17,-0.03,-0.52,423.17,-0.03,-0.52
LATAM Government Bond Index (LATAMGBI),227.40,0.28,-1.07,104.62,0.65,0.43,146.76,0.26,-1.31
Euro Broad Investment-Grade Bond Index (EuroBIG),248.37,0.23,-0.20,242.40,0.58,0.58,291.57,0.23,-0.18
EMU Government Bond Index (EGBI),253.43,0.29,-0.16,247.33,0.64,0.62,297.01,0.29,-0.13
Eurodollar Bond Index,465.60,0.18,-1.39,465.60,0.18,-1.39,465.60,0.18,-1.39
Eurosterling Bond Index,566.30,0.23,-0.80,497.13,0.57,0.59,498.12,0.23,-0.81
Euroyen Bond Index,187.13,-0.01,-0.18,163.59,0.62,0.72,373.38,-0.01,-0.18
CEEMEA Government Bond Index (CEEMEAGBI),178.16,-0.15,-0.81,94.26,-0.47,0.64,128.71,-0.16,-0.98
Middle East and North Africa Broad Bond Index (MENABBI),172.18,0.15,-1.46,172.18,0.15,-1.46,172.18,0.15,-1.46
Asian Government Bond Index (AGBI),195.66,0.10,-0.08,168.86,0.25,0.05,168.91,0.09,-0.17
Asian Government Extended Bond Index (AGBI-Extended),185.39,0.07,-0.23,194.40,0.19,0.02,145.26,0.06,-0.31
AsiaPac Government Bond Index (APGBI),198.26,0.08,-0.19,165.97,0.26,-0.02,166.62,0.07,-0.27
Asian Broad Bond Index (ABBI),221.72,-0.21,-1.80,221.72,-0.21,-1.80,221.72,-0.21,-1.80
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),151.89,0.05,0.26,144.58,0.12,0.47,130.64,0.04,0.14
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),151.82,0.05,0.26,144.51,0.12,0.47,130.58,0.04,0.15
Dim Sum (Offshore CNY) Bond Index,149.04,-0.05,0.17,154.10,-0.07,0.09,118.37,-0.05,0.08
Australian Broad Investment-Grade Bond Index (AusBIG),321.70,-0.07,-0.83,391.14,0.36,-0.43,205.82,-0.08,-0.83
Emerging Markets Government Bond Index (EMGBI),254.16,0.04,-0.15,141.24,0.11,0.38,160.56,0.03,-0.28
Emerging Markets Inflation-Linked Securities Index (EMILSI),442.27,-0.02,-0.91,153.90,0.42,0.34,193.68,-0.05,-1.26
Emerging Markets US Dollar Government Bond Index EMUSDGBI),913.55,0.03,-2.19,913.55,0.03,-2.19,913.55,0.03,-2.19
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),978.65,-0.06,-2.03,978.65,-0.06,-2.03,978.65,-0.06,-2.03
Debt Capacity World Government Bond Index (DCWGBI),184.54,0.18,-0.60,175.73,0.44,0.01,196.14,0.18,-0.61
Time-Weighted US Fallen Angel Bond Index,845.55,-0.05,-1.05,845.55,-0.05,-1.05,845.55,-0.05,-1.05
