,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),245.70,-0.13,-1.32,240.28,-0.22,-1.54,275.59,-0.13,-1.31
World Government Bond Index (WGBI),795.51,-0.19,-1.09,"1,009.02",-0.28,-1.27,946.75,-0.19,-1.07
World Government Bond Index - Developed Markets (WGBI  DM),791.39,-0.20,-1.11,"1,009.41",-0.28,-1.29,949.89,-0.20,-1.09
World Government Bond Index - Extended (WGBI Extended),803.22,-0.19,-1.00,"1,019.04",-0.27,-1.14,946.45,-0.19,-1.00
World Inflation-Linked Securities Index (WorldILSI),208.42,-0.16,-1.40,179.07,-0.18,-1.81,211.14,-0.16,-1.40
US Broad Investment-Grade Bond Index (USBIG),"1,902.52",-0.15,-1.97,"1,902.52",-0.15,-1.97,"1,902.52",-0.15,-1.97
US Treasury Index,"1,639.41",-0.31,-1.79,"1,639.41",-0.31,-1.79,"1,639.41",-0.31,-1.79
US High-Yield Market Index,"1,219.78",0.03,-1.83,"1,219.78",0.03,-1.83,"1,219.78",0.03,-1.83
US High-Yield Cash Pay Index,"1,194.80",0.03,-1.82,"1,194.80",0.03,-1.82,"1,194.80",0.03,-1.82
US High-Yield Market Capped Index,421.94,0.03,-1.77,421.94,0.03,-1.77,421.94,0.03,-1.77
US High-Yield Cash Pay Capped Index,417.89,0.03,-1.76,417.89,0.03,-1.76,417.89,0.03,-1.76
LATAM Government Bond Index (LATAMGBI),228.20,0.15,-0.72,104.55,0.00,0.36,147.00,0.14,-1.15
Euro Broad Investment-Grade Bond Index (EuroBIG),247.70,-0.12,-0.47,237.81,-0.43,-1.33,290.87,-0.12,-0.41
EMU Government Bond Index (EGBI),252.81,-0.13,-0.40,242.72,-0.44,-1.26,296.37,-0.12,-0.35
Eurodollar Bond Index,460.47,-0.09,-2.48,460.47,-0.09,-2.48,460.47,-0.09,-2.48
Eurosterling Bond Index,561.58,-0.31,-1.62,484.03,-0.16,-2.06,494.06,-0.31,-1.62
Euroyen Bond Index,186.81,-0.03,-0.35,163.57,-0.04,0.70,372.77,-0.03,-0.34
CEEMEA Government Bond Index (CEEMEAGBI),177.64,-0.07,-1.10,92.42,-0.13,-1.32,128.22,-0.08,-1.35
Middle East and North Africa Broad Bond Index (MENABBI),170.68,-0.16,-2.32,170.68,-0.16,-2.32,170.68,-0.16,-2.32
Asian Government Bond Index (AGBI),195.71,-0.09,-0.06,169.06,-0.09,0.17,168.83,-0.10,-0.21
Asian Government Extended Bond Index (AGBI-Extended),185.41,-0.05,-0.21,194.01,-0.11,-0.19,145.18,-0.06,-0.37
AsiaPac Government Bond Index (APGBI),198.15,-0.11,-0.25,165.58,-0.06,-0.26,166.43,-0.11,-0.37
Asian Broad Bond Index (ABBI),221.18,-0.07,-2.04,221.18,-0.07,-2.04,221.18,-0.07,-2.04
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.92,-0.11,0.94,146.37,-0.00,1.71,131.40,-0.11,0.72
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.85,-0.11,0.94,146.30,-0.00,1.72,131.34,-0.12,0.73
Dim Sum (Offshore CNY) Bond Index,149.58,0.10,0.53,155.41,0.13,0.94,118.71,0.09,0.36
Australian Broad Investment-Grade Bond Index (AusBIG),319.19,-0.32,-1.61,379.50,0.10,-3.39,204.29,-0.32,-1.57
Emerging Markets Government Bond Index (EMGBI),255.08,-0.04,0.21,141.74,-0.02,0.74,160.97,-0.05,-0.03
Emerging Markets Inflation-Linked Securities Index (EMILSI),445.43,0.31,-0.20,155.21,0.39,1.19,194.49,0.29,-0.85
Emerging Markets US Dollar Government Bond Index EMUSDGBI),901.16,-0.33,-3.52,901.16,-0.33,-3.52,901.16,-0.33,-3.52
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),966.08,-0.31,-3.28,966.08,-0.31,-3.28,966.08,-0.31,-3.28
Debt Capacity World Government Bond Index (DCWGBI),184.03,-0.16,-0.88,173.32,-0.25,-1.36,195.60,-0.16,-0.88
Time-Weighted US Fallen Angel Bond Index,832.70,-0.08,-2.55,832.70,-0.08,-2.55,832.70,-0.08,-2.55
