,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.60,-0.13,0.71,247.58,0.01,0.77,280.92,-0.13,0.72
World Government Bond Index (WGBI),809.03,-0.14,0.83,"1,038.64",0.04,0.93,962.32,-0.13,0.83
World Government Bond Index - Developed Markets (WGBI  DM),805.10,-0.14,0.84,"1,039.37",0.03,0.94,965.67,-0.13,0.85
World Government Bond Index - Extended (WGBI Extended),815.29,-0.12,0.84,"1,045.54",0.05,0.90,960.58,-0.12,0.84
World Inflation-Linked Securities Index (WorldILSI),213.62,0.09,2.23,185.38,0.35,1.94,216.56,0.10,2.21
US Broad Investment-Grade Bond Index (USBIG),"1,949.74",-0.15,0.45,"1,949.74",-0.15,0.45,"1,949.74",-0.15,0.45
US Treasury Index,"1,672.91",-0.19,0.46,"1,672.91",-0.19,0.46,"1,672.91",-0.19,0.46
US High-Yield Market Index,"1,240.29",0.16,0.72,"1,240.29",0.16,0.72,"1,240.29",0.16,0.72
US High-Yield Cash Pay Index,"1,214.39",0.16,0.71,"1,214.39",0.16,0.71,"1,214.39",0.16,0.71
US High-Yield Market Capped Index,428.83,0.15,0.70,428.83,0.15,0.70,428.83,0.15,0.70
US High-Yield Cash Pay Capped Index,424.55,0.15,0.69,424.55,0.15,0.69,424.55,0.15,0.69
LATAM Government Bond Index (LATAMGBI),226.93,0.11,0.67,104.50,0.34,1.08,148.04,0.07,0.56
Euro Broad Investment-Grade Bond Index (EuroBIG),251.69,-0.19,1.17,248.39,0.11,1.32,294.99,-0.18,1.19
EMU Government Bond Index (EGBI),257.12,-0.22,1.39,253.75,0.08,1.53,300.90,-0.21,1.40
Eurodollar Bond Index,475.52,-0.13,0.57,475.52,-0.13,0.57,475.52,-0.13,0.57
Eurosterling Bond Index,578.19,-0.06,1.42,501.23,0.48,0.34,508.53,-0.05,1.40
Euroyen Bond Index,187.66,0.01,0.29,165.40,0.24,1.03,374.09,0.01,0.30
CEEMEA Government Bond Index (CEEMEAGBI),181.11,0.24,0.19,98.43,0.52,0.97,131.66,0.21,0.12
Middle East and North Africa Broad Bond Index (MENABBI),175.14,0.26,0.80,175.14,0.26,0.80,175.14,0.26,0.80
Asian Government Bond Index (AGBI),194.46,0.10,0.80,167.59,0.26,0.51,168.57,0.08,0.75
Asian Government Extended Bond Index (AGBI-Extended),184.62,0.09,0.61,193.30,0.36,0.68,145.32,0.07,0.55
AsiaPac Government Bond Index (APGBI),197.29,0.13,0.93,165.40,0.30,0.54,166.42,0.12,0.88
Asian Broad Bond Index (ABBI),224.64,-0.22,-0.43,224.64,-0.22,-0.43,224.64,-0.22,-0.43
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),149.96,0.01,0.43,141.90,0.06,0.45,129.70,-0.02,0.37
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),149.87,0.01,0.43,141.82,0.06,0.45,129.63,-0.02,0.37
Dim Sum (Offshore CNY) Bond Index,147.97,0.01,0.03,152.41,0.15,0.25,118.10,-0.01,-0.03
Australian Broad Investment-Grade Bond Index (AusBIG),323.11,0.25,1.62,399.40,0.41,0.41,206.80,0.25,1.61
Emerging Markets Government Bond Index (EMGBI),253.23,0.06,0.40,141.37,0.26,0.52,160.97,0.03,0.34
Emerging Markets Inflation-Linked Securities Index (EMILSI),430.08,-0.27,1.06,154.04,-0.14,2.04,191.56,-0.34,0.91
Emerging Markets US Dollar Government Bond Index EMUSDGBI),944.17,0.35,0.54,944.17,0.35,0.54,944.17,0.35,0.54
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,013.68",0.32,0.54,"1,013.68",0.32,0.54,"1,013.68",0.32,0.54
Debt Capacity World Government Bond Index (DCWGBI),186.65,-0.11,0.84,178.88,0.09,0.92,198.40,-0.11,0.83
Time-Weighted US Fallen Angel Bond Index,857.92,0.30,0.88,857.92,0.30,0.88,857.92,0.30,0.88
