,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.60,0.32,0.71,244.75,0.27,-0.38,280.91,0.31,0.72
World Government Bond Index (WGBI),812.02,0.39,1.20,"1,028.36",0.34,-0.07,965.77,0.38,1.19
World Government Bond Index - Developed Markets (WGBI  DM),808.13,0.39,1.22,"1,029.51",0.33,-0.02,969.23,0.38,1.22
World Government Bond Index - Extended (WGBI Extended),818.38,0.38,1.22,"1,036.57",0.35,0.04,964.03,0.37,1.20
World Inflation-Linked Securities Index (WorldILSI),215.09,0.44,2.93,183.43,0.29,0.87,217.91,0.42,2.85
US Broad Investment-Grade Bond Index (USBIG),"1,946.52",0.35,0.29,"1,946.52",0.35,0.29,"1,946.52",0.35,0.29
US Treasury Index,"1,678.61",0.48,0.81,"1,678.61",0.48,0.81,"1,678.61",0.48,0.81
US High-Yield Market Index,"1,218.41",-0.13,-1.05,"1,218.41",-0.13,-1.05,"1,218.41",-0.13,-1.05
US High-Yield Cash Pay Index,"1,193.01",-0.13,-1.06,"1,193.01",-0.13,-1.06,"1,193.01",-0.13,-1.06
US High-Yield Market Capped Index,421.32,-0.13,-1.06,421.32,-0.13,-1.06,421.32,-0.13,-1.06
US High-Yield Cash Pay Capped Index,417.12,-0.13,-1.07,417.12,-0.13,-1.07,417.12,-0.13,-1.07
LATAM Government Bond Index (LATAMGBI),227.28,0.39,0.82,100.81,0.89,-2.48,147.83,0.36,0.41
Euro Broad Investment-Grade Bond Index (EuroBIG),251.92,0.25,1.26,241.47,0.14,-1.51,295.28,0.25,1.29
EMU Government Bond Index (EGBI),258.12,0.32,1.78,247.42,0.21,-1.00,302.05,0.31,1.79
Eurodollar Bond Index,472.74,0.36,-0.02,472.74,0.36,-0.02,472.74,0.36,-0.02
Eurosterling Bond Index,577.41,0.30,1.28,488.28,-0.20,-2.25,507.72,0.28,1.24
Euroyen Bond Index,187.60,0.00,0.26,164.84,0.08,0.69,374.03,0.00,0.28
CEEMEA Government Bond Index (CEEMEAGBI),180.00,0.26,-0.42,92.92,0.79,-4.68,130.68,0.24,-0.63
Middle East and North Africa Broad Bond Index (MENABBI),172.57,0.04,-0.68,172.57,0.04,-0.68,172.57,0.04,-0.68
Asian Government Bond Index (AGBI),195.38,0.19,1.28,168.22,0.39,0.89,169.14,0.18,1.09
Asian Government Extended Bond Index (AGBI-Extended),185.67,0.14,1.18,193.56,0.28,0.82,145.92,0.14,0.97
AsiaPac Government Bond Index (APGBI),198.28,0.23,1.43,165.11,0.37,0.36,167.04,0.22,1.25
Asian Broad Bond Index (ABBI),225.46,0.10,-0.06,225.46,0.10,-0.06,225.46,0.10,-0.06
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),150.48,-0.04,0.78,142.99,0.14,1.23,129.95,-0.05,0.56
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),150.40,-0.04,0.78,142.91,0.14,1.23,129.88,-0.05,0.56
Dim Sum (Offshore CNY) Bond Index,148.44,0.02,0.35,153.18,0.25,0.76,118.29,0.01,0.13
Australian Broad Investment-Grade Bond Index (AusBIG),324.57,0.47,2.08,383.30,0.11,-3.63,207.56,0.44,1.99
Emerging Markets Government Bond Index (EMGBI),253.30,0.09,0.43,139.46,0.34,-0.83,160.73,0.08,0.19
Emerging Markets Inflation-Linked Securities Index (EMILSI),439.71,0.57,3.33,148.82,0.49,-1.41,194.48,0.43,2.45
Emerging Markets US Dollar Government Bond Index EMUSDGBI),917.79,0.07,-2.27,917.79,0.07,-2.27,917.79,0.07,-2.27
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),984.25,0.14,-2.38,984.25,0.14,-2.38,984.25,0.14,-2.38
Debt Capacity World Government Bond Index (DCWGBI),187.48,0.39,1.28,176.01,0.37,-0.70,199.23,0.38,1.25
Time-Weighted US Fallen Angel Bond Index,839.69,-0.16,-1.27,839.69,-0.16,-1.27,839.69,-0.16,-1.27
