,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),249.12,0.01,0.44,249.05,-0.07,-0.69,278.99,0.01,0.46
World Government Bond Index (WGBI),803.45,0.00,0.36,"1,046.83",-0.09,-1.01,954.65,0.00,0.37
World Government Bond Index - Developed Markets (WGBI  DM),799.23,-0.00,0.36,"1,046.98",-0.09,-1.01,957.47,-0.00,0.38
World Government Bond Index - Extended (WGBI Extended),809.32,0.01,0.34,"1,052.70",-0.07,-1.04,953.18,0.01,0.35
World Inflation-Linked Securities Index (WorldILSI),200.78,-0.07,0.25,176.43,-0.25,-1.27,203.40,-0.07,0.27
US Broad Investment-Grade Bond Index (USBIG),"1,938.42",0.05,0.71,"1,938.42",0.05,0.71,"1,938.42",0.05,0.71
US Treasury Index,"1,662.47",0.01,0.58,"1,662.47",0.01,0.58,"1,662.47",0.01,0.58
US High-Yield Market Index,"1,220.47",0.09,1.20,"1,220.47",0.09,1.20,"1,220.47",0.09,1.20
US High-Yield Cash Pay Index,"1,194.88",0.08,1.20,"1,194.88",0.08,1.20,"1,194.88",0.08,1.20
US High-Yield Market Capped Index,422.30,0.08,1.12,422.30,0.08,1.12,422.30,0.08,1.12
US High-Yield Cash Pay Capped Index,418.03,0.07,1.12,418.03,0.07,1.12,418.03,0.07,1.12
LATAM Government Bond Index (LATAMGBI),233.77,0.31,-0.66,113.62,0.10,0.37,154.36,0.30,-0.86
Euro Broad Investment-Grade Bond Index (EuroBIG),249.77,-0.03,0.15,253.22,-0.21,-2.49,291.94,-0.03,0.20
EMU Government Bond Index (EGBI),254.42,-0.02,0.15,257.93,-0.20,-2.49,296.92,-0.01,0.20
Eurodollar Bond Index,471.28,0.11,1.40,471.28,0.11,1.40,471.28,0.11,1.40
Eurosterling Bond Index,573.11,-0.06,0.64,506.75,-0.45,-2.06,503.69,-0.06,0.63
Euroyen Bond Index,186.60,-0.03,0.09,168.47,0.08,-0.91,371.57,-0.03,0.11
CEEMEA Government Bond Index (CEEMEAGBI),185.31,-0.00,0.25,102.67,-0.42,-2.11,136.13,-0.01,0.04
Middle East and North Africa Broad Bond Index (MENABBI),173.65,0.04,1.02,173.65,0.04,1.02,173.65,0.04,1.02
Asian Government Bond Index (AGBI),192.32,0.07,0.27,166.95,0.06,-1.27,167.87,0.07,0.13
Asian Government Extended Bond Index (AGBI-Extended),182.38,0.04,0.11,191.83,0.02,-1.55,144.73,0.03,-0.08
AsiaPac Government Bond Index (APGBI),195.85,0.10,0.38,165.47,-0.01,-1.36,166.23,0.10,0.26
Asian Broad Bond Index (ABBI),230.35,0.06,0.50,230.35,0.06,0.50,230.35,0.06,0.50
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),146.73,0.06,0.13,137.55,0.05,-1.38,128.14,0.05,-0.07
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),146.64,0.06,0.13,137.47,0.05,-1.38,128.06,0.05,-0.07
Dim Sum (Offshore CNY) Bond Index,147.13,0.01,0.15,149.75,-0.06,-1.29,118.69,0.00,-0.03
Australian Broad Investment-Grade Bond Index (AusBIG),328.44,0.22,0.73,411.07,-0.54,-2.21,210.44,0.21,0.73
Emerging Markets Government Bond Index (EMGBI),251.84,0.06,0.09,141.79,-0.09,-1.33,161.70,0.05,-0.11
Emerging Markets Inflation-Linked Securities Index (EMILSI),430.77,-0.08,-0.13,167.66,-0.40,2.16,195.55,-0.10,-0.50
Emerging Markets US Dollar Government Bond Index EMUSDGBI),945.51,-0.00,0.85,945.51,-0.00,0.85,945.51,-0.00,0.85
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,016.44",-0.00,0.68,"1,016.44",-0.00,0.68,"1,016.44",-0.00,0.68
Debt Capacity World Government Bond Index (DCWGBI),185.86,0.01,0.31,180.75,-0.13,-1.37,197.44,0.01,0.32
Time-Weighted US Fallen Angel Bond Index,830.48,0.21,1.98,830.48,0.21,1.98,830.48,0.21,1.98
