,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),249.09,0.23,0.43,249.21,0.16,-0.63,278.96,0.23,0.45
World Government Bond Index (WGBI),803.45,0.27,0.36,"1,047.76",0.19,-0.92,954.64,0.27,0.37
World Government Bond Index - Developed Markets (WGBI  DM),799.26,0.27,0.37,"1,047.93",0.19,-0.92,957.49,0.27,0.39
World Government Bond Index - Extended (WGBI Extended),809.25,0.23,0.33,"1,053.44",0.16,-0.97,953.09,0.23,0.34
World Inflation-Linked Securities Index (WorldILSI),200.93,0.42,0.33,176.87,0.30,-1.02,203.54,0.42,0.34
US Broad Investment-Grade Bond Index (USBIG),"1,937.50",0.28,0.66,"1,937.50",0.28,0.66,"1,937.50",0.28,0.66
US Treasury Index,"1,662.24",0.38,0.57,"1,662.24",0.38,0.57,"1,662.24",0.38,0.57
US High-Yield Market Index,"1,219.43",0.08,1.11,"1,219.43",0.08,1.11,"1,219.43",0.08,1.11
US High-Yield Cash Pay Index,"1,193.91",0.08,1.12,"1,193.91",0.08,1.12,"1,193.91",0.08,1.12
US High-Yield Market Capped Index,421.98,0.07,1.04,421.98,0.07,1.04,421.98,0.07,1.04
US High-Yield Cash Pay Capped Index,417.73,0.07,1.05,417.73,0.07,1.05,417.73,0.07,1.05
LATAM Government Bond Index (LATAMGBI),233.05,0.52,-0.96,113.51,0.79,0.27,153.89,0.50,-1.16
Euro Broad Investment-Grade Bond Index (EuroBIG),249.86,0.22,0.18,253.76,0.02,-2.28,292.03,0.22,0.23
EMU Government Bond Index (EGBI),254.46,0.29,0.16,258.44,0.09,-2.30,296.96,0.29,0.21
Eurodollar Bond Index,470.78,0.26,1.29,470.78,0.26,1.29,470.78,0.26,1.29
Eurosterling Bond Index,573.45,0.35,0.70,509.03,0.16,-1.62,503.99,0.34,0.69
Euroyen Bond Index,186.66,-0.02,0.13,168.35,0.12,-0.99,371.69,-0.01,0.15
CEEMEA Government Bond Index (CEEMEAGBI),185.31,-0.01,0.25,103.11,-0.20,-1.70,136.14,-0.03,0.05
Middle East and North Africa Broad Bond Index (MENABBI),173.58,0.19,0.98,173.58,0.19,0.98,173.58,0.19,0.98
Asian Government Bond Index (AGBI),192.18,-0.08,0.20,166.85,-0.18,-1.33,167.76,-0.10,0.07
Asian Government Extended Bond Index (AGBI-Extended),182.31,-0.08,0.07,191.79,-0.15,-1.57,144.68,-0.09,-0.11
AsiaPac Government Bond Index (APGBI),195.65,-0.08,0.27,165.48,-0.23,-1.36,166.07,-0.09,0.16
Asian Broad Bond Index (ABBI),230.21,0.11,0.44,230.21,0.11,0.44,230.21,0.11,0.44
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),146.64,-0.03,0.06,137.49,-0.05,-1.42,128.07,-0.04,-0.12
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),146.55,-0.03,0.06,137.41,-0.06,-1.43,128.00,-0.05,-0.12
Dim Sum (Offshore CNY) Bond Index,147.12,-0.01,0.14,149.85,-0.06,-1.22,118.68,-0.03,-0.03
Australian Broad Investment-Grade Bond Index (AusBIG),327.72,-0.02,0.51,413.28,-0.44,-1.68,210.00,-0.02,0.52
Emerging Markets Government Bond Index (EMGBI),251.70,0.02,0.04,141.91,-0.03,-1.24,161.62,-0.00,-0.16
Emerging Markets Inflation-Linked Securities Index (EMILSI),431.12,0.36,-0.04,168.32,0.32,2.57,195.74,0.33,-0.41
Emerging Markets US Dollar Government Bond Index EMUSDGBI),945.52,0.00,0.85,945.52,0.00,0.85,945.52,0.00,0.85
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,016.44",0.05,0.68,"1,016.44",0.05,0.68,"1,016.44",0.05,0.68
Debt Capacity World Government Bond Index (DCWGBI),185.83,0.25,0.30,180.98,0.12,-1.25,197.42,0.25,0.31
Time-Weighted US Fallen Angel Bond Index,828.72,0.14,1.76,828.72,0.14,1.76,828.72,0.14,1.76
