,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),249.40,0.20,0.56,248.95,-0.11,-0.73,279.28,0.20,0.56
World Government Bond Index (WGBI),804.82,0.17,0.53,"1,046.80",-0.20,-1.01,956.17,0.17,0.53
World Government Bond Index - Developed Markets (WGBI  DM),800.58,0.17,0.53,"1,047.29",-0.19,-0.98,958.96,0.17,0.54
World Government Bond Index - Extended (WGBI Extended),810.56,0.17,0.50,"1,052.75",-0.18,-1.03,954.58,0.16,0.49
World Inflation-Linked Securities Index (WorldILSI),200.60,0.12,0.16,175.69,-0.46,-1.68,203.20,0.12,0.17
US Broad Investment-Grade Bond Index (USBIG),"1,939.80",0.30,0.78,"1,939.80",0.30,0.78,"1,939.80",0.30,0.78
US Treasury Index,"1,665.74",0.25,0.78,"1,665.74",0.25,0.78,"1,665.74",0.25,0.78
US High-Yield Market Index,"1,213.37",-0.07,0.61,"1,213.37",-0.07,0.61,"1,213.37",-0.07,0.61
US High-Yield Cash Pay Index,"1,187.94",-0.07,0.61,"1,187.94",-0.07,0.61,"1,187.94",-0.07,0.61
US High-Yield Market Capped Index,420.00,-0.07,0.57,420.00,-0.07,0.57,420.00,-0.07,0.57
US High-Yield Cash Pay Capped Index,415.75,-0.07,0.57,415.75,-0.07,0.57,415.75,-0.07,0.57
LATAM Government Bond Index (LATAMGBI),234.62,-0.12,-0.30,111.01,-1.09,-1.94,155.06,-0.12,-0.41
Euro Broad Investment-Grade Bond Index (EuroBIG),250.31,0.04,0.36,252.72,-0.68,-2.68,292.48,0.03,0.39
EMU Government Bond Index (EGBI),255.00,0.01,0.37,257.45,-0.71,-2.67,297.51,0.01,0.40
Eurodollar Bond Index,471.82,0.54,1.52,471.82,0.54,1.52,471.82,0.54,1.52
Eurosterling Bond Index,572.53,0.35,0.54,505.23,-0.70,-2.35,503.17,0.34,0.53
Euroyen Bond Index,186.61,0.01,0.10,168.89,-0.00,-0.67,371.55,0.01,0.11
CEEMEA Government Bond Index (CEEMEAGBI),185.30,0.03,0.25,102.15,-0.86,-2.61,136.23,0.03,0.11
Middle East and North Africa Broad Bond Index (MENABBI),173.50,0.41,0.94,173.50,0.41,0.94,173.50,0.41,0.94
Asian Government Bond Index (AGBI),192.32,0.15,0.27,167.32,-0.03,-1.05,167.95,0.15,0.18
Asian Government Extended Bond Index (AGBI-Extended),182.42,0.10,0.13,192.43,0.02,-1.24,144.86,0.09,0.01
AsiaPac Government Bond Index (APGBI),195.76,0.17,0.33,165.61,-0.14,-1.28,166.23,0.16,0.25
Asian Broad Bond Index (ABBI),230.47,0.23,0.55,230.47,0.23,0.55,230.47,0.23,0.55
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),146.38,0.05,-0.11,137.58,-0.15,-1.36,127.94,0.04,-0.22
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),146.30,0.05,-0.11,137.50,-0.15,-1.36,127.86,0.04,-0.23
Dim Sum (Offshore CNY) Bond Index,147.11,0.04,0.13,149.89,-0.10,-1.19,118.75,0.03,0.02
Australian Broad Investment-Grade Bond Index (AusBIG),327.67,0.15,0.50,408.41,-0.99,-2.84,209.95,0.14,0.49
Emerging Markets Government Bond Index (EMGBI),251.57,0.09,-0.02,141.48,-0.31,-1.54,161.65,0.08,-0.14
Emerging Markets Inflation-Linked Securities Index (EMILSI),433.29,-0.14,0.46,165.48,-0.83,0.83,196.98,-0.15,0.22
Emerging Markets US Dollar Government Bond Index EMUSDGBI),950.16,0.51,1.34,950.16,0.51,1.34,950.16,0.51,1.34
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,019.99",0.40,1.04,"1,019.99",0.40,1.04,"1,019.99",0.40,1.04
Debt Capacity World Government Bond Index (DCWGBI),186.15,0.15,0.47,180.26,-0.42,-1.64,197.74,0.15,0.47
Time-Weighted US Fallen Angel Bond Index,822.68,-0.03,1.02,822.68,-0.03,1.02,822.68,-0.03,1.02
