,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),240.12,0.22,-1.87,235.35,0.28,-1.34,269.35,0.22,-1.87
World Government Bond Index (WGBI),777.85,0.25,-1.80,988.49,0.34,-1.19,925.79,0.25,-1.81
World Government Bond Index - Developed Markets (WGBI  DM),773.47,0.25,-1.84,988.28,0.35,-1.24,928.49,0.25,-1.84
World Government Bond Index - Extended (WGBI Extended),786.51,0.23,-1.69,999.51,0.32,-1.09,926.71,0.23,-1.70
World Inflation-Linked Securities Index (WorldILSI),204.06,0.70,-1.51,176.22,0.81,-0.69,206.70,0.70,-1.53
US Broad Investment-Grade Bond Index (USBIG),"1,865.33",0.27,-1.79,"1,865.33",0.27,-1.79,"1,865.33",0.27,-1.79
US Treasury Index,"1,613.11",0.39,-1.56,"1,613.11",0.39,-1.56,"1,613.11",0.39,-1.56
US High-Yield Market Index,"1,190.83",0.04,-1.52,"1,190.83",0.04,-1.52,"1,190.83",0.04,-1.52
US High-Yield Cash Pay Index,"1,166.55",0.04,-1.52,"1,166.55",0.04,-1.52,"1,166.55",0.04,-1.52
US High-Yield Market Capped Index,412.10,0.04,-1.48,412.10,0.04,-1.48,412.10,0.04,-1.48
US High-Yield Cash Pay Capped Index,408.16,0.04,-1.49,408.16,0.04,-1.49,408.16,0.04,-1.49
LATAM Government Bond Index (LATAMGBI),227.80,0.07,-0.18,107.04,0.31,1.29,146.16,0.06,-0.46
Euro Broad Investment-Grade Bond Index (EuroBIG),240.53,0.28,-2.28,232.86,0.32,-0.90,282.51,0.29,-2.28
EMU Government Bond Index (EGBI),245.20,0.36,-2.39,237.38,0.39,-1.01,287.51,0.36,-2.39
Eurodollar Bond Index,448.58,0.14,-2.20,448.58,0.14,-2.20,448.58,0.14,-2.20
Eurosterling Bond Index,543.51,0.34,-1.83,473.16,0.64,-0.35,478.07,0.33,-1.88
Euroyen Bond Index,185.95,-0.05,-0.33,161.37,0.36,-0.10,371.13,-0.05,-0.32
CEEMEA Government Bond Index (CEEMEAGBI),178.88,0.06,0.82,94.55,-0.20,2.46,128.73,0.05,0.63
Middle East and North Africa Broad Bond Index (MENABBI),168.14,0.09,-1.50,168.14,0.09,-1.50,168.14,0.09,-1.50
Asian Government Bond Index (AGBI),194.99,0.04,-0.33,168.53,0.02,0.25,167.99,0.03,-0.43
Asian Government Extended Bond Index (AGBI-Extended),185.19,0.01,-0.00,193.61,-0.02,0.26,144.79,-0.00,-0.12
AsiaPac Government Bond Index (APGBI),197.13,0.05,-0.55,164.94,0.08,0.21,165.38,0.04,-0.64
Asian Broad Bond Index (ABBI),217.32,0.20,-1.47,217.32,0.20,-1.47,217.32,0.20,-1.47
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.73,0.05,-0.11,145.91,0.02,0.34,131.01,0.04,-0.23
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.66,0.05,-0.11,145.84,0.02,0.33,130.95,0.04,-0.23
Dim Sum (Offshore CNY) Bond Index,149.93,0.02,0.10,155.76,0.02,0.80,118.79,0.01,-0.03
Australian Broad Investment-Grade Bond Index (AusBIG),314.37,0.17,-1.99,376.91,0.58,0.14,201.14,0.17,-2.03
Emerging Markets Government Bond Index (EMGBI),255.08,0.05,0.00,142.64,0.01,0.91,160.62,0.04,-0.14
Emerging Markets Inflation-Linked Securities Index (EMILSI),451.30,0.10,1.48,162.85,0.24,3.42,195.95,0.08,1.09
Emerging Markets US Dollar Government Bond Index EMUSDGBI),890.81,-0.13,-1.70,890.81,-0.13,-1.70,890.81,-0.13,-1.70
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),955.36,-0.20,-1.55,955.36,-0.20,-1.55,955.36,-0.20,-1.55
Debt Capacity World Government Bond Index (DCWGBI),180.19,0.24,-1.63,170.29,0.28,-0.87,191.51,0.25,-1.65
Time-Weighted US Fallen Angel Bond Index,806.45,0.03,-1.96,806.45,0.03,-1.96,806.45,0.03,-1.96
