,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),244.72,0.14,0.01,239.43,0.32,0.37,274.51,0.14,0.01
World Government Bond Index (WGBI),792.01,0.15,-0.01,"1,004.85",0.37,0.44,942.69,0.15,-0.01
World Government Bond Index - Developed Markets (WGBI  DM),787.85,0.15,-0.02,"1,005.16",0.37,0.44,945.77,0.15,-0.02
World Government Bond Index - Extended (WGBI Extended),799.94,0.14,-0.01,"1,014.64",0.34,0.41,942.65,0.14,-0.01
World Inflation-Linked Securities Index (WorldILSI),208.06,0.43,0.42,179.19,0.66,0.99,210.80,0.44,0.42
US Broad Investment-Grade Bond Index (USBIG),"1,901.01",0.20,0.09,"1,901.01",0.20,0.09,"1,901.01",0.20,0.09
US Treasury Index,"1,639.91",0.20,0.07,"1,639.91",0.20,0.07,"1,639.91",0.20,0.07
US High-Yield Market Index,"1,216.53",0.33,0.61,"1,216.53",0.33,0.61,"1,216.53",0.33,0.61
US High-Yield Cash Pay Index,"1,191.75",0.33,0.61,"1,191.75",0.33,0.61,"1,191.75",0.33,0.61
US High-Yield Market Capped Index,420.83,0.32,0.60,420.83,0.32,0.60,420.83,0.32,0.60
US High-Yield Cash Pay Capped Index,416.84,0.33,0.61,416.84,0.33,0.61,416.84,0.33,0.61
LATAM Government Bond Index (LATAMGBI),228.99,0.16,0.34,105.99,-0.04,0.30,147.29,0.15,0.31
Euro Broad Investment-Grade Bond Index (EuroBIG),245.61,-0.01,-0.22,236.27,0.41,0.55,288.48,-0.01,-0.21
EMU Government Bond Index (EGBI),250.57,0.02,-0.26,241.04,0.44,0.51,293.81,0.02,-0.25
Eurodollar Bond Index,459.67,0.24,0.22,459.67,0.24,0.22,459.67,0.24,0.22
Eurosterling Bond Index,556.18,0.45,0.45,482.26,0.88,1.57,489.43,0.45,0.46
Euroyen Bond Index,186.52,0.01,-0.02,162.68,0.35,0.70,372.24,0.01,-0.02
CEEMEA Government Bond Index (CEEMEAGBI),178.09,0.10,0.37,93.50,0.28,1.31,128.37,0.09,0.35
Middle East and North Africa Broad Bond Index (MENABBI),170.97,0.16,0.16,170.97,0.16,0.16,170.97,0.16,0.16
Asian Government Bond Index (AGBI),195.70,0.02,0.03,168.20,0.03,0.06,168.74,0.01,0.02
Asian Government Extended Bond Index (AGBI-Extended),185.09,-0.14,-0.06,192.89,-0.14,-0.11,144.85,-0.14,-0.07
AsiaPac Government Bond Index (APGBI),198.26,0.02,0.02,164.87,0.05,0.17,166.45,0.02,0.01
Asian Broad Bond Index (ABBI),220.71,0.19,0.06,220.71,0.19,0.06,220.71,0.19,0.06
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.93,0.01,0.02,145.45,0.01,0.02,131.32,0.00,0.00
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.86,0.01,0.02,145.38,0.01,0.02,131.26,0.00,0.00
Dim Sum (Offshore CNY) Bond Index,149.81,0.01,0.02,154.98,0.17,0.30,118.82,0.00,0.00
Australian Broad Investment-Grade Bond Index (AusBIG),320.81,0.08,0.02,380.63,0.22,1.13,205.35,0.08,0.02
Emerging Markets Government Bond Index (EMGBI),255.44,0.06,0.14,141.79,0.07,0.31,161.05,0.05,0.12
Emerging Markets Inflation-Linked Securities Index (EMILSI),446.35,-0.08,0.36,158.09,-0.52,0.39,194.44,-0.10,0.32
Emerging Markets US Dollar Government Bond Index EMUSDGBI),908.73,0.29,0.28,908.73,0.29,0.28,908.73,0.29,0.28
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),973.57,0.29,0.33,973.57,0.29,0.33,973.57,0.29,0.33
Debt Capacity World Government Bond Index (DCWGBI),183.12,0.13,-0.03,172.72,0.39,0.54,194.66,0.13,-0.03
Time-Weighted US Fallen Angel Bond Index,826.77,0.35,0.51,826.77,0.35,0.51,826.77,0.35,0.51
