,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),241.79,-0.12,-1.19,237.38,-0.08,-0.49,271.20,-0.12,-1.20
World Government Bond Index (WGBI),782.49,-0.13,-1.22,995.99,-0.06,-0.44,931.24,-0.13,-1.23
World Government Bond Index - Developed Markets (WGBI  DM),778.16,-0.13,-1.25,996.01,-0.07,-0.47,934.02,-0.14,-1.26
World Government Bond Index - Extended (WGBI Extended),790.99,-0.13,-1.13,"1,006.44",-0.07,-0.40,931.97,-0.13,-1.14
World Inflation-Linked Securities Index (WorldILSI),203.44,-0.15,-1.82,175.50,-0.08,-1.09,206.07,-0.15,-1.84
US Broad Investment-Grade Bond Index (USBIG),"1,882.91",0.07,-0.86,"1,882.91",0.07,-0.86,"1,882.91",0.07,-0.86
US Treasury Index,"1,624.43",0.13,-0.87,"1,624.43",0.13,-0.87,"1,624.43",0.13,-0.87
US High-Yield Market Index,"1,203.47",-0.10,-0.48,"1,203.47",-0.10,-0.48,"1,203.47",-0.10,-0.48
US High-Yield Cash Pay Index,"1,178.95",-0.10,-0.47,"1,178.95",-0.10,-0.47,"1,178.95",-0.10,-0.47
US High-Yield Market Capped Index,416.40,-0.09,-0.45,416.40,-0.09,-0.45,416.40,-0.09,-0.45
US High-Yield Cash Pay Capped Index,412.45,-0.09,-0.45,412.45,-0.09,-0.45,412.45,-0.09,-0.45
LATAM Government Bond Index (LATAMGBI),229.30,-0.02,0.48,105.85,0.55,0.17,147.36,-0.07,0.36
Euro Broad Investment-Grade Bond Index (EuroBIG),241.08,-0.41,-2.06,234.97,-0.39,0.00,283.07,-0.42,-2.09
EMU Government Bond Index (EGBI),245.72,-0.40,-2.19,239.49,-0.38,-0.13,288.02,-0.41,-2.22
Eurodollar Bond Index,453.99,-0.03,-1.02,453.99,-0.03,-1.02,453.99,-0.03,-1.02
Eurosterling Bond Index,542.99,-0.23,-1.93,469.63,-0.23,-1.09,477.70,-0.23,-1.95
Euroyen Bond Index,186.27,-0.06,-0.16,161.52,0.13,-0.01,371.74,-0.05,-0.15
CEEMEA Government Bond Index (CEEMEAGBI),178.39,-0.03,0.54,94.11,0.37,1.98,128.52,-0.07,0.47
Middle East and North Africa Broad Bond Index (MENABBI),169.77,-0.31,-0.54,169.77,-0.31,-0.54,169.77,-0.31,-0.54
Asian Government Bond Index (AGBI),195.45,-0.10,-0.10,168.24,-0.12,0.08,168.48,-0.11,-0.14
Asian Government Extended Bond Index (AGBI-Extended),184.74,-0.06,-0.25,192.81,-0.08,-0.15,144.53,-0.08,-0.29
AsiaPac Government Bond Index (APGBI),197.89,-0.13,-0.17,164.76,-0.06,0.10,166.10,-0.14,-0.20
Asian Broad Bond Index (ABBI),219.10,-0.22,-0.67,219.10,-0.22,-0.67,219.10,-0.22,-0.67
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),153.10,0.10,0.13,145.79,0.22,0.25,131.42,0.08,0.08
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),153.04,0.10,0.13,145.73,0.22,0.25,131.37,0.08,0.08
Dim Sum (Offshore CNY) Bond Index,149.85,0.04,0.04,154.93,0.07,0.26,118.81,0.02,-0.01
Australian Broad Investment-Grade Bond Index (AusBIG),318.62,-0.35,-0.66,377.72,0.48,0.35,203.94,-0.36,-0.66
Emerging Markets Government Bond Index (EMGBI),255.57,0.00,0.19,142.02,0.15,0.48,161.07,-0.02,0.13
Emerging Markets Inflation-Linked Securities Index (EMILSI),450.91,0.33,1.39,159.44,1.00,1.25,196.20,0.27,1.22
Emerging Markets US Dollar Government Bond Index EMUSDGBI),900.05,-0.55,-0.68,900.05,-0.55,-0.68,900.05,-0.55,-0.68
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),965.53,-0.53,-0.50,965.53,-0.53,-0.50,965.53,-0.53,-0.50
Debt Capacity World Government Bond Index (DCWGBI),181.05,-0.17,-1.16,171.51,-0.03,-0.16,192.42,-0.17,-1.18
Time-Weighted US Fallen Angel Bond Index,816.77,-0.15,-0.70,816.77,-0.15,-0.70,816.77,-0.15,-0.70
