,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),239.35,-0.20,-2.19,234.28,-0.07,-1.79,268.48,-0.20,-2.19
World Government Bond Index (WGBI),775.00,-0.23,-2.16,982.90,-0.09,-1.75,922.39,-0.23,-2.17
World Government Bond Index - Developed Markets (WGBI  DM),770.61,-0.23,-2.20,982.62,-0.11,-1.81,925.04,-0.24,-2.21
World Government Bond Index - Extended (WGBI Extended),783.80,-0.21,-2.03,994.07,-0.09,-1.63,923.52,-0.21,-2.04
World Inflation-Linked Securities Index (WorldILSI),202.06,-0.32,-2.48,173.97,-0.17,-1.96,204.67,-0.32,-2.50
US Broad Investment-Grade Bond Index (USBIG),"1,860.10",-0.21,-2.06,"1,860.10",-0.21,-2.06,"1,860.10",-0.21,-2.06
US Treasury Index,"1,606.07",-0.26,-1.99,"1,606.07",-0.26,-1.99,"1,606.07",-0.26,-1.99
US High-Yield Market Index,"1,189.89",0.14,-1.60,"1,189.89",0.14,-1.60,"1,189.89",0.14,-1.60
US High-Yield Cash Pay Index,"1,165.59",0.14,-1.60,"1,165.59",0.14,-1.60,"1,165.59",0.14,-1.60
US High-Yield Market Capped Index,411.79,0.14,-1.56,411.79,0.14,-1.56,411.79,0.14,-1.56
US High-Yield Cash Pay Capped Index,407.85,0.14,-1.56,407.85,0.14,-1.56,407.85,0.14,-1.56
LATAM Government Bond Index (LATAMGBI),227.11,0.01,-0.48,106.23,0.15,0.52,145.76,-0.01,-0.73
Euro Broad Investment-Grade Bond Index (EuroBIG),239.08,-0.28,-2.87,231.21,0.14,-1.60,280.79,-0.29,-2.87
EMU Government Bond Index (EGBI),243.47,-0.35,-3.08,235.46,0.07,-1.81,285.46,-0.37,-3.09
Eurodollar Bond Index,447.82,-0.30,-2.37,447.82,-0.30,-2.37,447.82,-0.30,-2.37
Eurosterling Bond Index,539.07,0.01,-2.64,465.90,0.09,-1.87,474.20,0.01,-2.67
Euroyen Bond Index,186.25,0.08,-0.17,160.55,-0.06,-0.61,371.72,0.08,-0.16
CEEMEA Government Bond Index (CEEMEAGBI),178.33,0.37,0.51,94.22,1.30,2.09,128.34,0.35,0.33
Middle East and North Africa Broad Bond Index (MENABBI),167.81,-0.14,-1.69,167.81,-0.14,-1.69,167.81,-0.14,-1.69
Asian Government Bond Index (AGBI),194.81,0.02,-0.43,168.09,0.02,-0.01,167.85,0.02,-0.51
Asian Government Extended Bond Index (AGBI-Extended),185.10,0.08,-0.06,193.12,0.16,0.01,144.73,0.08,-0.15
AsiaPac Government Bond Index (APGBI),197.01,-0.01,-0.61,164.43,0.02,-0.10,165.29,-0.02,-0.69
Asian Broad Bond Index (ABBI),216.89,-0.39,-1.67,216.89,-0.39,-1.67,216.89,-0.39,-1.67
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.60,0.03,-0.20,145.54,0.21,0.08,130.92,0.03,-0.30
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.53,0.03,-0.20,145.47,0.21,0.07,130.86,0.03,-0.30
Dim Sum (Offshore CNY) Bond Index,149.89,-0.02,0.07,155.60,0.28,0.70,118.77,-0.03,-0.04
Australian Broad Investment-Grade Bond Index (AusBIG),314.27,-0.49,-2.02,373.71,-0.18,-0.71,201.11,-0.50,-2.04
Emerging Markets Government Bond Index (EMGBI),254.67,0.09,-0.16,142.17,0.37,0.58,160.38,0.08,-0.29
Emerging Markets Inflation-Linked Securities Index (EMILSI),450.20,0.13,1.23,161.88,0.63,2.80,195.55,0.11,0.88
Emerging Markets US Dollar Government Bond Index EMUSDGBI),889.20,-0.03,-1.88,889.20,-0.03,-1.88,889.20,-0.03,-1.88
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),953.78,-0.01,-1.71,953.78,-0.01,-1.71,953.78,-0.01,-1.71
Debt Capacity World Government Bond Index (DCWGBI),179.48,-0.21,-2.01,169.32,0.03,-1.44,190.76,-0.22,-2.03
Time-Weighted US Fallen Angel Bond Index,805.50,0.02,-2.07,805.50,0.02,-2.07,805.50,0.02,-2.07
