,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),239.71,-0.04,-2.04,233.89,0.40,-1.96,268.92,-0.05,-2.03
World Government Bond Index (WGBI),778.22,-0.22,-1.76,983.69,0.29,-1.67,926.37,-0.23,-1.74
World Government Bond Index - Developed Markets (WGBI  DM),773.89,-0.22,-1.79,983.58,0.28,-1.71,929.15,-0.23,-1.77
World Government Bond Index - Extended (WGBI Extended),786.84,-0.21,-1.65,995.13,0.27,-1.52,927.19,-0.22,-1.65
World Inflation-Linked Securities Index (WorldILSI),205.14,-0.67,-0.99,175.81,0.02,-0.92,207.82,-0.68,-1.00
US Broad Investment-Grade Bond Index (USBIG),"1,860.48",0.13,-2.04,"1,860.48",0.13,-2.04,"1,860.48",0.13,-2.04
US Treasury Index,"1,611.75",-0.09,-1.64,"1,611.75",-0.09,-1.64,"1,611.75",-0.09,-1.64
US High-Yield Market Index,"1,194.29",0.86,-1.23,"1,194.29",0.86,-1.23,"1,194.29",0.86,-1.23
US High-Yield Cash Pay Index,"1,169.98",0.86,-1.23,"1,169.98",0.86,-1.23,"1,169.98",0.86,-1.23
US High-Yield Market Capped Index,413.21,0.85,-1.22,413.21,0.85,-1.22,413.21,0.85,-1.22
US High-Yield Cash Pay Capped Index,409.28,0.85,-1.22,409.28,0.85,-1.22,409.28,0.85,-1.22
LATAM Government Bond Index (LATAMGBI),227.19,-0.11,-0.45,106.60,0.57,0.87,145.58,-0.14,-0.85
Euro Broad Investment-Grade Bond Index (EuroBIG),239.98,-0.23,-2.50,229.81,0.95,-2.19,281.99,-0.26,-2.46
EMU Government Bond Index (EGBI),245.37,-0.31,-2.33,234.97,0.87,-2.02,287.83,-0.33,-2.28
Eurodollar Bond Index,446.00,0.36,-2.76,446.00,0.36,-2.76,446.00,0.36,-2.76
Eurosterling Bond Index,540.69,0.18,-2.34,463.71,1.25,-2.34,475.70,0.16,-2.36
Euroyen Bond Index,186.29,-0.06,-0.15,160.81,-0.05,-0.46,371.84,-0.06,-0.13
CEEMEA Government Bond Index (CEEMEAGBI),171.89,0.98,-3.12,88.34,3.50,-4.27,123.83,0.70,-3.20
Middle East and North Africa Broad Bond Index (MENABBI),167.48,0.53,-1.89,167.48,0.53,-1.89,167.48,0.53,-1.89
Asian Government Bond Index (AGBI),194.94,-0.07,-0.36,168.53,0.06,0.26,167.88,-0.08,-0.49
Asian Government Extended Bond Index (AGBI-Extended),185.13,-0.07,-0.04,193.44,0.14,0.18,144.67,-0.07,-0.20
AsiaPac Government Bond Index (APGBI),197.10,-0.12,-0.57,165.03,0.19,0.26,165.28,-0.13,-0.69
Asian Broad Bond Index (ABBI),215.61,-0.27,-2.25,215.61,-0.27,-2.25,215.61,-0.27,-2.25
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.51,0.05,-0.26,146.23,0.19,0.56,130.75,0.05,-0.43
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.44,0.05,-0.26,146.16,0.19,0.55,130.69,0.05,-0.43
Dim Sum (Offshore CNY) Bond Index,149.84,-0.02,0.04,156.15,0.20,1.05,118.64,-0.03,-0.15
Australian Broad Investment-Grade Bond Index (AusBIG),314.42,-0.29,-1.97,378.44,1.49,0.55,201.16,-0.33,-2.02
Emerging Markets Government Bond Index (EMGBI),252.89,0.21,-0.86,140.89,0.76,-0.32,159.20,0.15,-1.03
Emerging Markets Inflation-Linked Securities Index (EMILSI),451.27,0.03,1.47,162.29,0.52,3.07,195.52,0.01,0.87
Emerging Markets US Dollar Government Bond Index EMUSDGBI),863.42,1.88,-4.72,863.42,1.88,-4.72,863.42,1.88,-4.72
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),918.95,1.80,-5.30,918.95,1.80,-5.30,918.95,1.80,-5.30
Debt Capacity World Government Bond Index (DCWGBI),180.11,-0.21,-1.67,169.14,0.60,-1.54,191.45,-0.23,-1.68
Time-Weighted US Fallen Angel Bond Index,807.01,0.76,-1.89,807.01,0.76,-1.89,807.01,0.76,-1.89
