,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),254.33,0.04,0.04,258.31,0.11,0.11,284.48,0.04,0.04
World Government Bond Index (WGBI),825.83,0.05,0.05,"1,100.00",0.13,0.13,979.94,0.05,0.05
World Government Bond Index - Developed Markets (WGBI  DM),821.45,0.04,0.04,"1,100.22",0.12,0.12,982.61,0.05,0.05
World Government Bond Index - Extended (WGBI Extended),829.29,0.04,0.04,"1,101.60",0.20,0.20,976.35,0.04,0.04
World Inflation-Linked Securities Index (WorldILSI),200.80,0.03,0.03,176.83,-0.10,-0.10,203.38,0.03,0.03
US Broad Investment-Grade Bond Index (USBIG),"1,971.49",-0.04,-0.04,"1,971.49",-0.04,-0.04,"1,971.49",-0.04,-0.04
US Treasury Index,"1,708.34",-0.01,-0.01,"1,708.34",-0.01,-0.01,"1,708.34",-0.01,-0.01
US High-Yield Market Index,"1,178.44",-0.04,-0.04,"1,178.44",-0.04,-0.04,"1,178.44",-0.04,-0.04
US High-Yield Cash Pay Index,"1,154.91",-0.04,-0.04,"1,154.91",-0.04,-0.04,"1,154.91",-0.04,-0.04
US High-Yield Market Capped Index,408.07,-0.04,-0.04,408.07,-0.04,-0.04,408.07,-0.04,-0.04
US High-Yield Cash Pay Capped Index,404.37,-0.04,-0.04,404.37,-0.04,-0.04,404.37,-0.04,-0.04
LATAM Government Bond Index (LATAMGBI),247.93,0.16,0.16,122.13,0.33,0.33,165.34,0.14,0.14
Euro Broad Investment-Grade Bond Index (EuroBIG),256.61,0.16,0.16,268.17,0.46,0.46,298.86,0.17,0.17
EMU Government Bond Index (EGBI),263.52,0.14,0.14,275.39,0.44,0.44,306.47,0.15,0.15
Eurodollar Bond Index,476.85,-0.04,-0.04,476.85,-0.04,-0.04,476.85,-0.04,-0.04
Eurosterling Bond Index,590.02,0.16,0.16,512.12,-0.49,-0.49,518.52,0.17,0.17
Euroyen Bond Index,186.06,0.02,0.02,180.01,0.14,0.14,369.84,0.03,0.03
CEEMEA Government Bond Index (CEEMEAGBI),187.26,0.16,0.16,104.77,0.46,0.46,139.14,0.14,0.14
Middle East and North Africa Broad Bond Index (MENABBI),173.75,-0.09,-0.09,173.75,-0.09,-0.09,173.75,-0.09,-0.09
Asian Government Bond Index (AGBI),191.82,0.00,0.00,169.24,0.88,0.88,168.94,-0.02,-0.02
Asian Government Extended Bond Index (AGBI-Extended),182.07,0.06,0.06,194.54,0.72,0.72,146.20,0.04,0.04
AsiaPac Government Bond Index (APGBI),196.20,-0.01,-0.01,168.55,0.64,0.64,167.81,-0.03,-0.03
Asian Broad Bond Index (ABBI),230.96,0.02,0.02,230.96,0.02,0.02,230.96,0.02,0.02
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),143.68,0.00,0.00,134.59,1.20,1.20,127.15,-0.02,-0.02
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),143.60,0.00,0.00,134.51,1.20,1.20,127.08,-0.02,-0.02
Dim Sum (Offshore CNY) Bond Index,144.39,0.11,0.11,147.27,0.80,0.80,117.89,0.08,0.08
Australian Broad Investment-Grade Bond Index (AusBIG),334.47,-0.04,-0.04,427.97,-0.48,-0.48,214.19,-0.03,-0.03
Emerging Markets Government Bond Index (EMGBI),251.59,0.06,0.06,143.05,0.87,0.87,163.54,0.03,0.03
Emerging Markets Inflation-Linked Securities Index (EMILSI),433.68,0.36,0.36,167.47,0.40,0.40,200.35,0.33,0.33
Emerging Markets US Dollar Government Bond Index EMUSDGBI),961.89,0.07,0.07,961.89,0.07,0.07,961.89,0.07,0.07
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,024.30",0.19,0.19,"1,024.30",0.19,0.19,"1,024.30",0.19,0.19
Debt Capacity World Government Bond Index (DCWGBI),191.49,0.08,0.08,190.26,0.20,0.20,203.25,0.08,0.08
Time-Weighted US Fallen Angel Bond Index,792.04,-0.01,-0.01,792.04,-0.01,-0.01,792.04,-0.01,-0.01
