,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),253.90,0.05,0.07,257.04,-0.10,0.86,283.94,0.05,0.10
World Government Bond Index (WGBI),824.92,0.07,0.02,"1,094.19",-0.12,0.96,978.63,0.08,0.05
World Government Bond Index - Developed Markets (WGBI  DM),820.55,0.07,-0.01,"1,094.48",-0.11,0.94,981.28,0.08,0.03
World Government Bond Index - Extended (WGBI Extended),828.25,0.08,0.02,"1,094.62",-0.11,0.92,974.98,0.09,0.05
World Inflation-Linked Securities Index (WorldILSI),200.49,0.17,0.69,175.24,-0.27,1.10,203.03,0.17,0.71
US Broad Investment-Grade Bond Index (USBIG),"1,966.34",0.05,-0.13,"1,966.34",0.05,-0.13,"1,966.34",0.05,-0.13
US Treasury Index,"1,704.43",0.07,-0.48,"1,704.43",0.07,-0.48,"1,704.43",0.07,-0.48
US High-Yield Market Index,"1,168.32",-0.30,1.04,"1,168.32",-0.30,1.04,"1,168.32",-0.30,1.04
US High-Yield Cash Pay Index,"1,145.14",-0.30,1.04,"1,145.14",-0.30,1.04,"1,145.14",-0.30,1.04
US High-Yield Market Capped Index,404.63,-0.28,1.02,404.63,-0.28,1.02,404.63,-0.28,1.02
US High-Yield Cash Pay Capped Index,401.01,-0.28,1.03,401.01,-0.28,1.03,401.01,-0.28,1.03
LATAM Government Bond Index (LATAMGBI),246.90,0.27,1.95,120.62,-0.55,4.03,164.75,0.24,1.87
Euro Broad Investment-Grade Bond Index (EuroBIG),256.25,0.02,0.16,266.49,-0.16,2.26,298.30,0.03,0.24
EMU Government Bond Index (EGBI),263.19,0.04,0.16,273.72,-0.14,2.26,305.96,0.05,0.24
Eurodollar Bond Index,474.85,0.06,-0.01,474.85,0.06,-0.01,474.85,0.06,-0.01
Eurosterling Bond Index,587.62,0.26,1.32,500.28,-0.96,1.09,516.12,0.25,1.36
Euroyen Bond Index,186.17,0.02,0.20,179.46,-0.08,0.95,369.95,0.03,0.25
CEEMEA Government Bond Index (CEEMEAGBI),186.51,-0.16,0.34,103.71,-1.06,2.93,138.69,-0.19,0.23
Middle East and North Africa Broad Bond Index (MENABBI),173.79,0.03,0.86,173.79,0.03,0.86,173.79,0.03,0.86
Asian Government Bond Index (AGBI),191.25,0.13,0.28,166.40,-0.07,0.70,168.56,0.11,0.17
Asian Government Extended Bond Index (AGBI-Extended),181.51,0.11,0.25,191.48,-0.11,0.68,145.86,0.09,0.13
AsiaPac Government Bond Index (APGBI),195.76,0.13,0.17,165.75,-0.15,0.93,167.52,0.12,0.08
Asian Broad Bond Index (ABBI),230.37,0.10,0.49,230.37,0.10,0.49,230.37,0.10,0.49
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),143.18,0.17,0.31,132.35,0.05,0.82,126.83,0.15,0.16
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),143.10,0.17,0.31,132.27,0.05,0.81,126.76,0.15,0.16
Dim Sum (Offshore CNY) Bond Index,144.24,0.05,0.33,145.20,-0.24,0.99,117.88,0.03,0.18
Australian Broad Investment-Grade Bond Index (AusBIG),334.64,0.20,-0.25,421.28,-0.49,2.32,214.29,0.21,-0.23
Emerging Markets Government Bond Index (EMGBI),250.48,0.05,0.68,140.89,-0.34,1.72,162.96,0.03,0.54
Emerging Markets Inflation-Linked Securities Index (EMILSI),429.74,0.15,2.92,165.31,-0.75,6.46,198.73,0.11,2.86
Emerging Markets US Dollar Government Bond Index EMUSDGBI),957.47,0.09,1.49,957.47,0.09,1.49,957.47,0.09,1.49
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,018.37",0.05,1.60,"1,018.37",0.05,1.60,"1,018.37",0.05,1.60
Debt Capacity World Government Bond Index (DCWGBI),191.26,0.10,0.13,188.92,-0.18,1.34,202.96,0.11,0.16
Time-Weighted US Fallen Angel Bond Index,783.65,-0.48,1.96,783.65,-0.48,1.96,783.65,-0.48,1.96
