,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),254.24,0.06,0.20,258.01,-0.08,1.24,284.37,0.06,0.25
World Government Bond Index (WGBI),825.45,0.06,0.08,"1,098.56",-0.09,1.36,979.45,0.06,0.14
World Government Bond Index - Developed Markets (WGBI  DM),821.09,0.06,0.06,"1,098.86",-0.09,1.34,982.13,0.06,0.12
World Government Bond Index - Extended (WGBI Extended),828.95,0.04,0.11,"1,099.38",-0.10,1.36,975.93,0.05,0.14
World Inflation-Linked Securities Index (WorldILSI),200.74,0.33,0.82,177.01,0.36,2.12,203.32,0.33,0.85
US Broad Investment-Grade Bond Index (USBIG),"1,972.20",0.09,0.17,"1,972.20",0.09,0.17,"1,972.20",0.09,0.17
US Treasury Index,"1,708.52",0.09,-0.24,"1,708.52",0.09,-0.24,"1,708.52",0.09,-0.24
US High-Yield Market Index,"1,178.95",0.07,1.96,"1,178.95",0.07,1.96,"1,178.95",0.07,1.96
US High-Yield Cash Pay Index,"1,155.42",0.06,1.95,"1,155.42",0.06,1.95,"1,155.42",0.06,1.95
US High-Yield Market Capped Index,408.25,0.07,1.92,408.25,0.07,1.92,408.25,0.07,1.92
US High-Yield Cash Pay Capped Index,404.55,0.06,1.92,404.55,0.06,1.92,404.55,0.06,1.92
LATAM Government Bond Index (LATAMGBI),247.53,-0.01,2.21,121.73,-0.16,4.99,165.11,-0.02,2.09
Euro Broad Investment-Grade Bond Index (EuroBIG),256.19,0.00,0.14,266.93,-0.52,2.43,298.34,0.01,0.25
EMU Government Bond Index (EGBI),263.15,0.00,0.14,274.19,-0.52,2.43,306.01,0.01,0.26
Eurodollar Bond Index,477.06,0.12,0.46,477.06,0.12,0.46,477.06,0.12,0.46
Eurosterling Bond Index,589.05,0.20,1.57,514.67,0.65,4.00,517.66,0.22,1.66
Euroyen Bond Index,186.02,0.00,0.12,179.76,0.00,1.12,369.75,0.00,0.20
CEEMEA Government Bond Index (CEEMEAGBI),186.96,0.03,0.58,104.29,-0.03,3.50,138.95,0.02,0.41
Middle East and North Africa Broad Bond Index (MENABBI),173.91,0.05,0.93,173.91,0.05,0.93,173.91,0.05,0.93
Asian Government Bond Index (AGBI),191.81,-0.07,0.57,167.77,-0.13,1.53,168.97,-0.07,0.41
Asian Government Extended Bond Index (AGBI-Extended),181.96,-0.03,0.50,193.15,0.00,1.56,146.14,-0.03,0.31
AsiaPac Government Bond Index (APGBI),196.23,-0.05,0.41,167.48,-0.03,1.98,167.85,-0.05,0.28
Asian Broad Bond Index (ABBI),230.92,0.08,0.73,230.92,0.08,0.73,230.92,0.08,0.73
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),143.67,-0.11,0.66,133.00,-0.25,1.31,127.18,-0.12,0.43
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),143.59,-0.12,0.66,132.92,-0.25,1.31,127.11,-0.13,0.43
Dim Sum (Offshore CNY) Bond Index,144.23,-0.02,0.33,146.10,0.09,1.61,117.79,-0.03,0.11
Australian Broad Investment-Grade Bond Index (AusBIG),334.59,0.09,-0.26,430.03,0.50,4.45,214.27,0.09,-0.24
Emerging Markets Government Bond Index (EMGBI),251.44,-0.06,1.07,141.81,-0.14,2.39,163.48,-0.07,0.87
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.12,0.04,3.49,166.80,-0.28,7.42,199.69,0.03,3.36
Emerging Markets US Dollar Government Bond Index EMUSDGBI),961.21,0.11,1.89,961.21,0.11,1.89,961.21,0.11,1.89
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,022.41",0.13,2.01,"1,022.41",0.13,2.01,"1,022.41",0.13,2.01
Debt Capacity World Government Bond Index (DCWGBI),191.33,0.05,0.16,189.87,-0.11,1.85,203.08,0.05,0.21
Time-Weighted US Fallen Angel Bond Index,792.12,0.08,3.06,792.12,0.08,3.06,792.12,0.08,3.06
