,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.35,-0.30,-0.89,252.94,-0.37,-0.97,280.14,-0.30,-0.88
World Government Bond Index (WGBI),809.88,-0.31,-1.12,"1,071.09",-0.42,-1.24,961.42,-0.31,-1.10
World Government Bond Index - Developed Markets (WGBI  DM),805.42,-0.31,-1.12,"1,071.11",-0.41,-1.25,963.88,-0.31,-1.11
World Government Bond Index - Extended (WGBI Extended),814.57,-0.28,-1.03,"1,074.90",-0.37,-1.08,959.19,-0.28,-1.03
World Inflation-Linked Securities Index (WorldILSI),196.57,-0.41,-1.51,173.86,-0.44,-1.08,199.08,-0.41,-1.53
US Broad Investment-Grade Bond Index (USBIG),"1,940.25",-0.43,-0.86,"1,940.25",-0.43,-0.86,"1,940.25",-0.43,-0.86
US Treasury Index,"1,670.67",-0.54,-1.18,"1,670.67",-0.54,-1.18,"1,670.67",-0.54,-1.18
US High-Yield Market Index,"1,195.02",-0.00,0.99,"1,195.02",-0.00,0.99,"1,195.02",-0.00,0.99
US High-Yield Cash Pay Index,"1,170.25",0.00,0.99,"1,170.25",0.00,0.99,"1,170.25",0.00,0.99
US High-Yield Market Capped Index,413.49,-0.01,0.93,413.49,-0.01,0.93,413.49,-0.01,0.93
US High-Yield Cash Pay Capped Index,409.41,-0.01,0.93,409.41,-0.01,0.93,409.41,-0.01,0.93
LATAM Government Bond Index (LATAMGBI),246.36,-0.24,-0.17,118.85,-0.80,0.62,163.96,-0.24,-0.26
Euro Broad Investment-Grade Bond Index (EuroBIG),252.98,-0.18,-0.83,261.08,-0.28,-1.07,294.94,-0.17,-0.79
EMU Government Bond Index (EGBI),258.95,-0.21,-1.01,267.24,-0.31,-1.26,301.48,-0.20,-0.98
Eurodollar Bond Index,468.23,-0.45,-0.83,468.23,-0.45,-0.83,468.23,-0.45,-0.83
Eurosterling Bond Index,573.84,-0.28,-1.65,510.86,-0.16,-0.25,504.30,-0.28,-1.67
Euroyen Bond Index,185.89,-0.00,0.01,175.43,-0.33,-0.95,369.68,-0.00,0.03
CEEMEA Government Bond Index (CEEMEAGBI),186.47,-0.25,-0.45,104.55,-0.72,0.96,138.18,-0.26,-0.55
Middle East and North Africa Broad Bond Index (MENABBI),172.18,-0.44,-0.49,172.18,-0.44,-0.49,172.18,-0.44,-0.49
Asian Government Bond Index (AGBI),191.21,0.01,-0.22,168.40,0.02,0.41,168.03,0.00,-0.33
Asian Government Extended Bond Index (AGBI-Extended),181.23,-0.02,-0.38,193.57,-0.02,0.15,145.12,-0.02,-0.51
AsiaPac Government Bond Index (APGBI),195.12,0.01,-0.37,167.69,-0.00,0.36,166.57,0.00,-0.46
Asian Broad Bond Index (ABBI),230.28,-0.29,-0.18,230.28,-0.29,-0.18,230.28,-0.29,-0.18
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),143.99,0.01,-0.01,135.40,0.01,0.35,126.99,-0.00,-0.17
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),143.91,0.01,-0.01,135.32,0.01,0.34,126.92,-0.00,-0.17
Dim Sum (Offshore CNY) Bond Index,145.23,-0.02,-0.11,148.79,-0.31,0.18,118.23,-0.03,-0.23
Australian Broad Investment-Grade Bond Index (AusBIG),330.38,0.02,-0.78,427.78,-0.09,0.53,211.64,0.02,-0.78
Emerging Markets Government Bond Index (EMGBI),251.21,-0.10,-0.10,142.80,-0.28,0.50,162.79,-0.11,-0.24
Emerging Markets Inflation-Linked Securities Index (EMILSI),439.07,-0.12,0.59,166.94,-0.52,2.26,202.22,-0.13,0.45
Emerging Markets US Dollar Government Bond Index EMUSDGBI),943.90,-0.52,-0.45,943.90,-0.52,-0.45,943.90,-0.52,-0.45
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,008.47",-0.45,-0.29,"1,008.47",-0.45,-0.29,"1,008.47",-0.45,-0.29
Debt Capacity World Government Bond Index (DCWGBI),187.75,-0.29,-1.20,185.36,-0.43,-1.15,199.34,-0.29,-1.19
Time-Weighted US Fallen Angel Bond Index,807.99,0.03,1.63,807.99,0.03,1.63,807.99,0.03,1.63
