,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.34,-0.16,-0.33,246.33,-0.29,-1.73,276.85,-0.16,-0.31
World Government Bond Index (WGBI),801.03,-0.20,-0.01,"1,039.56",-0.36,-1.77,951.19,-0.20,0.01
World Government Bond Index - Developed Markets (WGBI  DM),796.82,-0.21,0.01,"1,040.21",-0.36,-1.74,953.89,-0.20,0.03
World Government Bond Index - Extended (WGBI Extended),806.63,-0.18,0.03,"1,044.25",-0.34,-1.69,949.88,-0.17,0.04
World Inflation-Linked Securities Index (WorldILSI),196.43,-0.57,1.51,171.57,-0.71,0.28,198.89,-0.57,1.49
US Broad Investment-Grade Bond Index (USBIG),"1,903.26",-0.18,-1.15,"1,903.26",-0.18,-1.15,"1,903.26",-0.18,-1.15
US Treasury Index,"1,636.62",-0.30,-1.06,"1,636.62",-0.30,-1.06,"1,636.62",-0.30,-1.06
US High-Yield Market Index,"1,187.27",0.07,0.06,"1,187.27",0.07,0.06,"1,187.27",0.07,0.06
US High-Yield Cash Pay Index,"1,162.81",0.07,0.07,"1,162.81",0.07,0.07,"1,162.81",0.07,0.07
US High-Yield Market Capped Index,411.17,0.07,0.11,411.17,0.07,0.11,411.17,0.07,0.11
US High-Yield Cash Pay Capped Index,407.17,0.07,0.12,407.17,0.07,0.12,407.17,0.07,0.12
LATAM Government Bond Index (LATAMGBI),234.47,0.05,-2.88,108.59,-0.80,-4.12,155.85,0.07,-2.99
Euro Broad Investment-Grade Bond Index (EuroBIG),251.62,-0.22,0.24,252.06,-0.50,-2.86,293.62,-0.21,0.30
EMU Government Bond Index (EGBI),257.26,-0.27,0.31,257.71,-0.56,-2.79,299.77,-0.26,0.37
Eurodollar Bond Index,456.73,-0.16,-1.66,456.73,-0.16,-1.66,456.73,-0.16,-1.66
Eurosterling Bond Index,566.46,-0.25,0.30,498.59,-0.40,-1.21,497.75,-0.24,0.31
Euroyen Bond Index,185.95,0.05,0.26,169.01,-0.15,-2.69,369.97,0.05,0.28
CEEMEA Government Bond Index (CEEMEAGBI),182.66,0.01,-1.09,97.82,-0.32,-3.76,135.08,-0.00,-1.23
Middle East and North Africa Broad Bond Index (MENABBI),168.41,-0.05,-0.86,168.41,-0.05,-0.86,168.41,-0.05,-0.86
Asian Government Bond Index (AGBI),190.42,0.07,0.17,163.87,-0.20,-1.27,166.96,0.05,0.01
Asian Government Extended Bond Index (AGBI-Extended),180.51,0.06,0.18,189.54,-0.12,-0.66,144.13,0.04,-0.03
AsiaPac Government Bond Index (APGBI),193.84,0.05,0.39,162.86,-0.18,-1.09,165.15,0.03,0.25
Asian Broad Bond Index (ABBI),227.64,-0.15,-0.40,227.64,-0.15,-0.40,227.64,-0.15,-0.40
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),144.87,0.03,0.54,133.63,-0.31,-1.04,127.32,0.01,0.30
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.79,0.03,0.54,133.56,-0.31,-1.04,127.25,0.01,0.30
Dim Sum (Offshore CNY) Bond Index,145.79,0.11,0.31,145.81,-0.46,-1.21,118.35,0.09,0.12
Australian Broad Investment-Grade Bond Index (AusBIG),324.69,-0.06,1.18,412.60,-0.02,-0.29,207.96,-0.06,1.18
Emerging Markets Government Bond Index (EMGBI),248.44,0.04,-0.36,137.22,-0.33,-2.18,160.54,0.03,-0.55
Emerging Markets Inflation-Linked Securities Index (EMILSI),424.96,-0.24,-1.55,151.76,-1.33,-4.20,195.19,-0.24,-1.74
Emerging Markets US Dollar Government Bond Index EMUSDGBI),907.87,-0.06,-1.36,907.87,-0.06,-1.36,907.87,-0.06,-1.36
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),976.67,-0.04,-0.86,976.67,-0.04,-0.86,976.67,-0.04,-0.86
Debt Capacity World Government Bond Index (DCWGBI),185.62,-0.18,-0.02,179.17,-0.37,-1.95,197.12,-0.17,-0.01
Time-Weighted US Fallen Angel Bond Index,796.23,0.05,-0.71,796.23,0.05,-0.71,796.23,0.05,-0.71
