,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),247.75,-0.16,-0.17,247.03,-0.10,-1.44,277.29,-0.16,-0.16
World Government Bond Index (WGBI),802.64,-0.18,0.19,"1,043.28",-0.12,-1.42,953.06,-0.17,0.20
World Government Bond Index - Developed Markets (WGBI  DM),798.47,-0.18,0.22,"1,043.94",-0.13,-1.39,955.82,-0.17,0.23
World Government Bond Index - Extended (WGBI Extended),808.05,-0.17,0.21,"1,047.86",-0.12,-1.35,951.52,-0.17,0.21
World Inflation-Linked Securities Index (WorldILSI),197.56,-0.14,2.09,172.81,0.09,1.00,200.02,-0.14,2.07
US Broad Investment-Grade Bond Index (USBIG),"1,906.60",-0.18,-0.98,"1,906.60",-0.18,-0.98,"1,906.60",-0.18,-0.98
US Treasury Index,"1,641.52",-0.22,-0.77,"1,641.52",-0.22,-0.77,"1,641.52",-0.22,-0.77
US High-Yield Market Index,"1,186.48",0.09,-0.01,"1,186.48",0.09,-0.01,"1,186.48",0.09,-0.01
US High-Yield Cash Pay Index,"1,162.01",0.09,0.00,"1,162.01",0.09,0.00,"1,162.01",0.09,0.00
US High-Yield Market Capped Index,410.89,0.08,0.04,410.89,0.08,0.04,410.89,0.08,0.04
US High-Yield Cash Pay Capped Index,406.88,0.08,0.05,406.88,0.08,0.05,406.88,0.08,0.05
LATAM Government Bond Index (LATAMGBI),234.37,-0.01,-2.92,109.46,-0.03,-3.35,155.75,-0.02,-3.05
Euro Broad Investment-Grade Bond Index (EuroBIG),252.18,-0.17,0.46,253.34,0.02,-2.37,294.23,-0.16,0.51
EMU Government Bond Index (EGBI),257.96,-0.21,0.58,259.15,-0.02,-2.24,300.54,-0.20,0.63
Eurodollar Bond Index,457.44,-0.15,-1.51,457.44,-0.15,-1.51,457.44,-0.15,-1.51
Eurosterling Bond Index,567.86,-0.16,0.54,500.58,0.35,-0.82,498.95,-0.15,0.55
Euroyen Bond Index,185.86,-0.02,0.21,169.26,-0.40,-2.55,369.77,-0.02,0.23
CEEMEA Government Bond Index (CEEMEAGBI),182.65,0.08,-1.09,98.14,0.40,-3.45,135.08,0.08,-1.22
Middle East and North Africa Broad Bond Index (MENABBI),168.50,-0.15,-0.81,168.50,-0.15,-0.81,168.50,-0.15,-0.81
Asian Government Bond Index (AGBI),190.29,-0.10,0.10,164.20,-0.07,-1.07,166.87,-0.11,-0.04
Asian Government Extended Bond Index (AGBI-Extended),180.40,-0.06,0.11,189.78,0.00,-0.54,144.07,-0.06,-0.07
AsiaPac Government Bond Index (APGBI),193.75,-0.09,0.34,163.15,0.05,-0.91,165.09,-0.09,0.22
Asian Broad Bond Index (ABBI),227.98,-0.09,-0.25,227.98,-0.09,-0.25,227.98,-0.09,-0.25
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),144.83,-0.06,0.51,134.05,-0.17,-0.73,127.31,-0.07,0.30
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.74,-0.06,0.51,133.97,-0.17,-0.73,127.24,-0.07,0.30
Dim Sum (Offshore CNY) Bond Index,145.63,-0.06,0.20,146.49,0.06,-0.75,118.24,-0.06,0.03
Australian Broad Investment-Grade Bond Index (AusBIG),324.88,-0.01,1.24,412.68,0.73,-0.27,208.07,0.00,1.23
Emerging Markets Government Bond Index (EMGBI),248.33,-0.02,-0.40,137.68,-0.01,-1.86,160.49,-0.02,-0.58
Emerging Markets Inflation-Linked Securities Index (EMILSI),426.00,0.19,-1.31,153.81,-0.40,-2.91,195.67,0.19,-1.50
Emerging Markets US Dollar Government Bond Index EMUSDGBI),908.43,-0.28,-1.30,908.43,-0.28,-1.30,908.43,-0.28,-1.30
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),977.10,-0.27,-0.82,977.10,-0.27,-0.82,977.10,-0.27,-0.82
Debt Capacity World Government Bond Index (DCWGBI),185.95,-0.16,0.15,179.84,-0.01,-1.59,197.46,-0.16,0.16
Time-Weighted US Fallen Angel Bond Index,795.87,0.10,-0.76,795.87,0.10,-0.76,795.87,0.10,-0.76
