,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),248.37,-0.28,0.08,250.35,-0.26,-0.12,277.94,-0.27,0.08
World Government Bond Index (WGBI),802.65,-0.30,0.19,"1,057.81",-0.31,-0.05,952.97,-0.30,0.20
World Government Bond Index - Developed Markets (WGBI  DM),798.26,-0.30,0.19,"1,058.16",-0.30,-0.04,955.45,-0.30,0.20
World Government Bond Index - Extended (WGBI Extended),807.84,-0.28,0.18,"1,061.90",-0.27,-0.03,951.29,-0.28,0.18
World Inflation-Linked Securities Index (WorldILSI),194.50,-0.36,0.51,171.78,-0.33,0.40,196.97,-0.36,0.51
US Broad Investment-Grade Bond Index (USBIG),"1,922.11",-0.26,-0.17,"1,922.11",-0.26,-0.17,"1,922.11",-0.26,-0.17
US Treasury Index,"1,652.86",-0.27,-0.08,"1,652.86",-0.27,-0.08,"1,652.86",-0.27,-0.08
US High-Yield Market Index,"1,189.79",-0.07,0.27,"1,189.79",-0.07,0.27,"1,189.79",-0.07,0.27
US High-Yield Cash Pay Index,"1,165.16",-0.07,0.27,"1,165.16",-0.07,0.27,"1,165.16",-0.07,0.27
US High-Yield Market Capped Index,411.86,-0.07,0.27,411.86,-0.07,0.27,411.86,-0.07,0.27
US High-Yield Cash Pay Capped Index,407.81,-0.07,0.28,407.81,-0.07,0.28,407.81,-0.07,0.28
LATAM Government Bond Index (LATAMGBI),241.07,-0.22,-0.15,111.92,-1.06,-1.17,160.40,-0.22,-0.15
Euro Broad Investment-Grade Bond Index (EuroBIG),251.42,-0.38,0.15,258.51,-0.28,-0.37,293.22,-0.38,0.16
EMU Government Bond Index (EGBI),256.77,-0.49,0.12,264.02,-0.39,-0.41,299.04,-0.48,0.12
Eurodollar Bond Index,462.23,-0.38,-0.48,462.23,-0.38,-0.48,462.23,-0.38,-0.48
Eurosterling Bond Index,567.00,-0.54,0.39,506.48,-0.36,0.35,498.15,-0.54,0.39
Euroyen Bond Index,185.76,0.02,0.15,173.27,-0.20,-0.24,369.49,0.02,0.15
CEEMEA Government Bond Index (CEEMEAGBI),184.98,-0.04,0.17,101.77,-0.06,0.13,136.96,-0.04,0.15
Middle East and North Africa Broad Bond Index (MENABBI),169.70,-0.13,-0.11,169.70,-0.13,-0.11,169.70,-0.13,-0.11
Asian Government Bond Index (AGBI),190.18,-0.04,0.04,166.07,0.15,0.06,166.98,-0.05,0.03
Asian Government Extended Bond Index (AGBI-Extended),180.05,-0.04,-0.08,191.15,0.32,0.18,144.02,-0.05,-0.10
AsiaPac Government Bond Index (APGBI),193.56,-0.01,0.24,165.23,0.13,0.35,165.11,-0.01,0.23
Asian Broad Bond Index (ABBI),228.78,-0.17,0.10,228.78,-0.17,0.10,228.78,-0.17,0.10
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),144.15,-0.03,0.04,135.06,0.10,0.02,126.95,-0.03,0.02
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),144.07,-0.03,0.04,134.99,0.10,0.02,126.88,-0.04,0.02
Dim Sum (Offshore CNY) Bond Index,145.42,-0.01,0.06,147.89,0.10,0.20,118.25,-0.01,0.04
Australian Broad Investment-Grade Bond Index (AusBIG),324.09,0.11,0.99,421.01,-0.07,1.74,207.60,0.11,1.00
Emerging Markets Government Bond Index (EMGBI),249.47,-0.07,0.05,140.12,-0.06,-0.11,161.49,-0.08,0.03
Emerging Markets Inflation-Linked Securities Index (EMILSI),429.88,-0.18,-0.41,155.34,-0.97,-1.94,197.82,-0.19,-0.41
Emerging Markets US Dollar Government Bond Index EMUSDGBI),920.62,-0.21,0.02,920.62,-0.21,0.02,920.62,-0.21,0.02
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),986.78,-0.16,0.16,986.78,-0.16,0.16,986.78,-0.16,0.16
Debt Capacity World Government Bond Index (DCWGBI),186.06,-0.32,0.22,182.78,-0.34,0.02,197.57,-0.32,0.22
Time-Weighted US Fallen Angel Bond Index,803.37,-0.09,0.18,803.37,-0.09,0.18,803.37,-0.09,0.18
