,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),225.16,0.54,0.88,209.39,-0.08,0.17,253.29,0.53,0.89
World Government Bond Index (WGBI),734.62,0.56,0.81,870.94,-0.14,0.01,877.21,0.56,0.82
World Government Bond Index - Developed Markets (WGBI  DM),729.75,0.58,0.83,869.62,-0.12,0.04,879.22,0.58,0.84
World Government Bond Index - Extended (WGBI Extended),745.77,0.55,0.81,884.54,-0.11,0.06,881.03,0.54,0.81
World Inflation-Linked Securities Index (WorldILSI),188.32,0.72,1.53,151.74,-0.23,0.42,191.28,0.70,1.52
US Broad Investment-Grade Bond Index (USBIG),"1,751.55",0.44,0.90,"1,751.55",0.44,0.90,"1,751.55",0.44,0.90
US Treasury Index,"1,533.36",0.54,0.83,"1,533.36",0.54,0.83,"1,533.36",0.54,0.83
US High-Yield Market Index,"1,073.20",-0.00,0.26,"1,073.20",-0.00,0.26,"1,073.20",-0.00,0.26
US High-Yield Cash Pay Index,"1,051.76",0.00,0.26,"1,051.76",0.00,0.26,"1,051.76",0.00,0.26
US High-Yield Market Capped Index,371.30,-0.01,0.24,371.30,-0.01,0.24,371.30,-0.01,0.24
US High-Yield Cash Pay Capped Index,367.92,-0.01,0.24,367.92,-0.01,0.24,367.92,-0.01,0.24
LATAM Government Bond Index (LATAMGBI),220.48,0.20,1.57,99.14,-1.21,-0.52,138.16,0.16,1.43
Euro Broad Investment-Grade Bond Index (EuroBIG),221.22,0.92,1.11,192.94,-0.84,-0.95,261.96,0.91,1.12
EMU Government Bond Index (EGBI),225.43,0.97,1.18,196.61,-0.79,-0.88,266.50,0.96,1.19
Eurodollar Bond Index,412.25,0.21,0.83,412.25,0.21,0.83,412.25,0.21,0.83
Eurosterling Bond Index,504.12,0.72,1.05,383.91,-0.96,-0.87,444.77,0.70,1.04
Euroyen Bond Index,184.65,0.00,0.06,135.45,-0.19,-0.05,370.14,0.01,0.09
CEEMEA Government Bond Index (CEEMEAGBI),144.50,-0.39,0.36,64.70,-2.19,-1.67,99.39,-0.40,0.30
Middle East and North Africa Broad Bond Index (MENABBI),154.43,0.62,0.99,154.43,0.62,0.99,154.43,0.62,0.99
Asian Government Bond Index (AGBI),192.66,0.24,0.51,156.42,0.08,0.27,165.26,0.24,0.51
Asian Government Extended Bond Index (AGBI-Extended),182.36,0.19,0.44,178.93,-0.04,0.15,141.74,0.19,0.43
AsiaPac Government Bond Index (APGBI),193.46,0.22,0.54,152.06,-0.03,0.18,161.69,0.22,0.54
Asian Broad Bond Index (ABBI),200.18,0.04,0.27,200.18,0.04,0.27,200.18,0.04,0.27
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),154.14,0.08,-0.05,139.24,0.02,-0.16,131.32,0.08,-0.05
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),154.06,0.08,-0.05,139.17,0.02,-0.16,131.25,0.08,-0.05
Dim Sum (Offshore CNY) Bond Index,149.93,-0.02,-0.02,146.77,-0.42,-0.29,117.85,-0.02,-0.02
Australian Broad Investment-Grade Bond Index (AusBIG),292.61,0.13,0.90,330.21,-1.01,-0.58,187.64,0.12,0.89
Emerging Markets Government Bond Index (EMGBI),245.29,-0.02,0.19,127.72,-0.46,-0.45,152.32,-0.03,0.16
Emerging Markets Inflation-Linked Securities Index (EMILSI),477.64,-0.37,0.64,161.08,-2.02,-1.74,198.83,-0.41,0.48
Emerging Markets US Dollar Government Bond Index EMUSDGBI),740.91,0.14,1.01,740.91,0.14,1.01,740.91,0.14,1.01
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),788.86,0.36,1.17,788.86,0.36,1.17,788.86,0.36,1.17
Debt Capacity World Government Bond Index (DCWGBI),169.54,0.58,0.86,148.27,-0.42,-0.30,180.66,0.57,0.86
Time-Weighted US Fallen Angel Bond Index,722.95,0.02,0.22,722.95,0.02,0.22,722.95,0.02,0.22
