ValueDate,Value
2019-08-02,10.00000000
2019-08-05,10.00780000
2019-08-06,10.00380000
2019-08-07,10.01030000
2019-08-08,10.01780000
2019-08-09,10.01670000
2019-08-12,10.02900000
2019-08-13,10.02390000
2019-08-14,10.02610000
2019-08-15,10.01550000
2019-08-16,10.01960000
2019-08-19,10.02490000
2019-08-20,10.02800000
2019-08-21,10.02740000
2019-08-22,10.02920000
2019-08-23,10.03870000
2019-08-26,10.03740000
2019-08-27,10.04230000
2019-08-28,10.04300000
2019-08-29,10.04570000
2019-08-30,10.04290000
2019-09-02,10.04530000
2019-09-03,10.04840000
2019-09-04,10.04410000
2019-09-05,10.04150000
2019-09-06,10.04320000
2019-09-09,10.04830000
2019-09-10,10.05010000
2019-09-11,10.05230000
2019-09-12,10.04020000
2019-09-13,10.04040000
2019-09-16,10.03560000
2019-09-17,10.04170000
2019-09-18,10.04930000
2019-09-19,10.05230000
2019-09-20,10.06140000
2019-09-23,10.07100000
2019-09-24,10.07280000
2019-09-25,10.06350000
2019-09-26,10.06820000
2019-09-27,10.07140000
2019-09-30,10.07170000
2019-10-02,10.07650000
2019-10-03,10.07900000
2019-10-04,10.08020000
2019-10-08,10.08860000
2019-10-09,10.08900000
2019-10-10,10.08890000
2019-10-11,10.09060000
2019-10-14,10.09440000
2019-10-15,10.10240000
2019-10-16,10.10610000
2019-10-17,10.10910000
2019-10-18,10.10820000
2019-10-21,10.11390000
2019-10-22,10.12100000
2019-10-23,10.12120000
2019-10-24,10.11840000
2019-10-25,10.11680000
2019-10-28,10.12290000
2019-10-29,10.12690000
2019-10-30,10.12590000
2019-10-31,10.12400000
2019-11-01,10.12420000
2019-11-04,10.12760000
2019-11-05,10.12410000
2019-11-06,10.11620000
2019-11-07,10.11650000
2019-11-08,10.12160000
2019-11-11,10.12830000
2019-11-12,10.12320000
2019-11-13,10.13000000
2019-11-14,10.12810000
2019-11-15,10.12720000
2019-11-18,10.13080000
2019-11-19,10.13090000
2019-11-20,10.12940000
2019-11-21,10.12390000
2019-11-22,10.12770000
2019-11-25,10.13480000
2019-11-26,10.13480000
2019-11-27,10.13740000
2019-11-28,10.13690000
2019-11-29,10.13750000
2019-12-02,10.14470000
2019-12-03,10.14250000
2019-12-04,10.13790000
2019-12-05,10.12080000
2019-12-06,10.10600000
2019-12-09,10.08930000
2019-12-10,10.08410000
2019-12-11,10.06760000
2019-12-12,10.05950000
2019-12-13,10.06330000
2019-12-16,10.05680000
2019-12-17,10.05980000
2019-12-18,10.06190000
2019-12-19,10.07450000
2019-12-20,10.07190000
2019-12-23,10.06120000
2019-12-24,10.06710000
2019-12-27,10.06930000
2019-12-30,10.07280000
2019-12-31,10.07400000
2020-01-02,10.09000000
2020-01-03,10.09210000
2020-01-06,10.07770000
2020-01-07,10.08540000
2020-01-08,10.09070000
2020-01-09,10.08370000
2020-01-10,10.08930000
2020-01-13,10.10020000
2020-01-14,10.10960000
2020-01-15,10.10630000
2020-01-16,10.11360000
2020-01-17,10.11410000
2020-01-20,10.11850000
2020-01-21,10.12280000
2020-01-22,10.12540000
2020-01-23,10.12650000
2020-01-24,10.13210000
2020-01-29,10.13110000
2020-01-30,10.11390000
2020-01-31,10.12120000
2020-02-03,10.11540000
2020-02-04,10.11870000
2020-02-05,10.11980000
2020-02-06,10.12440000
2020-02-07,10.13350000
2020-02-10,10.13880000
2020-02-11,10.13960000
2020-02-12,10.14840000
2020-02-13,10.14920000
2020-02-14,10.15790000
2020-02-17,10.15950000
2020-02-18,10.16900000
2020-02-19,10.17390000
2020-02-20,10.19420000
2020-02-21,10.20350000
2020-02-24,10.21460000
2020-02-25,10.21090000
2020-02-26,10.20620000
2020-02-27,10.20330000
2020-02-28,10.19590000
2020-03-02,10.17500000
2020-03-03,10.19020000
2020-03-04,10.17780000
2020-03-05,10.18900000
2020-03-06,10.19470000
2020-03-09,10.17030000
2020-03-10,10.15440000
2020-03-11,10.14560000
2020-03-12,10.11730000
2020-03-13,10.06060000
2020-03-16,10.02460000
2020-03-17,9.95050000
2020-03-18,9.86960000
2020-03-19,9.78980000
2020-03-20,9.78170000
2020-03-23,9.75170000
2020-03-24,9.75430000
2020-03-25,9.80480000
2020-03-26,9.85960000
2020-03-27,9.92740000
2020-03-30,9.90550000
2020-03-31,9.91580000
2020-04-01,9.92780000
2020-04-02,9.93680000
2020-04-03,9.93520000
2020-04-06,9.93740000
2020-04-07,9.94360000
2020-04-08,9.93380000
2020-04-09,9.95900000
2020-04-14,9.98080000
2020-04-15,9.99930000
2020-04-16,10.01680000
2020-04-17,10.02950000
2020-04-20,10.03640000
2020-04-21,10.03360000
2020-04-22,10.03180000
2020-04-23,10.03880000
2020-04-24,10.03940000
2020-04-27,10.04860000
2020-04-28,10.05310000
2020-04-29,10.06180000
2020-05-04,10.06930000
2020-05-05,10.07130000
2020-05-06,10.07580000
2020-05-07,10.08630000
2020-05-08,10.08920000
2020-05-11,10.09600000
2020-05-12,10.10320000
2020-05-13,10.11200000
2020-05-14,10.12590000
2020-05-15,10.13260000
2020-05-18,10.13890000
2020-05-19,10.15340000
2020-05-20,10.16880000
2020-05-21,10.19030000
2020-05-22,10.19180000
2020-05-25,10.19340000
2020-05-26,10.19080000
2020-05-27,10.19940000
2020-05-28,10.20330000
2020-05-29,10.20920000
2020-06-01,10.21420000
2020-06-02,10.22590000
2020-06-03,10.23550000
2020-06-04,10.24120000
2020-06-05,10.26260000
2020-06-08,10.27950000
2020-06-09,10.27870000
2020-06-10,10.28320000
2020-06-11,10.27640000
2020-06-12,10.27670000
2020-06-15,10.27800000
2020-06-16,10.29310000
2020-06-17,10.30040000
2020-06-18,10.30980000
2020-06-19,10.31600000
2020-06-22,10.32310000
2020-06-23,10.32430000
2020-06-24,10.32310000
2020-06-26,10.32990000
2020-06-29,10.32710000
2020-06-30,10.32770000
2020-07-02,10.34070000
2020-07-03,10.34120000
2020-07-06,10.35330000
2020-07-07,10.35730000
2020-07-08,10.36280000
2020-07-09,10.36690000
2020-07-10,10.37200000
2020-07-13,10.37640000
2020-07-14,10.37640000
2020-07-15,10.38160000
2020-07-16,10.39030000
2020-07-17,10.39680000
2020-07-20,10.40390000
2020-07-21,10.41730000
2020-07-22,10.42420000
2020-07-23,10.43280000
2020-07-24,10.43070000
2020-07-27,10.43060000
2020-07-28,10.43260000
2020-07-29,10.43990000
2020-07-30,10.44380000
2020-07-31,10.44820000
2020-08-03,10.45970000
2020-08-04,10.46990000
2020-08-05,10.47580000
2020-08-06,10.48520000
2020-08-07,10.49350000
2020-08-10,10.49390000
2020-08-11,10.49240000
2020-08-12,10.48950000
2020-08-13,10.48550000
2020-08-14,10.48040000
2020-08-17,10.48290000
2020-08-18,10.48370000
2020-08-19,10.48590000
2020-08-20,10.48810000
2020-08-21,10.49420000
2020-08-24,10.49680000
2020-08-25,10.50470000
2020-08-26,10.50630000
2020-08-27,10.50470000
2020-08-28,10.51050000
2020-08-31,10.51690000
2020-09-01,10.52240000
2020-09-02,10.53050000
2020-09-03,10.53370000
2020-09-04,10.52340000
2020-09-07,10.52540000
2020-09-08,10.52730000
2020-09-09,10.52070000
2020-09-10,10.52180000
2020-09-11,10.52090000
2020-09-14,10.51950000
2020-09-15,10.52050000
2020-09-16,10.52250000
2020-09-17,10.52210000
2020-09-18,10.52690000
2020-09-21,10.52210000
2020-09-22,10.51600000
2020-09-23,10.51870000
2020-09-24,10.50660000
2020-09-25,10.49060000
2020-09-28,10.48730000
2020-09-29,10.49620000
2020-09-30,10.50220000
2020-10-05,10.51340000
2020-10-06,10.52300000
2020-10-07,10.52690000
2020-10-08,10.53490000
2020-10-09,10.54020000
2020-10-12,10.54290000
2020-10-14,10.55380000
2020-10-15,10.54740000
2020-10-16,10.54740000
2020-10-19,10.55160000
2020-10-20,10.55430000
2020-10-21,10.55330000
2020-10-22,10.55390000
2020-10-23,10.55310000
2020-10-27,10.56110000
2020-10-28,10.55840000
2020-10-29,10.55630000
2020-10-30,10.55330000
2020-11-02,10.55390000
2020-11-03,10.55270000
2020-11-04,10.57160000
2020-11-05,10.58870000
2020-11-06,10.58760000
2020-11-09,10.59670000
2020-11-10,10.60380000
2020-11-11,10.60350000
2020-11-12,10.60640000
2020-11-13,10.60440000
2020-11-16,10.60800000
2020-11-17,10.61100000
2020-11-18,10.61440000
2020-11-19,10.62070000
2020-11-20,10.62570000
2020-11-23,10.63110000
2020-11-24,10.63490000
2020-11-25,10.64000000
2020-11-26,10.63970000
2020-11-27,10.64620000
2020-11-30,10.65280000
2020-12-01,10.65640000
2020-12-02,10.66140000
2020-12-03,10.67500000
2020-12-04,10.67380000
2020-12-07,10.68170000
2020-12-08,10.68330000
2020-12-09,10.68390000
2020-12-10,10.68860000
2020-12-11,10.69040000
2020-12-14,10.69520000
2020-12-15,10.69730000
2020-12-16,10.69920000
2020-12-17,10.70520000
2020-12-18,10.70660000
2020-12-21,10.70980000
2020-12-22,10.70810000
2020-12-23,10.70900000
2020-12-24,10.71120000
2020-12-28,10.71280000
2020-12-29,10.71420000
2020-12-30,10.71450000
2020-12-31,10.71710000
2021-01-04,10.71950000
2021-01-05,10.71850000
2021-01-06,10.71100000
2021-01-07,10.70480000
2021-01-08,10.69870000
2021-01-11,10.69680000
2021-01-12,10.69270000
2021-01-13,10.69240000
2021-01-14,10.70050000
2021-01-15,10.70790000
2021-01-18,10.70800000
2021-01-19,10.71430000
2021-01-20,10.71900000
2021-01-21,10.72540000
2021-01-22,10.72980000
2021-01-25,10.73650000
2021-01-26,10.74560000
2021-01-27,10.74490000
2021-01-28,10.74470000
2021-01-29,10.74390000
2021-02-01,10.74790000
2021-02-02,10.74910000
2021-02-03,10.75300000
2021-02-04,10.76290000
2021-02-05,10.76610000
2021-02-08,10.76130000
2021-02-09,10.76510000
2021-02-10,10.76740000
2021-02-11,10.76930000
2021-02-16,10.76690000
2021-02-17,10.76910000
2021-02-18,10.77110000
2021-02-19,10.77310000
2021-02-22,10.77020000
2021-02-23,10.77420000
2021-02-24,10.77150000
2021-02-25,10.75730000
2021-02-26,10.75690000
2021-03-01,10.76050000
2021-03-02,10.75820000
2021-03-03,10.75240000
2021-03-04,10.74960000
2021-03-05,10.74820000
2021-03-08,10.73730000
2021-03-09,10.72630000
2021-03-10,10.72960000
2021-03-11,10.73510000
2021-03-12,10.74120000
2021-03-15,10.74780000
2021-03-16,10.75820000
2021-03-17,10.76150000
2021-03-18,10.76200000
2021-03-19,10.76420000
2021-03-22,10.76820000
2021-03-23,10.77250000
2021-03-24,10.77060000
2021-03-25,10.77340000
2021-03-26,10.76160000
2021-03-29,10.76700000
2021-03-30,10.76400000
2021-03-31,10.76250000
