ValueDate,Value
2021-04-01,10.76980000
2021-04-07,10.78340000
2021-04-08,10.77080000
2021-04-09,10.76990000
2021-04-12,10.75910000
2021-04-13,10.73210000
2021-04-14,10.69630000
2021-04-15,10.69730000
2021-04-16,10.71680000
2021-04-19,10.73570000
2021-04-20,10.72730000
2021-04-21,10.73320000
2021-04-22,10.73040000
2021-04-23,10.73330000
2021-04-26,10.72730000
2021-04-27,10.72940000
2021-04-28,10.73220000
2021-04-29,10.73390000
2021-04-30,10.74200000
2021-05-03,10.75150000
2021-05-04,10.75610000
2021-05-05,10.76330000
2021-05-06,10.76860000
2021-05-07,10.77040000
2021-05-10,10.77320000
2021-05-11,10.77250000
2021-05-12,10.76350000
2021-05-13,10.75970000
2021-05-14,10.76170000
2021-05-17,10.76050000
2021-05-18,10.75970000
2021-05-20,10.75130000
2021-05-21,10.75750000
2021-05-24,10.76460000
2021-05-25,10.76870000
2021-05-26,10.77320000
2021-05-27,10.77550000
2021-05-28,10.77850000
2021-05-31,10.77700000
2021-06-01,10.77870000
2021-06-02,10.78230000
2021-06-03,10.78260000
2021-06-04,10.78940000
2021-06-07,10.79420000
2021-06-08,10.80010000
2021-06-09,10.80070000
2021-06-10,10.80260000
2021-06-11,10.80530000
2021-06-15,10.81410000
2021-06-16,10.81010000
2021-06-17,10.80980000
2021-06-18,10.81230000
2021-06-21,10.81320000
2021-06-22,10.81740000
2021-06-23,10.81920000
2021-06-24,10.81740000
2021-06-25,10.81660000
2021-06-28,10.82150000
2021-06-29,10.82270000
2021-06-30,10.82650000
2021-07-02,10.83310000
2021-07-05,10.83250000
2021-07-06,10.82550000
2021-07-07,10.82640000
2021-07-08,10.83650000
2021-07-09,10.83540000
2021-07-12,10.83540000
2021-07-13,10.83910000
2021-07-14,10.84980000
2021-07-15,10.86090000
2021-07-16,10.86320000
2021-07-19,10.86900000
2021-07-20,10.87130000
2021-07-21,10.87380000
2021-07-22,10.87120000
2021-07-23,10.86970000
2021-07-26,10.86890000
2021-07-27,10.85520000
2021-07-28,10.83500000
2021-07-29,10.81520000
2021-07-30,10.81030000
2021-08-02,10.82170000
2021-08-03,10.84630000
2021-08-04,10.85670000
2021-08-05,10.85660000
2021-08-06,10.85440000
2021-08-09,10.86770000
