,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),250.63,0.03,0.47,250.36,0.05,0.56,280.71,0.03,0.48
World Government Bond Index (WGBI),809.66,0.05,0.60,"1,054.02",0.07,0.74,962.10,0.05,0.61
World Government Bond Index - Developed Markets (WGBI  DM),805.45,0.05,0.60,"1,054.33",0.07,0.75,964.99,0.05,0.61
World Government Bond Index - Extended (WGBI Extended),815.64,0.06,0.62,"1,059.57",0.10,0.69,960.63,0.07,0.62
World Inflation-Linked Securities Index (WorldILSI),203.02,0.21,1.06,178.47,0.37,1.25,205.68,0.21,1.06
US Broad Investment-Grade Bond Index (USBIG),"1,948.17",-0.03,0.38,"1,948.17",-0.03,0.38,"1,948.17",-0.03,0.38
US Treasury Index,"1,674.31",-0.06,0.53,"1,674.31",-0.06,0.53,"1,674.31",-0.06,0.53
US High-Yield Market Index,"1,227.09",0.06,0.42,"1,227.09",0.06,0.42,"1,227.09",0.06,0.42
US High-Yield Cash Pay Index,"1,201.38",0.06,0.42,"1,201.38",0.06,0.42,"1,201.38",0.06,0.42
US High-Yield Market Capped Index,424.45,0.06,0.40,424.45,0.06,0.40,424.45,0.06,0.40
US High-Yield Cash Pay Capped Index,420.17,0.06,0.40,420.17,0.06,0.40,420.17,0.06,0.40
LATAM Government Bond Index (LATAMGBI),233.94,0.19,-0.01,111.53,0.53,-1.66,154.34,0.17,-0.09
Euro Broad Investment-Grade Bond Index (EuroBIG),251.82,0.07,0.58,254.50,0.10,0.65,294.38,0.08,0.60
EMU Government Bond Index (EGBI),256.97,0.10,0.68,259.70,0.13,0.76,299.94,0.11,0.71
Eurodollar Bond Index,473.64,-0.03,0.39,473.64,-0.03,0.39,473.64,-0.03,0.39
Eurosterling Bond Index,577.40,0.16,0.65,512.79,0.61,1.23,507.47,0.17,0.65
Euroyen Bond Index,186.98,0.02,0.14,169.17,-0.11,0.79,372.36,0.02,0.15
CEEMEA Government Bond Index (CEEMEAGBI),185.83,-0.07,0.07,101.86,-0.34,-0.81,136.38,-0.09,-0.02
Middle East and North Africa Broad Bond Index (MENABBI),173.62,0.02,-0.02,173.62,0.02,-0.02,173.62,0.02,-0.02
Asian Government Bond Index (AGBI),193.83,0.20,0.74,167.01,0.35,0.00,169.08,0.19,0.68
Asian Government Extended Bond Index (AGBI-Extended),183.35,0.16,0.51,191.58,0.30,-0.11,145.38,0.14,0.44
AsiaPac Government Bond Index (APGBI),197.57,0.22,0.83,165.80,0.37,0.17,167.60,0.21,0.78
Asian Broad Bond Index (ABBI),230.63,0.03,0.12,230.63,0.03,0.12,230.63,0.03,0.12
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),147.89,0.35,0.74,138.32,0.54,0.56,129.04,0.33,0.65
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),147.81,0.36,0.74,138.25,0.55,0.56,128.97,0.34,0.66
Dim Sum (Offshore CNY) Bond Index,147.33,0.01,0.12,149.70,0.11,-0.11,118.74,-0.01,0.04
Australian Broad Investment-Grade Bond Index (AusBIG),332.23,0.31,1.12,414.54,0.43,0.91,212.88,0.31,1.12
Emerging Markets Government Bond Index (EMGBI),253.20,0.19,0.46,141.46,0.27,-0.20,162.43,0.17,0.38
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.49,0.07,0.45,163.45,0.53,-1.81,196.03,0.03,0.30
Emerging Markets US Dollar Government Bond Index EMUSDGBI),947.59,0.03,0.21,947.59,0.03,0.21,947.59,0.03,0.21
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,018.66",-0.00,0.19,"1,018.66",-0.00,0.19,"1,018.66",-0.00,0.19
Debt Capacity World Government Bond Index (DCWGBI),187.36,0.06,0.62,181.77,0.10,0.63,199.04,0.06,0.63
Time-Weighted US Fallen Angel Bond Index,840.07,0.11,0.98,840.07,0.11,0.98,840.07,0.11,0.98
