,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),251.29,0.16,0.73,250.65,0.15,0.68,281.44,0.16,0.74
World Government Bond Index (WGBI),812.02,0.17,0.89,"1,055.43",0.16,0.87,964.91,0.18,0.90
World Government Bond Index - Developed Markets (WGBI  DM),807.83,0.18,0.90,"1,055.87",0.16,0.89,967.86,0.18,0.91
World Government Bond Index - Extended (WGBI Extended),817.87,0.15,0.89,"1,061.15",0.17,0.84,963.25,0.16,0.89
World Inflation-Linked Securities Index (WorldILSI),203.80,-0.07,1.45,178.83,-0.10,1.45,206.47,-0.07,1.45
US Broad Investment-Grade Bond Index (USBIG),"1,954.57",0.27,0.71,"1,954.57",0.27,0.71,"1,954.57",0.27,0.71
US Treasury Index,"1,680.62",0.35,0.91,"1,680.62",0.35,0.91,"1,680.62",0.35,0.91
US High-Yield Market Index,"1,224.92",-0.11,0.25,"1,224.92",-0.11,0.25,"1,224.92",-0.11,0.25
US High-Yield Cash Pay Index,"1,199.37",-0.11,0.26,"1,199.37",-0.11,0.26,"1,199.37",-0.11,0.26
US High-Yield Market Capped Index,423.69,-0.11,0.22,423.69,-0.11,0.22,423.69,-0.11,0.22
US High-Yield Cash Pay Capped Index,419.46,-0.10,0.23,419.46,-0.10,0.23,419.46,-0.10,0.23
LATAM Government Bond Index (LATAMGBI),233.80,0.19,-0.08,111.76,-0.07,-1.46,154.20,0.18,-0.18
Euro Broad Investment-Grade Bond Index (EuroBIG),252.36,0.07,0.79,253.99,0.06,0.45,295.03,0.07,0.82
EMU Government Bond Index (EGBI),257.67,0.07,0.96,259.32,0.06,0.61,300.77,0.07,0.99
Eurodollar Bond Index,475.61,0.30,0.81,475.61,0.30,0.81,475.61,0.30,0.81
Eurosterling Bond Index,576.40,-0.41,0.47,510.82,-0.42,0.84,506.59,-0.42,0.48
Euroyen Bond Index,187.13,0.04,0.22,169.67,0.09,1.09,372.67,0.04,0.24
CEEMEA Government Bond Index (CEEMEAGBI),185.67,0.11,-0.02,101.37,0.13,-1.29,136.24,0.10,-0.12
Middle East and North Africa Broad Bond Index (MENABBI),174.09,0.21,0.25,174.09,0.21,0.25,174.09,0.21,0.25
Asian Government Bond Index (AGBI),194.07,-0.01,0.87,167.54,0.23,0.32,169.27,-0.01,0.80
Asian Government Extended Bond Index (AGBI-Extended),183.55,0.00,0.62,192.11,0.21,0.16,145.52,0.00,0.54
AsiaPac Government Bond Index (APGBI),197.82,0.04,0.96,166.12,0.17,0.36,167.79,0.03,0.89
Asian Broad Bond Index (ABBI),231.24,0.26,0.39,231.24,0.26,0.39,231.24,0.26,0.39
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),147.93,-0.01,0.76,138.61,0.16,0.77,129.05,-0.01,0.66
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),147.85,-0.01,0.76,138.53,0.16,0.77,128.98,-0.01,0.66
Dim Sum (Offshore CNY) Bond Index,147.39,0.01,0.17,150.10,-0.01,0.15,118.76,0.00,0.06
Australian Broad Investment-Grade Bond Index (AusBIG),332.83,0.32,1.30,412.30,-0.19,0.36,213.25,0.31,1.30
Emerging Markets Government Bond Index (EMGBI),253.31,0.04,0.50,141.53,0.11,-0.14,162.46,0.03,0.40
Emerging Markets Inflation-Linked Securities Index (EMILSI),433.15,0.19,0.61,165.26,-0.11,-0.72,196.23,0.18,0.41
Emerging Markets US Dollar Government Bond Index EMUSDGBI),950.72,0.33,0.54,950.72,0.33,0.54,950.72,0.33,0.54
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,021.43",0.30,0.46,"1,021.43",0.30,0.46,"1,021.43",0.30,0.46
Debt Capacity World Government Bond Index (DCWGBI),187.80,0.15,0.86,181.64,0.07,0.56,199.51,0.15,0.86
Time-Weighted US Fallen Angel Bond Index,838.55,-0.16,0.80,838.55,-0.16,0.80,838.55,-0.16,0.80
