,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),252.33,-0.01,1.15,252.33,0.32,1.35,282.65,-0.00,1.17
World Government Bond Index (WGBI),816.05,0.02,1.39,"1,063.99",0.43,1.69,969.84,0.03,1.42
World Government Bond Index - Developed Markets (WGBI  DM),811.89,0.02,1.40,"1,064.51",0.43,1.72,972.88,0.03,1.43
World Government Bond Index - Extended (WGBI Extended),821.98,0.02,1.40,"1,069.43",0.45,1.63,968.17,0.03,1.41
World Inflation-Linked Securities Index (WorldILSI),208.45,0.31,3.76,183.72,0.78,4.23,211.23,0.33,3.79
US Broad Investment-Grade Bond Index (USBIG),"1,958.60",-0.05,0.92,"1,958.60",-0.05,0.92,"1,958.60",-0.05,0.92
US Treasury Index,"1,683.88",-0.00,1.11,"1,683.88",-0.00,1.11,"1,683.88",-0.00,1.11
US High-Yield Market Index,"1,225.53",0.10,0.30,"1,225.53",0.10,0.30,"1,225.53",0.10,0.30
US High-Yield Cash Pay Index,"1,199.95",0.09,0.30,"1,199.95",0.09,0.30,"1,199.95",0.09,0.30
US High-Yield Market Capped Index,423.90,0.08,0.27,423.90,0.08,0.27,423.90,0.08,0.27
US High-Yield Cash Pay Capped Index,419.66,0.08,0.28,419.66,0.08,0.28,419.66,0.08,0.28
LATAM Government Bond Index (LATAMGBI),233.75,-0.01,-0.09,112.08,1.08,-1.18,154.00,-0.02,-0.31
Euro Broad Investment-Grade Bond Index (EuroBIG),254.13,0.03,1.50,257.19,0.75,1.72,297.20,0.04,1.56
EMU Government Bond Index (EGBI),259.82,0.04,1.80,262.95,0.76,2.02,303.39,0.05,1.87
Eurodollar Bond Index,476.54,-0.18,1.00,476.54,-0.18,1.00,476.54,-0.18,1.00
Eurosterling Bond Index,581.85,0.04,1.42,519.76,0.81,2.61,511.47,0.05,1.45
Euroyen Bond Index,187.41,0.02,0.37,170.57,0.47,1.63,373.29,0.02,0.40
CEEMEA Government Bond Index (CEEMEAGBI),186.91,0.02,0.65,102.78,1.18,0.08,137.00,0.01,0.44
Middle East and North Africa Broad Bond Index (MENABBI),174.61,-0.07,0.54,174.61,-0.07,0.54,174.61,-0.07,0.54
Asian Government Bond Index (AGBI),195.19,0.03,1.45,168.21,0.57,0.72,170.13,0.04,1.31
Asian Government Extended Bond Index (AGBI-Extended),184.43,0.04,1.11,192.93,0.46,0.59,146.10,0.04,0.94
AsiaPac Government Bond Index (APGBI),199.03,0.03,1.58,166.78,0.62,0.76,168.72,0.03,1.45
Asian Broad Bond Index (ABBI),229.60,-0.11,-0.32,229.60,-0.11,-0.32,229.60,-0.11,-0.32
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),148.68,0.16,1.27,139.27,0.79,1.25,129.58,0.16,1.08
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),148.60,0.16,1.28,139.20,0.79,1.26,129.51,0.16,1.08
Dim Sum (Offshore CNY) Bond Index,147.41,-0.04,0.18,150.23,0.60,0.24,118.66,-0.05,-0.03
Australian Broad Investment-Grade Bond Index (AusBIG),335.05,0.01,1.98,412.98,0.87,0.53,214.65,0.02,1.97
Emerging Markets Government Bond Index (EMGBI),254.51,0.11,0.98,142.32,0.83,0.41,163.07,0.11,0.77
Emerging Markets Inflation-Linked Securities Index (EMILSI),432.49,-0.10,0.45,165.95,1.54,-0.31,195.60,-0.12,0.08
Emerging Markets US Dollar Government Bond Index EMUSDGBI),949.77,0.05,0.44,949.77,0.05,0.44,949.77,0.05,0.44
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),"1,019.48",0.04,0.27,"1,019.48",0.04,0.27,"1,019.48",0.04,0.27
Debt Capacity World Government Bond Index (DCWGBI),188.88,0.02,1.44,183.39,0.56,1.53,200.67,0.03,1.45
Time-Weighted US Fallen Angel Bond Index,838.18,0.10,0.75,838.18,0.10,0.75,838.18,0.10,0.75
