,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),229.89,-0.56,-2.39,219.57,-0.77,-3.70,258.14,-0.55,-2.35
World Government Bond Index (WGBI),748.34,-0.53,-2.17,919.30,-0.77,-3.84,891.72,-0.52,-2.13
World Government Bond Index - Developed Markets (WGBI  DM),743.81,-0.55,-2.21,918.18,-0.78,-3.89,894.08,-0.54,-2.16
World Government Bond Index - Extended (WGBI Extended),758.48,-0.47,-2.03,933.56,-0.69,-3.60,894.44,-0.46,-1.99
World Inflation-Linked Securities Index (WorldILSI),199.41,-0.72,-2.97,167.79,-0.87,-4.05,202.13,-0.71,-2.95
US Broad Investment-Grade Bond Index (USBIG),"1,770.76",-0.72,-2.92,"1,770.76",-0.72,-2.92,"1,770.76",-0.72,-2.92
US Treasury Index,"1,537.50",-0.75,-2.59,"1,537.50",-0.75,-2.59,"1,537.50",-0.75,-2.59
US High-Yield Market Index,"1,166.57",0.05,-1.80,"1,166.57",0.05,-1.80,"1,166.57",0.05,-1.80
US High-Yield Cash Pay Index,"1,142.79",0.05,-1.80,"1,142.79",0.05,-1.80,"1,142.79",0.05,-1.80
US High-Yield Market Capped Index,403.87,0.05,-1.76,403.87,0.05,-1.76,403.87,0.05,-1.76
US High-Yield Cash Pay Capped Index,400.02,0.05,-1.77,400.02,0.05,-1.77,400.02,0.05,-1.77
LATAM Government Bond Index (LATAMGBI),221.60,-0.01,-1.43,107.58,-0.48,-1.57,140.79,-0.02,-1.68
Euro Broad Investment-Grade Bond Index (EuroBIG),230.22,-0.55,-2.26,211.27,-1.20,-5.34,271.25,-0.52,-2.15
EMU Government Bond Index (EGBI),234.22,-0.68,-2.63,214.94,-1.33,-5.69,275.54,-0.65,-2.50
Eurodollar Bond Index,423.02,-0.61,-3.32,423.02,-0.61,-3.32,423.02,-0.61,-3.32
Eurosterling Bond Index,525.24,-0.55,-1.73,437.97,-0.50,-2.63,462.38,-0.55,-1.72
Euroyen Bond Index,185.51,0.06,-0.17,147.00,-0.08,-3.77,370.70,0.06,-0.14
CEEMEA Government Bond Index (CEEMEAGBI),148.36,-0.17,-1.42,73.14,-0.71,-3.41,102.86,-0.17,-1.53
Middle East and North Africa Broad Bond Index (MENABBI),161.57,-0.21,-2.61,161.57,-0.21,-2.61,161.57,-0.21,-2.61
Asian Government Bond Index (AGBI),192.98,0.17,-0.34,164.99,0.19,-0.88,165.78,0.16,-0.40
Asian Government Extended Bond Index (AGBI-Extended),182.84,0.13,-0.65,188.31,0.16,-1.24,142.50,0.12,-0.72
AsiaPac Government Bond Index (APGBI),194.36,0.22,-0.38,161.53,0.25,-1.02,162.62,0.21,-0.43
Asian Broad Bond Index (ABBI),207.19,0.02,-1.70,207.19,0.02,-1.70,207.19,0.02,-1.70
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),153.29,0.07,0.43,145.67,-0.01,0.00,130.96,0.06,0.34
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),153.22,0.07,0.43,145.61,-0.01,0.00,130.90,0.06,0.34
Dim Sum (Offshore CNY) Bond Index,149.12,0.00,-0.02,153.51,-0.19,-0.71,117.68,-0.01,-0.11
Australian Broad Investment-Grade Bond Index (AusBIG),301.98,0.61,-0.51,372.88,0.64,-1.78,193.07,0.60,-0.49
Emerging Markets Government Bond Index (EMGBI),246.16,0.01,-0.27,135.72,-0.15,-0.83,153.54,0.00,-0.37
Emerging Markets Inflation-Linked Securities Index (EMILSI),472.71,-0.07,0.75,178.54,-0.66,0.95,201.63,-0.10,0.35
Emerging Markets US Dollar Government Bond Index EMUSDGBI),809.88,-0.07,-3.33,809.88,-0.07,-3.33,809.88,-0.07,-3.33
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),864.90,-0.08,-3.26,864.90,-0.08,-3.26,864.90,-0.08,-3.26
Debt Capacity World Government Bond Index (DCWGBI),173.00,-0.42,-2.05,158.48,-0.69,-3.80,184.02,-0.41,-2.01
Time-Weighted US Fallen Angel Bond Index,786.11,-0.10,-2.23,786.11,-0.10,-2.23,786.11,-0.10,-2.23
