,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),235.12,0.11,-0.17,226.57,0.02,-0.63,263.92,0.11,-0.17
World Government Bond Index (WGBI),763.50,0.11,-0.19,948.76,0.03,-0.75,909.42,0.11,-0.19
World Government Bond Index - Developed Markets (WGBI  DM),759.14,0.11,-0.19,948.04,0.03,-0.77,912.10,0.11,-0.19
World Government Bond Index - Extended (WGBI Extended),772.65,0.08,-0.20,961.35,0.01,-0.73,910.83,0.08,-0.20
World Inflation-Linked Securities Index (WorldILSI),205.90,0.42,0.18,174.56,0.38,-0.18,208.65,0.42,0.18
US Broad Investment-Grade Bond Index (USBIG),"1,817.75",-0.06,-0.34,"1,817.75",-0.06,-0.34,"1,817.75",-0.06,-0.34
US Treasury Index,"1,570.90",-0.22,-0.47,"1,570.90",-0.22,-0.47,"1,570.90",-0.22,-0.47
US High-Yield Market Index,"1,187.79",0.18,-0.01,"1,187.79",0.18,-0.01,"1,187.79",0.18,-0.01
US High-Yield Cash Pay Index,"1,163.65",0.18,-0.01,"1,163.65",0.18,-0.01,"1,163.65",0.18,-0.01
US High-Yield Market Capped Index,411.09,0.18,-0.01,411.09,0.18,-0.01,411.09,0.18,-0.01
US High-Yield Cash Pay Capped Index,407.21,0.18,-0.00,407.21,0.18,-0.00,407.21,0.18,-0.00
LATAM Government Bond Index (LATAMGBI),225.65,0.28,0.37,111.45,1.37,1.97,143.63,0.23,0.31
Euro Broad Investment-Grade Bond Index (EuroBIG),235.40,0.24,-0.06,220.43,-0.12,-1.23,277.07,0.25,-0.05
EMU Government Bond Index (EGBI),240.21,0.28,-0.14,224.94,-0.09,-1.31,282.26,0.28,-0.13
Eurodollar Bond Index,436.82,0.02,-0.16,436.82,0.02,-0.16,436.82,0.02,-0.16
Eurosterling Bond Index,537.39,0.57,0.54,450.50,0.63,0.15,473.01,0.57,0.54
Euroyen Bond Index,185.81,0.06,-0.01,151.05,0.16,-1.11,371.22,0.06,-0.00
CEEMEA Government Bond Index (CEEMEAGBI),150.30,0.22,-0.13,75.22,0.23,-0.66,104.28,0.19,-0.17
Middle East and North Africa Broad Bond Index (MENABBI),166.05,0.08,0.08,166.05,0.08,0.08,166.05,0.08,0.08
Asian Government Bond Index (AGBI),193.24,-0.11,-0.20,165.75,-0.09,-0.42,166.08,-0.13,-0.22
Asian Government Extended Bond Index (AGBI-Extended),183.72,-0.11,-0.17,190.17,-0.02,-0.27,143.26,-0.12,-0.19
AsiaPac Government Bond Index (APGBI),194.76,-0.10,-0.18,162.66,0.01,-0.33,163.00,-0.11,-0.20
Asian Broad Bond Index (ABBI),210.39,0.10,-0.18,210.39,0.10,-0.18,210.39,0.10,-0.18
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.77,0.03,0.09,145.43,0.03,-0.16,130.60,0.01,0.06
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.70,0.03,0.09,145.37,0.03,-0.17,130.54,0.01,0.06
Dim Sum (Offshore CNY) Bond Index,149.21,0.03,0.04,154.03,-0.06,-0.37,117.83,0.01,0.01
Australian Broad Investment-Grade Bond Index (AusBIG),303.70,0.19,0.05,381.64,0.92,0.53,194.13,0.19,0.06
Emerging Markets Government Bond Index (EMGBI),246.94,0.06,0.05,136.86,0.20,0.00,154.14,0.04,0.02
Emerging Markets Inflation-Linked Securities Index (EMILSI),472.76,0.41,0.76,181.60,1.65,2.68,202.26,0.34,0.67
Emerging Markets US Dollar Government Bond Index EMUSDGBI),837.65,0.14,-0.01,837.65,0.14,-0.01,837.65,0.14,-0.01
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),893.96,0.06,-0.01,893.96,0.06,-0.01,893.96,0.06,-0.01
Debt Capacity World Government Bond Index (DCWGBI),176.41,0.15,-0.12,163.64,0.08,-0.66,187.57,0.15,-0.12
Time-Weighted US Fallen Angel Bond Index,804.43,0.22,0.05,804.43,0.22,0.05,804.43,0.22,0.05
