,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),230.46,-0.46,-2.15,220.92,-0.47,-3.11,258.75,-0.45,-2.12
World Government Bond Index (WGBI),749.56,-0.42,-2.01,924.53,-0.49,-3.29,893.05,-0.41,-1.98
World Government Bond Index - Developed Markets (WGBI  DM),745.10,-0.42,-2.04,923.59,-0.50,-3.33,895.50,-0.42,-2.00
World Government Bond Index - Extended (WGBI Extended),759.40,-0.42,-1.91,938.01,-0.50,-3.14,895.42,-0.41,-1.88
World Inflation-Linked Securities Index (WorldILSI),199.85,-0.55,-2.76,168.57,-0.44,-3.61,202.57,-0.55,-2.74
US Broad Investment-Grade Bond Index (USBIG),"1,776.83",-0.44,-2.59,"1,776.83",-0.44,-2.59,"1,776.83",-0.44,-2.59
US Treasury Index,"1,540.55",-0.31,-2.40,"1,540.55",-0.31,-2.40,"1,540.55",-0.31,-2.40
US High-Yield Market Index,"1,163.67",-0.61,-2.04,"1,163.67",-0.61,-2.04,"1,163.67",-0.61,-2.04
US High-Yield Cash Pay Index,"1,139.90",-0.61,-2.05,"1,139.90",-0.61,-2.05,"1,139.90",-0.61,-2.05
US High-Yield Market Capped Index,402.83,-0.61,-2.02,402.83,-0.61,-2.02,402.83,-0.61,-2.02
US High-Yield Cash Pay Capped Index,398.98,-0.61,-2.02,398.98,-0.61,-2.02,398.98,-0.61,-2.02
LATAM Government Bond Index (LATAMGBI),221.82,-0.76,-1.33,107.46,-0.33,-1.68,141.00,-0.81,-1.53
Euro Broad Investment-Grade Bond Index (EuroBIG),230.82,-0.56,-2.01,214.19,-0.35,-4.03,271.85,-0.54,-1.93
EMU Government Bond Index (EGBI),234.90,-0.61,-2.35,217.98,-0.39,-4.36,276.21,-0.59,-2.27
Eurodollar Bond Index,425.71,-0.60,-2.70,425.71,-0.60,-2.70,425.71,-0.60,-2.70
Eurosterling Bond Index,527.57,-0.49,-1.29,439.78,-0.24,-2.23,464.43,-0.49,-1.29
Euroyen Bond Index,185.82,-0.03,-0.01,147.69,-0.92,-3.31,371.29,-0.02,0.01
CEEMEA Government Bond Index (CEEMEAGBI),147.81,-0.38,-1.78,73.31,-0.22,-3.18,102.52,-0.41,-1.86
Middle East and North Africa Broad Bond Index (MENABBI),162.80,-0.73,-1.87,162.80,-0.73,-1.87,162.80,-0.73,-1.87
Asian Government Bond Index (AGBI),192.52,-0.31,-0.58,164.37,-0.53,-1.25,165.42,-0.32,-0.62
Asian Government Extended Bond Index (AGBI-Extended),182.91,-0.34,-0.61,188.30,-0.54,-1.25,142.58,-0.35,-0.67
AsiaPac Government Bond Index (APGBI),193.88,-0.31,-0.63,160.97,-0.53,-1.36,162.24,-0.32,-0.66
Asian Broad Bond Index (ABBI),207.37,-0.51,-1.61,207.37,-0.51,-1.61,207.37,-0.51,-1.61
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),153.06,-0.06,0.28,145.47,-0.16,-0.14,130.79,-0.08,0.21
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.99,-0.06,0.28,145.40,-0.17,-0.14,130.73,-0.08,0.21
Dim Sum (Offshore CNY) Bond Index,149.15,0.01,0.00,153.79,-0.17,-0.53,117.73,-0.01,-0.07
Australian Broad Investment-Grade Bond Index (AusBIG),300.77,-0.10,-0.91,372.13,-0.41,-1.98,192.29,-0.09,-0.89
Emerging Markets Government Bond Index (EMGBI),246.05,-0.22,-0.31,135.72,-0.25,-0.83,153.51,-0.24,-0.39
Emerging Markets Inflation-Linked Securities Index (EMILSI),472.92,-0.24,0.80,178.59,0.37,0.97,201.90,-0.33,0.49
Emerging Markets US Dollar Government Bond Index EMUSDGBI),813.79,-1.09,-2.86,813.79,-1.09,-2.86,813.79,-1.09,-2.86
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),869.40,-1.02,-2.75,869.40,-1.02,-2.75,869.40,-1.02,-2.75
Debt Capacity World Government Bond Index (DCWGBI),173.17,-0.46,-1.95,159.36,-0.50,-3.26,184.18,-0.46,-1.92
Time-Weighted US Fallen Angel Bond Index,788.68,-0.56,-1.91,788.68,-0.56,-1.91,788.68,-0.56,-1.91
