,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),238.12,-0.03,-1.19,230.08,-0.27,-2.16,267.21,-0.03,-1.17
World Government Bond Index (WGBI),775.70,0.04,-0.91,969.29,-0.27,-2.07,923.62,0.04,-0.89
World Government Bond Index - Developed Markets (WGBI  DM),771.56,0.04,-0.90,969.50,-0.28,-2.06,926.63,0.04,-0.88
World Government Bond Index - Extended (WGBI Extended),784.49,0.04,-0.84,981.08,-0.25,-1.98,924.59,0.05,-0.83
World Inflation-Linked Securities Index (WorldILSI),210.05,0.58,1.32,177.49,0.39,-0.11,212.78,0.57,1.31
US Broad Investment-Grade Bond Index (USBIG),"1,844.67",-0.02,-1.60,"1,844.67",-0.02,-1.60,"1,844.67",-0.02,-1.60
US Treasury Index,"1,605.14",0.05,-1.31,"1,605.14",0.05,-1.31,"1,605.14",0.05,-1.31
US High-Yield Market Index,"1,178.52",-0.26,-1.58,"1,178.52",-0.26,-1.58,"1,178.52",-0.26,-1.58
US High-Yield Cash Pay Index,"1,154.48",-0.26,-1.58,"1,154.48",-0.26,-1.58,"1,154.48",-0.26,-1.58
US High-Yield Market Capped Index,407.81,-0.25,-1.55,407.81,-0.25,-1.55,407.81,-0.25,-1.55
US High-Yield Cash Pay Capped Index,403.92,-0.25,-1.56,403.92,-0.25,-1.56,403.92,-0.25,-1.56
LATAM Government Bond Index (LATAMGBI),222.28,-0.14,-2.03,104.19,-0.03,-2.14,142.10,-0.17,-2.21
Euro Broad Investment-Grade Bond Index (EuroBIG),238.59,-0.06,-0.89,222.82,-0.53,-3.23,280.57,-0.05,-0.82
EMU Government Bond Index (EGBI),244.48,0.06,-0.78,228.31,-0.41,-3.13,286.99,0.07,-0.72
Eurodollar Bond Index,438.25,-0.11,-2.37,438.25,-0.11,-2.37,438.25,-0.11,-2.37
Eurosterling Bond Index,534.22,0.06,-1.27,446.85,-0.26,-3.71,470.20,0.06,-1.23
Euroyen Bond Index,186.23,0.04,-0.11,158.81,-0.84,-1.66,371.82,0.04,-0.08
CEEMEA Government Bond Index (CEEMEAGBI),150.19,0.29,-12.25,73.21,0.27,-13.41,111.28,0.49,-10.37
Middle East and North Africa Broad Bond Index (MENABBI),166.54,-0.22,-0.67,166.54,-0.22,-0.67,166.54,-0.22,-0.67
Asian Government Bond Index (AGBI),194.76,0.09,-0.15,167.16,-0.03,-0.86,167.59,0.08,-0.21
Asian Government Extended Bond Index (AGBI-Extended),184.77,0.12,-0.26,190.93,-0.06,-1.34,144.27,0.11,-0.33
AsiaPac Government Bond Index (APGBI),196.70,0.05,-0.32,163.87,-0.11,-0.86,164.84,0.05,-0.38
Asian Broad Bond Index (ABBI),209.91,-0.45,-2.70,209.91,-0.45,-2.70,209.91,-0.45,-2.70
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.32,0.09,-0.16,145.84,0.07,-0.35,130.45,0.08,-0.24
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.25,0.09,-0.16,145.77,0.08,-0.34,130.39,0.09,-0.24
Dim Sum (Offshore CNY) Bond Index,149.54,0.06,-0.20,154.93,-0.31,-0.85,118.29,0.05,-0.28
Australian Broad Investment-Grade Bond Index (AusBIG),311.43,-0.22,-1.43,379.67,-0.77,-0.57,199.27,-0.22,-1.42
Emerging Markets Government Bond Index (EMGBI),246.38,0.10,-2.55,135.81,0.05,-2.89,155.71,0.13,-2.28
Emerging Markets Inflation-Linked Securities Index (EMILSI),456.92,0.10,1.10,164.90,0.31,1.50,196.99,0.06,0.67
Emerging Markets US Dollar Government Bond Index EMUSDGBI),822.82,0.06,-2.81,822.82,0.06,-2.81,822.82,0.06,-2.81
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),874.66,0.13,-2.92,874.66,0.13,-2.92,874.66,0.13,-2.92
Debt Capacity World Government Bond Index (DCWGBI),179.15,-0.01,-0.99,165.92,-0.29,-2.37,190.47,-0.01,-0.97
Time-Weighted US Fallen Angel Bond Index,800.34,-0.16,-1.24,800.34,-0.16,-1.24,800.34,-0.16,-1.24
