,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),241.43,-0.75,0.18,234.33,-1.03,-0.35,270.86,-0.75,0.18
World Government Bond Index (WGBI),786.26,-0.63,0.44,988.14,-0.99,-0.17,935.93,-0.63,0.43
World Government Bond Index - Developed Markets (WGBI  DM),782.10,-0.64,0.45,988.40,-1.00,-0.15,939.01,-0.64,0.45
World Government Bond Index - Extended (WGBI Extended),794.36,-0.57,0.41,999.26,-0.91,-0.16,936.02,-0.57,0.40
World Inflation-Linked Securities Index (WorldILSI),211.31,-0.53,1.93,179.93,-0.83,1.26,214.04,-0.53,1.91
US Broad Investment-Grade Bond Index (USBIG),"1,866.23",-1.11,-0.45,"1,866.23",-1.11,-0.45,"1,866.23",-1.11,-0.45
US Treasury Index,"1,621.53",-1.07,-0.30,"1,621.53",-1.07,-0.30,"1,621.53",-1.07,-0.30
US High-Yield Market Index,"1,199.76",-0.04,0.19,"1,199.76",-0.04,0.19,"1,199.76",-0.04,0.19
US High-Yield Cash Pay Index,"1,175.34",-0.04,0.20,"1,175.34",-0.04,0.20,"1,175.34",-0.04,0.20
US High-Yield Market Capped Index,415.08,-0.03,0.20,415.08,-0.03,0.20,415.08,-0.03,0.20
US High-Yield Cash Pay Capped Index,411.14,-0.03,0.20,411.14,-0.03,0.20,411.14,-0.03,0.20
LATAM Government Bond Index (LATAMGBI),226.79,0.08,-0.04,105.43,-0.65,-0.97,145.19,0.06,-0.08
Euro Broad Investment-Grade Bond Index (EuroBIG),243.10,-0.55,0.98,229.12,-1.21,-0.50,285.66,-0.55,0.98
EMU Government Bond Index (EGBI),249.29,-0.68,1.17,234.95,-1.34,-0.31,292.44,-0.68,1.17
Eurodollar Bond Index,445.75,-1.30,-0.70,445.75,-1.30,-0.70,445.75,-1.30,-0.70
Eurosterling Bond Index,546.23,-0.93,0.95,464.83,-1.21,0.17,480.54,-0.92,0.95
Euroyen Bond Index,186.51,0.00,0.04,161.00,-0.67,-0.31,372.31,0.00,0.05
CEEMEA Government Bond Index (CEEMEAGBI),170.91,-0.24,-0.15,82.75,-1.35,-2.12,123.92,-0.26,-0.19
Middle East and North Africa Broad Bond Index (MENABBI),167.74,-0.40,0.05,167.74,-0.40,0.05,167.74,-0.40,0.05
Asian Government Bond Index (AGBI),195.13,0.10,0.04,168.54,0.00,-0.04,168.00,0.10,0.03
Asian Government Extended Bond Index (AGBI-Extended),185.33,0.07,0.04,193.25,-0.12,-0.14,144.77,0.06,0.02
AsiaPac Government Bond Index (APGBI),197.54,0.17,0.10,165.31,0.07,0.02,165.62,0.17,0.09
Asian Broad Bond Index (ABBI),215.39,-0.52,-0.16,215.39,-0.52,-0.16,215.39,-0.52,-0.16
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.33,-0.04,-0.15,146.12,-0.02,-0.15,130.55,-0.05,-0.17
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.25,-0.04,-0.15,146.05,-0.02,-0.15,130.48,-0.05,-0.17
Dim Sum (Offshore CNY) Bond Index,149.87,0.05,0.02,155.84,-0.17,-0.27,118.63,0.04,0.01
Australian Broad Investment-Grade Bond Index (AusBIG),317.98,0.64,0.64,384.04,0.53,0.57,203.46,0.64,0.65
Emerging Markets Government Bond Index (EMGBI),252.50,-0.05,-0.13,139.15,-0.29,-0.50,159.11,-0.06,-0.15
Emerging Markets Inflation-Linked Securities Index (EMILSI),453.36,0.35,0.31,161.13,-0.66,-0.82,196.14,0.31,0.24
Emerging Markets US Dollar Government Bond Index EMUSDGBI),839.64,-1.24,-0.82,839.64,-1.24,-0.82,839.64,-1.24,-0.82
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),892.18,-1.31,-0.98,892.18,-1.31,-0.98,892.18,-1.31,-0.98
Debt Capacity World Government Bond Index (DCWGBI),181.95,-0.49,0.56,169.47,-0.96,-0.29,193.39,-0.49,0.55
Time-Weighted US Fallen Angel Bond Index,813.77,0.01,0.41,813.77,0.01,0.41,813.77,0.01,0.41
