,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),242.64,0.47,0.68,234.60,0.09,-0.23,272.20,0.47,0.67
World Government Bond Index (WGBI),790.16,0.58,0.94,989.37,0.21,-0.05,940.50,0.57,0.92
World Government Bond Index - Developed Markets (WGBI  DM),786.14,0.60,0.97,989.91,0.23,-0.00,943.79,0.59,0.96
World Government Bond Index - Extended (WGBI Extended),797.90,0.54,0.85,"1,000.07",0.18,-0.08,940.12,0.53,0.84
World Inflation-Linked Securities Index (WorldILSI),212.73,1.16,2.61,180.13,0.53,1.37,215.42,1.13,2.57
US Broad Investment-Grade Bond Index (USBIG),"1,878.51",0.48,0.21,"1,878.51",0.48,0.21,"1,878.51",0.48,0.21
US Treasury Index,"1,632.75",0.62,0.39,"1,632.75",0.62,0.39,"1,632.75",0.62,0.39
US High-Yield Market Index,"1,195.71",-0.37,-0.14,"1,195.71",-0.37,-0.14,"1,195.71",-0.37,-0.14
US High-Yield Cash Pay Index,"1,171.32",-0.37,-0.15,"1,171.32",-0.37,-0.15,"1,171.32",-0.37,-0.15
US High-Yield Market Capped Index,413.70,-0.36,-0.13,413.70,-0.36,-0.13,413.70,-0.36,-0.13
US High-Yield Cash Pay Capped Index,409.75,-0.36,-0.14,409.75,-0.36,-0.14,409.75,-0.36,-0.14
LATAM Government Bond Index (LATAMGBI),225.87,-0.29,-0.45,105.38,-1.42,-1.02,144.57,-0.30,-0.50
Euro Broad Investment-Grade Bond Index (EuroBIG),244.27,0.53,1.47,227.14,-0.77,-1.35,286.99,0.51,1.44
EMU Government Bond Index (EGBI),250.80,0.71,1.79,233.22,-0.59,-1.04,294.14,0.69,1.75
Eurodollar Bond Index,448.88,0.38,-0.00,448.88,0.38,-0.00,448.88,0.38,-0.00
Eurosterling Bond Index,546.94,0.67,1.08,462.09,-0.25,-0.42,481.13,0.66,1.07
Euroyen Bond Index,186.41,0.05,-0.01,161.99,0.76,0.30,372.12,0.05,-0.00
CEEMEA Government Bond Index (CEEMEAGBI),170.02,-0.52,-0.67,80.64,-3.31,-4.62,123.25,-0.52,-0.73
Middle East and North Africa Broad Bond Index (MENABBI),167.57,-0.32,-0.05,167.57,-0.32,-0.05,167.57,-0.32,-0.05
Asian Government Bond Index (AGBI),194.89,0.07,-0.08,167.95,-0.14,-0.39,167.77,0.06,-0.10
Asian Government Extended Bond Index (AGBI-Extended),184.92,0.02,-0.19,192.24,-0.22,-0.67,144.44,0.01,-0.21
AsiaPac Government Bond Index (APGBI),197.16,0.06,-0.09,164.92,-0.08,-0.22,165.28,0.06,-0.11
Asian Broad Bond Index (ABBI),214.71,-0.08,-0.48,214.71,-0.08,-0.48,214.71,-0.08,-0.48
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.22,-0.00,-0.22,145.83,-0.01,-0.35,130.44,-0.01,-0.25
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.15,-0.00,-0.22,145.76,-0.01,-0.35,130.37,-0.01,-0.26
Dim Sum (Offshore CNY) Bond Index,149.74,-0.04,-0.06,155.71,-0.12,-0.35,118.51,-0.05,-0.09
Australian Broad Investment-Grade Bond Index (AusBIG),315.98,0.04,0.01,386.80,0.45,1.30,202.19,0.04,0.02
Emerging Markets Government Bond Index (EMGBI),252.09,-0.10,-0.29,138.46,-0.72,-1.00,158.82,-0.10,-0.33
Emerging Markets Inflation-Linked Securities Index (EMILSI),454.89,0.19,0.65,163.49,-0.77,0.63,196.66,0.16,0.50
Emerging Markets US Dollar Government Bond Index EMUSDGBI),831.25,-0.78,-1.81,831.25,-0.78,-1.81,831.25,-0.78,-1.81
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),882.84,-0.87,-2.01,882.84,-0.87,-2.01,882.84,-0.87,-2.01
Debt Capacity World Government Bond Index (DCWGBI),182.65,0.53,0.94,169.14,-0.04,-0.48,194.11,0.52,0.93
Time-Weighted US Fallen Angel Bond Index,811.99,-0.23,0.19,811.99,-0.23,0.19,811.99,-0.23,0.19
