,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),239.34,-0.38,-0.69,231.99,0.11,-1.34,268.55,-0.38,-0.68
World Government Bond Index (WGBI),779.73,-0.46,-0.40,978.36,0.08,-1.16,928.33,-0.45,-0.38
World Government Bond Index - Developed Markets (WGBI  DM),775.62,-0.47,-0.38,978.67,0.05,-1.14,931.41,-0.46,-0.37
World Government Bond Index - Extended (WGBI Extended),788.17,-0.43,-0.38,989.39,0.07,-1.15,928.85,-0.42,-0.37
World Inflation-Linked Securities Index (WorldILSI),210.55,-1.31,1.56,178.45,-0.75,0.43,213.27,-1.27,1.55
US Broad Investment-Grade Bond Index (USBIG),"1,853.26",-0.33,-1.14,"1,853.26",-0.33,-1.14,"1,853.26",-0.33,-1.14
US Treasury Index,"1,611.94",-0.42,-0.89,"1,611.94",-0.42,-0.89,"1,611.94",-0.42,-0.89
US High-Yield Market Index,"1,185.86",0.04,-0.97,"1,185.86",0.04,-0.97,"1,185.86",0.04,-0.97
US High-Yield Cash Pay Index,"1,161.67",0.05,-0.97,"1,161.67",0.05,-0.97,"1,161.67",0.05,-0.97
US High-Yield Market Capped Index,410.33,0.05,-0.95,410.33,0.05,-0.95,410.33,0.05,-0.95
US High-Yield Cash Pay Capped Index,406.42,0.05,-0.95,406.42,0.05,-0.95,406.42,0.05,-0.95
LATAM Government Bond Index (LATAMGBI),223.00,0.07,-1.71,104.84,1.77,-1.53,142.59,0.01,-1.87
Euro Broad Investment-Grade Bond Index (EuroBIG),240.36,-0.56,-0.15,226.09,0.98,-1.81,282.57,-0.54,-0.12
EMU Government Bond Index (EGBI),246.58,-0.70,0.07,231.94,0.84,-1.59,289.38,-0.67,0.11
Eurodollar Bond Index,440.95,-0.26,-1.77,440.95,-0.26,-1.77,440.95,-0.26,-1.77
Eurosterling Bond Index,533.81,-0.63,-1.34,448.90,-0.29,-3.26,469.80,-0.62,-1.31
Euroyen Bond Index,186.43,-0.01,-0.00,160.60,-0.20,-0.55,372.19,-0.01,0.02
CEEMEA Government Bond Index (CEEMEAGBI),150.08,0.52,-12.32,73.43,3.27,-13.14,111.34,0.75,-10.32
Middle East and North Africa Broad Bond Index (MENABBI),166.68,-0.14,-0.58,166.68,-0.14,-0.58,166.68,-0.14,-0.58
Asian Government Bond Index (AGBI),194.60,-0.09,-0.23,167.03,-0.06,-0.94,167.48,-0.10,-0.28
Asian Government Extended Bond Index (AGBI-Extended),184.50,-0.08,-0.41,190.78,0.05,-1.42,144.07,-0.08,-0.46
AsiaPac Government Bond Index (APGBI),196.67,-0.14,-0.34,163.84,-0.03,-0.87,164.83,-0.15,-0.38
Asian Broad Bond Index (ABBI),210.91,-0.55,-2.24,210.91,-0.55,-2.24,210.91,-0.55,-2.24
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.20,-0.09,-0.24,145.88,-0.12,-0.32,130.36,-0.10,-0.31
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.12,-0.09,-0.24,145.80,-0.12,-0.32,130.30,-0.10,-0.31
Dim Sum (Offshore CNY) Bond Index,149.50,-0.07,-0.22,155.55,-0.04,-0.45,118.28,-0.08,-0.29
Australian Broad Investment-Grade Bond Index (AusBIG),312.97,-0.30,-0.94,381.44,0.42,-0.11,200.26,-0.31,-0.94
Emerging Markets Government Bond Index (EMGBI),246.27,0.02,-2.60,135.99,0.55,-2.76,155.69,0.05,-2.29
Emerging Markets Inflation-Linked Securities Index (EMILSI),456.22,0.27,0.95,165.57,1.98,1.92,196.84,0.22,0.59
Emerging Markets US Dollar Government Bond Index EMUSDGBI),816.74,0.50,-3.53,816.74,0.50,-3.53,816.74,0.50,-3.53
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),866.34,0.62,-3.84,866.34,0.62,-3.84,866.34,0.62,-3.84
Debt Capacity World Government Bond Index (DCWGBI),180.10,-0.47,-0.47,167.46,0.40,-1.47,191.46,-0.46,-0.46
Time-Weighted US Fallen Angel Bond Index,804.00,-0.16,-0.79,804.00,-0.16,-0.79,804.00,-0.16,-0.79
