,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),238.20,-0.47,-1.16,230.69,-0.56,-1.90,267.29,-0.47,-1.14
World Government Bond Index (WGBI),775.40,-0.55,-0.95,971.95,-0.66,-1.81,923.25,-0.55,-0.93
World Government Bond Index - Developed Markets (WGBI  DM),771.26,-0.56,-0.94,972.19,-0.66,-1.79,926.25,-0.55,-0.92
World Government Bond Index - Extended (WGBI Extended),784.14,-0.51,-0.89,983.54,-0.59,-1.73,924.17,-0.50,-0.87
World Inflation-Linked Securities Index (WorldILSI),208.84,-0.81,0.74,176.81,-0.92,-0.50,211.56,-0.80,0.74
US Broad Investment-Grade Bond Index (USBIG),"1,845.06",-0.44,-1.58,"1,845.06",-0.44,-1.58,"1,845.06",-0.44,-1.58
US Treasury Index,"1,604.27",-0.48,-1.37,"1,604.27",-0.48,-1.37,"1,604.27",-0.48,-1.37
US High-Yield Market Index,"1,181.57",-0.36,-1.33,"1,181.57",-0.36,-1.33,"1,181.57",-0.36,-1.33
US High-Yield Cash Pay Index,"1,157.46",-0.36,-1.33,"1,157.46",-0.36,-1.33,"1,157.46",-0.36,-1.33
US High-Yield Market Capped Index,408.85,-0.36,-1.30,408.85,-0.36,-1.30,408.85,-0.36,-1.30
US High-Yield Cash Pay Capped Index,404.95,-0.36,-1.31,404.95,-0.36,-1.31,404.95,-0.36,-1.31
LATAM Government Bond Index (LATAMGBI),222.60,-0.18,-1.89,104.22,-0.60,-2.12,142.33,-0.18,-2.04
Euro Broad Investment-Grade Bond Index (EuroBIG),238.74,-0.67,-0.83,224.01,-0.92,-2.71,280.72,-0.66,-0.77
EMU Government Bond Index (EGBI),244.32,-0.92,-0.84,229.24,-1.16,-2.73,286.79,-0.90,-0.79
Eurodollar Bond Index,438.72,-0.51,-2.26,438.72,-0.51,-2.26,438.72,-0.51,-2.26
Eurosterling Bond Index,533.91,0.02,-1.33,448.03,-0.19,-3.45,469.91,0.02,-1.29
Euroyen Bond Index,186.16,-0.14,-0.14,160.16,-0.27,-0.82,371.67,-0.14,-0.12
CEEMEA Government Bond Index (CEEMEAGBI),149.75,-0.22,-12.51,73.01,-0.58,-13.65,110.74,-0.54,-10.80
Middle East and North Africa Broad Bond Index (MENABBI),166.91,0.13,-0.45,166.91,0.13,-0.45,166.91,0.13,-0.45
Asian Government Bond Index (AGBI),194.59,-0.01,-0.23,167.22,0.11,-0.82,167.46,-0.01,-0.29
Asian Government Extended Bond Index (AGBI-Extended),184.56,0.03,-0.38,191.05,0.14,-1.28,144.11,0.02,-0.44
AsiaPac Government Bond Index (APGBI),196.60,-0.04,-0.38,164.05,0.13,-0.74,164.76,-0.05,-0.43
Asian Broad Bond Index (ABBI),210.86,-0.02,-2.26,210.86,-0.02,-2.26,210.86,-0.02,-2.26
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.18,-0.01,-0.25,145.73,-0.10,-0.42,130.34,-0.02,-0.32
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.11,-0.01,-0.25,145.66,-0.10,-0.42,130.28,-0.02,-0.33
Dim Sum (Offshore CNY) Bond Index,149.46,-0.03,-0.25,155.42,-0.08,-0.54,118.23,-0.04,-0.32
Australian Broad Investment-Grade Bond Index (AusBIG),312.13,-0.27,-1.21,382.59,0.30,0.19,199.70,-0.28,-1.21
Emerging Markets Government Bond Index (EMGBI),246.13,-0.05,-2.65,135.75,-0.18,-2.93,155.52,-0.11,-2.40
Emerging Markets Inflation-Linked Securities Index (EMILSI),456.47,0.05,1.00,164.38,-0.72,1.18,196.87,0.02,0.61
Emerging Markets US Dollar Government Bond Index EMUSDGBI),822.31,0.68,-2.87,822.31,0.68,-2.87,822.31,0.68,-2.87
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),873.56,0.83,-3.04,873.56,0.83,-3.04,873.56,0.83,-3.04
Debt Capacity World Government Bond Index (DCWGBI),179.17,-0.52,-0.98,166.41,-0.62,-2.09,190.48,-0.51,-0.96
Time-Weighted US Fallen Angel Bond Index,801.62,-0.30,-1.09,801.62,-0.30,-1.09,801.62,-0.30,-1.09
