,Local Currency Terms,Local Currency Terms,Local Currency Terms,USD Terms Unhedged,USD Terms Unhedged,USD Terms Unhedged,USD Terms Hedged,USD Terms Hedged,USD Terms Hedged
,Index,Daily,MTD,Index,Daily,MTD,Index,Daily,MTD
World Broad Investment-Grade Bond Index (WorldBIG),234.26,0.13,-2.80,226.39,0.60,-3.72,262.96,0.13,-2.74
World Government Bond Index (WGBI),760.46,-0.04,-2.86,947.80,0.52,-4.24,905.87,-0.04,-2.79
World Government Bond Index - Developed Markets (WGBI  DM),756.06,-0.05,-2.90,947.19,0.51,-4.32,908.47,-0.05,-2.82
World Government Bond Index - Extended (WGBI Extended),769.96,-0.02,-2.68,960.43,0.51,-4.04,907.76,-0.03,-2.63
World Inflation-Linked Securities Index (WorldILSI),203.73,-0.58,-1.73,173.10,-0.12,-2.58,206.48,-0.58,-1.69
US Broad Investment-Grade Bond Index (USBIG),"1,814.76",0.50,-3.19,"1,814.76",0.50,-3.19,"1,814.76",0.50,-3.19
US Treasury Index,"1,570.66",0.38,-3.43,"1,570.66",0.38,-3.43,"1,570.66",0.38,-3.43
US High-Yield Market Index,"1,182.68",0.55,-1.23,"1,182.68",0.55,-1.23,"1,182.68",0.55,-1.23
US High-Yield Cash Pay Index,"1,158.59",0.55,-1.23,"1,158.59",0.55,-1.23,"1,158.59",0.55,-1.23
US High-Yield Market Capped Index,409.31,0.55,-1.19,409.31,0.55,-1.19,409.31,0.55,-1.19
US High-Yield Cash Pay Capped Index,405.42,0.55,-1.19,405.42,0.55,-1.19,405.42,0.55,-1.19
LATAM Government Bond Index (LATAMGBI),223.00,0.44,-1.71,108.39,1.14,1.80,142.05,0.42,-2.24
Euro Broad Investment-Grade Bond Index (EuroBIG),234.42,-0.34,-2.62,221.63,0.87,-3.75,275.89,-0.36,-2.48
EMU Government Bond Index (EGBI),239.25,-0.44,-2.90,226.20,0.76,-4.02,281.11,-0.46,-2.75
Eurodollar Bond Index,435.18,0.58,-3.05,435.18,0.58,-3.05,435.18,0.58,-3.05
Eurosterling Bond Index,533.28,-0.03,-1.44,447.76,0.37,-3.51,469.45,-0.03,-1.38
Euroyen Bond Index,185.34,-0.06,-0.59,150.69,0.62,-6.69,370.31,-0.06,-0.49
CEEMEA Government Bond Index (CEEMEAGBI),150.03,0.81,-12.34,75.40,2.31,-10.81,105.19,-0.73,-15.27
Middle East and North Africa Broad Bond Index (MENABBI),164.06,0.32,-2.15,164.06,0.32,-2.15,164.06,0.32,-2.15
Asian Government Bond Index (AGBI),193.47,0.15,-0.81,165.51,0.28,-1.83,166.34,0.13,-0.96
Asian Government Extended Bond Index (AGBI-Extended),183.82,0.08,-0.78,189.64,0.22,-2.01,143.39,0.07,-0.93
AsiaPac Government Bond Index (APGBI),194.88,0.13,-1.25,162.28,0.28,-1.82,163.16,0.11,-1.40
Asian Broad Bond Index (ABBI),208.35,0.27,-3.43,208.35,0.27,-3.43,208.35,0.27,-3.43
Chinese (Onshore CNY) Broad Bond Index (CNYBBI),152.55,0.03,-0.01,144.92,-0.00,-0.97,130.47,0.02,-0.23
Chinese (Onshore CNY) Broad Bond Index - Interbank CNYBBI - Interbank),152.48,0.03,-0.01,144.86,-0.00,-0.97,130.41,0.03,-0.23
Dim Sum (Offshore CNY) Bond Index,149.11,-0.08,-0.48,153.94,0.13,-1.48,117.80,-0.09,-0.69
Australian Broad Investment-Grade Bond Index (AusBIG),301.90,-0.08,-4.44,377.31,0.26,-1.19,192.94,-0.10,-4.56
Emerging Markets Government Bond Index (EMGBI),246.41,0.15,-2.54,136.13,0.41,-2.66,154.13,-0.10,-3.27
Emerging Markets Inflation-Linked Securities Index (EMILSI),468.56,-0.07,3.68,176.87,0.96,8.87,200.86,-0.10,2.65
Emerging Markets US Dollar Government Bond Index EMUSDGBI),829.12,0.87,-2.06,829.12,0.87,-2.06,829.12,0.87,-2.06
Emerging Markets US Dollar Government Capped Bond  (EMUSDGBI Capped),885.30,0.89,-1.74,885.30,0.89,-1.74,885.30,0.89,-1.74
Debt Capacity World Government Bond Index (DCWGBI),175.62,-0.08,-2.95,163.44,0.64,-3.83,186.74,-0.09,-2.91
Time-Weighted US Fallen Angel Bond Index,799.10,0.40,-1.40,799.10,0.40,-1.40,799.10,0.40,-1.40
